先手: 阪口 悟六段
後手: 青嶋 未来五段
手数 1: 定刻の１０時に対局開始。阪口は▲７六歩と角道を開けた。
手数 2: 居飛車、振り飛車のどちらも指す青嶋。本局では２手目に△８四歩と飛車先を突いて居飛車の作戦を示した。
手数 3: ◆阪口　悟（さかぐち　さとる）六段◆
１９７８年８月１６日生まれ、大阪府高石市出身。（故）木下晃七段門下。２００４年、四段。２０１８年、六段。棋士番号は２５４。
手数 4: ◆青嶋　未来（あおしま　みらい）五段◆
１９９５年２月２７日生まれ、静岡県三島市出身。安恵照剛八段門下。２０１５年、四段。２０１６年、五段。棋士番号は３００。
手数 5: 阪口の今年度成績は１４勝１３敗（０．５１９）。
通算成績は２３１勝２１５敗（０．５１８）。
手数 6: 青嶋の今年度成績は１５勝１３敗（０．５３６）。
通算成績は１０３勝５５敗（０．６５２）。
手数 7: 阪口は１勝３敗からの４連勝で立て直した。残り２戦を１勝すれば所持する降級点を消すことができる。本局で決めたいところだ。
手数 8: 青嶋は６勝２敗の好成績ながら、順位の差ですでに昇級の可能性はない。今期のリーグは１１でのスタートだったが、来期はさらに上位でのスタートにしてレースにからみたいところだ。
手数 10: ここで保留していた角道を開けた。
手数 11: 阪口は５筋の位を取って指す順を選ぶ。
手数 12: 後手番超速のような急戦策ではなく、右金を締まって手厚く構えた。
手数 13: △５四歩の仕掛けが気になるが、▲５七銀△５五歩（△５五角）に▲６六銀で問題ないと見ているようだ。
手数 16: 持久戦を目指す角上がり。
手数 17: 端歩を突いて受けるかどうか打診した。
手数 18: 青嶋は端を受けずに囲いを急ぐ。
手数 20: 穴熊の作戦を示した。
手数 21: 阪口も穴熊は得意だが、囲いの態度を保留して端の位を取った。
手数 23: ここで阪口が５筋を突いて戦いを挑んだ。
手数 24: 角交換を拒否。穴熊が完成するまでは辛抱の方針のようだ。
手数 27: 拠点を築く。後に奪回を目指される可能性もあるだけに、決断の一手だ。
手数 29: 銀を繰り出して５筋の拠点に応援を送る。
手数 30: 早くも拠点の解消にいった。▲５三同歩成には△同銀や△５三同金で、今度は先手の飛車先が止まっているため▲５四歩にも取ることができる。
手数 31: 銀を上がって△５四歩に▲同飛と取る順を用意した。
手数 34: 金を４三に上がる。金銀が４枚とも４筋から左辺に集結した。
手数 35: 一段目まで飛車を引き揚げる。こちらは１筋から６筋まできれいに駒が並んでいる。
手数 36: 穴熊の完成は急がず、角道を通した。
手数 37: 片美濃囲いを作り上げた。
手数 38: ここでハッチを閉める。

