先手: 高野 秀行六段
後手: 長沼 洋八段
手数 1: 定刻の１０時に対局開始。高野は▲２六歩と飛車先の歩を突いた。
手数 2: ともに居飛車党の両者。長沼は振り飛車も指すが、最近は先後問わず居飛車がほとんどで、後手番では相掛かりなら受けて立ち、それ以外の居飛車には力戦での対抗が多い。本局ではまず高野がどのような作戦を目指し、それを長沼が受けるかどうかが注目となる。
手数 3: ◆高野　秀行（たかの　ひでゆき）六段◆
１９７２年６月１５日生まれ、神奈川県横浜市出身。中原誠十六世名人門下。１９９８年、四段。２０１１年、六段。棋士番号は２２６。
手数 4: ◆長沼　洋（ながぬま　ひろし）八段◆
１９６５年２月８日生まれ、岐阜県出身。田中魁秀九段門下。１９８６年、四段。２０２０年、八段。棋士番号は１７８。
手数 5: 高野は角換わりを目指しそうだ。
手数 6: ８筋を伸ばした。長沼は角換わりを指すことが少ないため、力戦調の将棋に誘導するかもしれない。
手数 7: 高野の今年度成績は５勝１７敗（０．２２７）。
通算成績は３６３勝４１０敗（０．４７０）。
手数 8: 長沼の今年度成績は９勝１３敗（０．４０９）。
通算成績は５９２勝６０８敗（０．４９３）。
手数 9: 高野の順位戦成績は１２３勝１３５敗（０．４７７）。第５７期からの参加で今期が２６期目。最高クラスはＣ級１組で通算１５期。Ｃ級２組は通算１１期目。
手数 10: 長沼の順位戦成績は１８１勝１８７敗（０．４９２）。第４６期からの参加で今期が３７期目。最高クラスはＣ級１組で通算１６期。Ｃ級２組は連続６期目で通算２１期目。
手数 11: 高野はここまで１勝７敗。下から６番目の成績で、本局に敗れると１つ目の降級点がつく。ただし勝てば今節中に降級点となることはない。順位のよさを生かし、残り２戦を連勝での回避を目指す戦いが始まる。
手数 12: 長沼は直近の連勝で３勝５敗まで戻してきた。ただし、ぎりぎりのところでまだ降級点の圏内に入っている。順位が悪いため残り２戦を１勝１敗でも安泰とは言えず、さらに２連勝して回避を確定させたい。
手数 13: このタイミングで飛車先の歩交換にいった。
