先手: 藤原 直哉六段
後手: 中尾 敏之四段
手数 15: 矢倉模様の序盤戦。ここまでの消費時間は▲藤原１４分、△中尾１４分。
手数 25: この局面で中尾が３４分考えて昼食休憩に入った。ここまでの消費時間は▲藤原５８分、△中尾１時間ちょうど。
手数 30: ここまでの消費時間は▲藤原１時間３分、△中尾１時間２４分。
手数 43: １５時過ぎの局面。ここまでの消費時間は▲藤原２時間２９分、△中尾１時間３１分。
手数 48: ここまでの消費時間は▲藤原２時間４２分、△中尾１時間５５分。
手数 55: この局面で中尾が１時間２８分の長考に沈み、そのまま夕食休憩に入った。ここまでの消費時間は▲藤原３時間２０分、△中尾３時間３７分。
手数 59: ２０時頃の局面。ここまでの消費時間は▲藤原３時間５３分、△中尾３時間３７分。
手数 66: ここまでの消費時間は▲藤原４時間１４分、△中尾４時間４３分。
手数 72: ここまでの消費時間は▲藤原４時間４９分、△中尾４時間５８分。
手数 85: ここまでの消費時間は▲藤原５時間３０分、△中尾５時間６分。
手数 91: ここまでの消費時間は▲藤原５時間４８分、△中尾５時間４６分。
手数 101: 残り時間は藤原３分、中尾７分。
手数 121: この局面で中尾が投了した。消費時間は両者ともに５時間５９分。勝った藤原は１勝１敗、敗れた中尾は２連敗となった。
