先手: 広瀬 章人四段
後手: 田村 康介六段
手数 17: 四間飛車穴熊は広瀬の得意戦法。
手数 22: 田村は居飛車穴熊で対抗。相穴熊戦になりそうだ。
手数 23: 定跡となっている銀出。振り飛車が漠然と組み合うと、居飛車の飛先だけが伸びていること、銀の活用に差が出ること、桂馬の活用度の違いなどから振り飛車が作戦負けになりやすいといわれている。
手数 24: △４四歩や△５五歩▲４五銀△８四飛の受け方もある。
手数 37: ▲３六歩に３４分、▲４七銀に２４分の連続長考。
手数 38: △７四歩の局面で広瀬が１９分考えて昼食休憩に入った。消費時間は広瀬が１時間４２分、田村が３７分。
手数 40: 次に△７五歩から角頭を狙うつもりか。
手数 41: 俗に「パンツを脱ぐ」といわれる穴熊の桂跳ね。この桂馬を跳ねると穴熊が一気に弱体化するので決断の一手だ。
手数 47: 振り飛車らしいさばき。△７六歩には▲４六角と回り込んで受けが難しいと見ている。
手数 48: １４時３０分ごろの局面。消費時間は広瀬が２時間４３分、田村が１時間５分。
手数 50: 先に△８六歩と突くべきだった。
手数 54: ２四に逃げるのがまだしも。
手数 57: 次に▲７四歩からの攻めがあるので、△８七歩成からの攻めが間に合わない。△７六歩が祟っている。戦意を失い投了となった。終局時刻は１５時２５分。消費時間は広瀬３時間８分。田村１時間２７分。勝った広瀬は２勝１敗、敗れた田村は３連敗となった。
