先手: 堀口 一史座七段
後手: 島 朗八段
手数 6: 最近はすっかり後手番一手損角換わりの陰に隠れてしまった横歩取りだが、ここまで来れば登板間違いなしだろう。
手数 15: 大昔は「横歩三年のわずらい」と言われたが、現在は横歩を取って悪くなるはずがないという風潮になってきている。
手数 16: 横歩取りの中で最もポピュラーな△３三角戦法。蛇足だが、△３三角のところで「俺も俺も」と△７六飛は、▲２二角成△同銀▲３二飛成で非常に残念なことになる。
手数 17: この局面での先後の勝率は、先手１２５４勝、後手１１７７勝。
手数 18: しかし一手進むと、先手４１０勝、後手３１８勝と先手の勝率が格段に跳ね上がる。
手数 22: 最近では△５二玉の中住まいは少なくなった。バランスより堅さの風潮は、どの戦型にも共通する現代感覚といえる。
手数 25: ここまでの消費時間は、堀口３分、島１２分。
手数 32: 勢いをつける突き捨て。先に△７三桂だと、▲５五銀△７五歩のときに▲同歩と取ってくれるとは限らない。
手数 34: この形で▲５五銀なら△８六歩▲同歩△同飛としておいて、次に△７七歩や△８八飛成を狙うことができる。
手数 35: じっと駒を活用したところで昼食休憩に入った。消費時間は堀口６分、島１時間５１分。
手数 36: 昼食休憩後すぐに△７七歩。一歩損の後手が歩を更に捨てるのだから、もう局面を収めるつもりはないのだろう。
手数 37: この手で▲７七同桂なら△７六歩で後手優勢になる。
手数 38: △７七歩と打ったからには、足を止めるわけにはいかない。
手数 42: １４時過ぎ。消費時間は堀口１１分、島１時間５２分。
手数 43: この手に堀口は２時間２分費やした。
手数 44: 島は１２分で飛車を切り飛ばした。▲同歩に△１五角狙いだろう。
手数 48: 桂が入れば△７六桂。後手陣は飛車打ちに強い一段金。
手数 49: ▲２九飛は△３七銀成▲５五角△２七歩が厳しい。堀口は飛車を逃げていては勝てないと見た。
手数 54: 堀口はここで７分考えて投了を告げた。純粋な銀損に加え、陣形の差も大きく勝機なしと見たのだろう。一瞬の隙をついた島の強襲が見事に決まった。
消費時間は堀口２時間２８分、島２時間２８分。
