先手: 福崎 文吾九段
後手: 千葉 幸生五段
手数 10: 後手は矢倉も考えられる出だしだったが、中飛車に構えた。
手数 15: ゴキゲン中飛車に比べて後手は角道を止めているので、持久戦模様になりそうだ。
手数 19: １１時の局面。消費時間は福崎２６分、千葉１４分。
手数 23: ひとまず△６五桂を受ける。穴熊に囲うのが自然な流れか。
手数 26: ここで福崎が１４分考えて昼食休憩に入った。消費時間は福崎１時間０分、千葉５３分。
手数 28: 穴熊に対抗するため銀冠に構える。
手数 32: １４時３０分の局面。消費時間は福崎１時間３８分、千葉１時間２３分。
手数 34: △５三銀では角頭が薄いので銀はこちらに上がる。
手数 35: １５時５０分の局面。消費時間は福崎２時間５３分、千葉１時間３５分。
手数 37: １７時１０分過ぎの局面。消費時間は福崎３時間５分、千葉２時間２３分。
手数 42: ここで福崎が１９分考えて夕食休憩に入った。消費時間は福崎３時間３４分、千葉３時間２２分。
手数 49: ２０時１０分の局面。消費時間は福崎３時間５０分、千葉４時間２分。
手数 53: ２１時３０分の局面。消費時間は福崎４時間２１分、千葉４時間４６分。
手数 65: ２２時４０分の局面。消費時間は福崎４時間５４分、千葉５時間２５分。
手数 87: ２３時４０分の局面。消費時間は福崎５時間１８分、千葉５時間５３分。
