先手: 阿部 健治郎四段
後手: 神崎 健二七段
手数 1: 阿部の今年度成績は１６勝３敗（０．８４２）。
通算成績は２１勝６敗（０．７７８）。
手数 2: 神崎の今年度成績は７勝６敗（０．５３９）。
通算成績は５０４勝３８２敗（０．５６９）。
手数 3: 阿部は居飛車党。何でも指しこなすが、玉が堅い将棋が多く見られる。また裏芸として、相振り飛車も得意としている。順位戦新参加者の中で、現在唯一の３戦全勝者だ。
手数 4: 神崎は居飛車党。後手番では横歩取り８四飛車型が得意である。直近は４勝１敗と好調。
本局でも神崎は横歩取りを匂わす出だし。
手数 15: 横歩取りの将棋になった。
手数 16: 神崎は横歩取りの中で最も実戦例の多い、△３三角戦法を採用。
手数 18: 神崎は８五飛車戦法はあまりやらず、この８四飛車型を得意にしている。
手数 22: 神崎は中原囲いを築きに行く。
手数 23: 阿部は中住まいで対抗した。
手数 26: １１時頃の局面。ここまでの消費時間は▲阿部２０分、△神崎１１分。
手数 27: ３５分じっくり使って指された。今後の構想や方針などを考えたものと思われる。
手数 28: この局面で阿部が４７分考えて昼食休憩に入った。ここまでの消費時間は▲阿部１時間４２分、△神崎１３分。
手数 30: 神崎は中央を圧力を掛ける方針のようだ。
手数 32: １４時頃の局面。ここまでの消費時間は▲阿部１時間４４分、△神崎５５分。
手数 34: 神崎は早くも仕掛けた。▲５六同歩は△８八角成▲同金△４四角があり、そこで▲６六角はあるものの、後手は△５一歩の底歩が利くのでその順は指しにくい。
手数 35: １５時頃の局面。ここまでの消費時間は▲阿部２時間１４分、△神崎１時間１２分。
手数 36: １６時頃の局面。ここまでの消費時間は▲阿部２時間１４分、△神崎１時間４５分。
手数 37: １時間４分の考慮で指された。
手数 38: 神崎は６筋をこじ開けにいった。
手数 41: 次に△６七歩成を許しては将棋が終わってしまう。阿部は５筋の歩を伸ばし角道を遮断した。
１７時頃の局面。ここまでの消費時間は▲阿部３時間１８分、△神崎２時間１５分。
手数 42: 焦点の歩。何でとっても利かしとなる大きな手だ。
手数 44: 神崎は７六の歩を狙っている。
手数 47: この局面で神崎が５分考えて夕食休憩に入った。ここまでの消費時間は▲阿部３時間４３分、△神崎３時間１２分。
手数 50: 狙いの十字飛車が実現。ただどれだけ成果が上がっているかは微妙だ。
手数 52: ２０時頃の局面。ここまでの消費時間は▲阿部３時間５０分、△神崎３時間５５分。
手数 57: これでいつでも角が動けるようになった。
手数 59: ２１時頃の局面。ここまでの消費時間は▲阿部４時間２４分、△神崎４時間１２分。
手数 61: 後手陣は５三の地点を攻めていくのが一番早いとみている。
手数 68: 神崎は角きりの催促に出た。
手数 70: ここで喜び勇んで▲６五桂は、飛車をボロッと取られてしまうので注意。
手数 75: 阿部が優勢になっているようだ。
手数 76: ２２時５０分頃の局面。ここまでの消費時間は▲阿部５時間１４分、△神崎５時間１４分。
手数 79: これで飛車が詰んでいる。
手数 83: ２３時３０分頃の局面。ここまでの消費時間は▲阿部５時間２２分、△神崎５時間４６分。
手数 87: この局面で神崎の投了となった。投了図からは△４二玉▲６六金がぴったりの詰めろになり、終了時刻は２３時４４分、消費時間は▲阿部５時間２８分、△神崎５時間５２分。勝った阿部は４連勝、敗れた神崎は１勝３敗となった。
