先手: 西川 和宏四段
後手: 長岡 裕也五段
手数 1: 【西川　和宏（にしかわ　かずひろ）四段プロフィール】
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｎｉｓｈｉｋａｗａ―ｋａｚｕｈｉｒｏ．ｈｔｍｌ
手数 2: 【長岡　裕也（ながおか　ゆうや）五段プロフィール】
ｈｔｔｐ：／／ｗｗｗ．ｓｈｏｇｉ．ｏｒ．ｊｐ／ｐｌａｙｅｒ／ｋｉｓｈｉ／ｎａｇａｏｋａ．ｈｔｍｌ
手数 4: 西川の今年度成績は８勝１１敗（０．４２１）。
通算成績は７０勝６２敗（０．５３０）。
手数 5: 長岡の今年度成績は１５勝１２敗（０．５５６）。
通算成績は１１８勝１２６敗（０．４８４）。
手数 6: 長岡は居飛車党。対振り飛車戦は居飛車穴熊での対抗を得意としている。
手数 7: 西川は振り飛車党で、主に三間飛車を得意としている。
手数 9: ５七に銀を上がる。居飛車党の棋士なら▲４八銀から矢倉を目指すところだ。
手数 11: 得意の三間飛車に構えた。
手数 12: ▲７五歩と突かれると▲７六飛で受けられてしまうので、その前に飛車先の歩を決めた。
手数 16: 得意の居飛車穴熊を目指す。西川が囲わせて戦うタイプなので、長岡が望めばすんなりと潜れるだろう。
手数 17: 居飛車穴熊模様の後手に対し、西川はどの囲いで対抗するだろうか。
手数 20: やはり穴熊を目指した。
手数 21: 囲いを決める前に７筋の位を取った。後手からの急戦がなさそうなので、まずは石田流に組む権利を得ようというもの。
手数 23: ▲６八に引くのは５七の銀が邪魔をして使いにくい。
手数 24: ▲７四歩からの歩交換を防いだ。
手数 25: １１時頃、▲５八金左までの消費時間は、▲西川１１分、△長岡２８分。
手数 26: ▲９五角と飛び出される手を消した。俗に『居飛車の税金』と呼ばれている一手だ。
手数 27: こちらも浮き飛車に構える。飛車で８筋を受けて、角を動かせるようにした。
手数 29: 石田流の完成。ここまで組んでおいてから玉の囲いに移るつもりだ。
手数 31: 西川は美濃囲いを選択した。
手数 32: この局面で西川が３２分考えて昼食休憩に入った。ここまでの消費時間は▲西川４３分、△長岡１時間１３分。対局は１３時から再開される。
手数 33: 高美濃を目指した歩突き。ただ▲４七金と上がった形は６七に打ち込みのスペースができるため注意が必要だ。
手数 34: 穴熊に金を寄せる。
手数 36: １４時過ぎ、△４四歩までの消費時間は、▲西川４３分、△長岡２時間１５分。
手数 37: 高美濃を完成させた。
手数 38: 代えて△４二金寄もあるところ。長岡は上部を厚くする順を選択。
手数 39: １５時過ぎ、▲４八角までの消費時間は、▲西川１時間３０分、△長岡２時間２３分。
手数 40: 端歩を突きこして△９四飛と回る余地を作った。
手数 41: 玉側の端歩を突いて様子を見る。
手数 42: 穴熊だが端歩を受けた。長岡の狙いは先手を手詰まりにさせて仕掛けさせることかもしれない。
手数 43: 銀冠への組み替えを目指す。
