先手: 田中 寅彦九段
後手: 阪口 悟五段
手数 1: ◆田中　寅彦（たなか　とらひこ）九段◆
１９５７年４月２９日生まれ、大阪府豊中市出身。（故）高柳敏夫名誉九段門下。１９７６年、四段。１９９４年、九段。棋士番号は１２７。
タイトル戦登場は２回。獲得は棋聖１期。棋戦優勝は６回。
手数 2: ◆阪口　悟（さかぐち　さとる）五段◆
１９７８年８月１６日生まれ、大阪府高石市出身。（故）木下晃七段門下。２００４年、四段。２００９年、五段。棋士番号は２５４。
手数 3: 田中の今年度成績は９勝１４敗（０．３９１）。
通算成績は７６６勝６８５敗（０．５２８）。
手数 4: 阪口の今年度成績は１６勝１４敗（０．５３３）。
通算成績は２０６勝１８０敗（０．５３４）。
手数 5: 田中は４勝５敗で最終戦を迎えた。降級点の可能性はなく、来期の順位を懸けた戦いとなる。
手数 6: 阪口も４勝５敗で降級点の可能性はない。途中は４勝１敗と昇級戦線にからむ勢いだったが、そこから４連敗と崩れた。
手数 8: 角交換から向かい飛車に振る。ここで▲５三角には△４二角で、先手は馬を作ることができない。
手数 9: 飛車先を伸ばす。次こそ▲５三角がある。
手数 10: ▲５三角を受ける。ぴったりした手順だ。
手数 11: 田中は対振り飛車戦では居飛車穴熊での戦いを得意にしている。本局は早々と角交換になり、さらに８八銀型になっているが、それでも穴熊を目指すかどうか。
手数 12: 阪口も穴熊は得意戦法だが、本局では自身から角交換していることもあり、囲いの本線は美濃囲いだろう。
手数 15: ７八玉型を作ってから３筋の歩を突く。６八玉のままでこの歩を突くと、△５五角があり、以下▲７七角と打つ手はあるものの、△２八角成とされて大乱戦は避けられなくなる。
手数 18: 阪口は美濃囲いに構えた。
手数 19: 対局開始から２０分弱で現局面まで進んだ。
手数 20: 中央に銀を使う。
手数 21: 対して、田中は４七銀型の形を作りそうだ。
手数 22: 振り飛車の命と言われる左桂の活用。
手数 25: ８筋の歩を突いた。これは銀冠を目指すと見るのが自然なところだろう。
手数 26: 金銀４枚を中央から右辺に集結させた。
手数 27: 田中は５六に角を打ち、３四の歩を取りにいった。
手数 28: 阪口は銀を繰り出して対抗。
手数 29: これで先手の１歩得となった。
この局面で阪口が２１分考えて昼食休憩に入った。ここまでの消費時間は▲田中４９分。△阪口１時間９分（チェスクロック使用）。対局は１２時４０分に再開される。
手数 30: 下段飛車に構える。▲２四歩△同歩▲２三歩が先手にならないようにした。
手数 31: それでも田中は２筋から動いていった。
手数 34: 歩を突き出して▲２四飛を阻止。▲２五同桂に△同桂か△２四歩か。
手数 36: 阪口は桂交換に応じる。△２四歩は▲１三桂不成△同香▲２四飛の攻めを気にする必要があった。
手数 38: 角取りに銀を引きながら２二の地点に利かせた。
手数 39: 代えて▲２二歩成は、△３四銀▲２一と△２五銀で角損になる。
手数 40: 好位置の角をさらに追った。
手数 41: 狭い位置に角を逃げた。代えて▲４七角は、△６六桂▲同歩に△３四角が王手飛車取りだった。
手数 42: いろいろと技のかかりそうなところでもあったが、阪口は歩を打って局面を収めにいく。
手数 43: なんと３五に逃げた。狭い位置だが△４二金には▲２二歩成から▲３四桂がある。
手数 44: ４四に角を打つ。これで飛車角交換は後手の権利となった。
手数 45: ▲２二歩成を狙った桂打ち。△２三飛には▲４二桂成が飛車の素抜きを狙って厳しい。また△３五角には▲同歩で、やはり▲２二歩成の狙いが残る。
手数 46: 飛車角交換。▲３五同歩のときにどうするか。
手数 48: 受けずに飛車を下ろした。▲２二歩成△同銀▲３二角が見えるが、そこで△５一飛か△３一飛か。
手数 49: １２分考えて歩を成った。
手数 51: シンプルに銀を取る。
手数 53: 田中はこの突き出しに期待したようだ。
手数 54: じっと歩を受けておく。駒割りは角銀と飛車桂の交換でほぼ互角。玉形は後手陣が堅いが手番は先手。また後手は２二の飛車が遊び駒だ。
手数 55: じっと香を逃げる。この香は角のヒモがついているため、△１九飛成は香取りにならない。
手数 56: じっと伸ばす。棋士室に姿を見せる脇謙二八段は「渋いですね。渋い」とこの手について述べた。
手数 57: ２９分考えて歩を成り捨てた。△３三同歩に▲３四歩の合わせの歩だろうか。
手数 59: いろいろと考えられるところだったが、田中は３三に空間を作りにいく順を選んだ。
手数 60: 阪口はここも素直に応じる。
手数 61: ノータイムで角を打ち込んだ。
手数 63: ▲５五角成では厳しい継続がないと見たか、銀を打って飛車を追いかけた。△５一飛に▲３四角が狙いのようだ。
手数 65: 角を出て▲４三銀成を見せる。
手数 66: ここで阪口が反撃。
手数 67: ８七に銀を立った。代えて▲７七銀は△６五桂が気になるほか、銀を渡したときに△８七銀があった。
手数 68: ３４分考えて銀取りに桂を打った。▲５九銀に△５六歩▲同歩△５七歩▲同金△３九飛成が狙い筋で、次に△４八桂成が角銀両取りとなる。
手数 70: 継続の一手。
手数 71: 歩を取らずに角を成り返った。
手数 72: じっと飛車を成った。次に△１八竜とすれば駒得となる。
手数 74: 大きな入手。これで△３一香が権利になった。また▲４三銀成は、後に△４七歩が厳しくなる。
手数 75: 桂取りに歩を打って攻めを催促した。
手数 76: 香打って銀を除去しにいった。
手数 78: 成銀を取った手が角取り。
手数 79: 角を逃げた手が間接的に１八の竜を狙っている。
手数 80: 銀をからんだ。次に△５八銀成▲同金△４七金が厳しそうだ。以下▲６九銀には△５七歩や△４六金がある。
手数 81: 田中は自陣に手を入れずに攻め合った。
手数 85: この局面で阪口が１３分考えて夕食休憩に入った。ここまでの消費時間は▲田中４時間１０分。△阪口３時間８分（チェスクロック使用）。対局は１８時４０分に再開される。
手数 86: １８時４０分になって対局再開。阪口はすぐに△９二歩と謝って手を渡した。
手数 87: 銀捨ての手筋で竜の筋を変えにいく。
手数 88: 読み筋だったのか、２分足らずの考慮で取らずに２八に竜を逃げた。
手数 89: さらに竜に働き掛ける。
手数 90: 阪口はヒラヒラと竜をかわし続ける。
手数 91: 竜の利きが変わったことで、金を取れるようになった。
手数 93: 桂を取り払う。ただし△３六同飛と取られるだけに、非常手段気味だ。
手数 96: 後手は「堅い、攻めてる、切れない」の状況になっている。
手数 97: 端を攻めるがここで△３八竜が厳しそうだ。
手数 98: 合駒請求。１枚使わせれば自玉への脅威が弱まる。
手数 99: 馬で当てて勝負にいった。
手数 100: あっさりと清算。代えて△６八金のような手も考えられた。以下▲同銀は△４八竜。▲同玉には△５六桂。
手数 102: 気持ちのいい跳ね出し。△６九角以下の寄せを見ている。
手数 104: 絡みつく攻め。後手は攻めさえつながればいい状況だ。
手数 105: 桂を外したが、△６九角が厳しい。
手数 108: 後手は角を渡しても詰まない。
手数 110: 先手玉に必至が掛かった。
手数 111: 田中は後手玉を詰ますよりない。
手数 112: ２分考えて玉で応じた。▲８二香△同玉▲９三角と迫ることになりそうだが、△同歩で詰みはなさそうだ。また、棋士室では▲８二香に△７一玉▲８一金△同銀▲同香成△同玉と応じるほうが手堅いと話されている。
手数 113: ４０分近く考えて▲８二香と王手した。
手数 114: 阪口は１分の考慮で玉を逃げる。読みきっているのかもしれな。
手数 115: ここに金を打たなければならないのが田中としてはつらいところだ。
手数 116: ここは清算に応じる。
手数 118: ▲９三桂△同歩▲８二銀△同玉▲９三歩成に△７一玉で詰まない。
手数 119: ▲８二銀では届かない。田中は９三に桂を捨てた。
手数 124: この局面で田中の投了となった。後手玉に詰みはなく、先手玉は必至だ。
終局時刻は２０時２０分。消費時間は▲田中５時間２９分、△阪口３時間２９分（チェスクロック使用）。勝った阪口は５勝５敗、敗れた田中は４勝６敗で今期順位戦を終えた。
