手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数12:

手数13: 右銀を攻めに使う。▲４六銀なら早繰り銀、▲２六銀なら棒銀だ。

手数14: ６筋を突いたので、後手は腰掛け銀になりそうだ。６筋を突かず、右銀を△５一銀から守りに使う工夫も昨年から指されている。これは後に３筋を攻められたときに、△６四角と飛車のコビン攻めを狙うことになる。

手数17: 先手は早繰り銀。ただ、すぐに▲３五歩△同歩▲同銀と仕掛けると、△５五角が両取りになってしまう。攻める前に▲７九玉や▲７八金など、銀にヒモをつける手が必要である。

手数18: 後手が早繰り銀に対抗して厚みを作るなら、△７四歩に代えて△５四銀から△４四歩が考えられた。

手数22: 後手は「△５二金に代えて、△８一飛だったか」と語っていた。▲３五歩△同歩▲同銀には△８五桂と反撃し、以下▲６六銀には△８八角、▲８八銀には△５五角と打てる。ただ、先手は▲３五歩と仕掛ける一手ではないので、△８一飛の工夫で後手が駒組みしやすくなるかは何ともいえない。

手数23: 後手が居玉のうちに、先手が仕掛けた。

手数25: 後手は２筋の交換が受けにくい。代償を求めるために△６五桂と反撃するのは、▲７三角が王手飛車になってしまう。

手数26: 飛車を引いた。▲２四歩△同歩▲同銀△同銀▲同飛には、△２三歩▲２八飛△６二玉と右玉に構える構想なのだろう。玉を上がった局面は、一段飛車が守りに働いている。△３一飛〜△２二金として、銀交換して手薄になった先手の右辺を狙う含みもありそうだ。

手数27: 先手は▲２四歩から銀交換せず、３筋を押さえる。

手数28: △２二銀は壁銀の悪形だが、代えて△４四銀は▲２四歩から２筋の突破を狙われた。以下△３五銀▲２三歩成△２七歩▲同飛△３六銀打▲３二と（▲２八飛は△５五角から飛車をいじめる）△２七銀不成の進行は、先手が飛車損しているもののと金を作っているので、玉の薄い後手は神経を使う。

手数29: 自陣に手を戻す。

手数30: 右玉の態度を明らかにする。早繰り銀に対し、３五の銀の進出を許して右玉に構える作戦は、今年６月の第７７期順位戦Ｂ級２組▲千田翔太六段−△丸山忠久九段戦で指されていた。

手数31: ２筋を交換しにいく。

手数35: 先手は後手を壁銀にさせ、２筋を交換することに成功した。後手はどこに代償を求めるのか。

手数37: 玉を固める。２、３筋を無理矢理攻めては壁銀を解消させてしまうので、玉を固めて持久戦にし、悪形が響く展開にするのが自然である。

手数39: ９筋を突き越されては、右玉の逃げ道が広くなった。

手数42: ３筋を合わせる。▲３三同歩成△同銀▲３四歩には、△４四銀とぶつけるのだろう。銀交換になれば先手の３筋が薄くなり、△３八歩▲同飛に△４九銀や△２七角のＢ面攻撃がしやすい。

手数43: ３６分の考慮で▲４六歩。△５五角のラインをあらかじめ警戒した意味か。

手数44: 自分から歩を取る。先手の銀を引っ張り込み、どこから攻めるのだろうか。

