手数1:

手数2:

手数3:

手数4:

手数5:

手数7: 先手は中飛車を採用した。

手数16: 後手から角交換する。▲７七同銀に△６四銀や△４四銀と上がれば、５筋歩交換を防ぐことができる。

手数28: 代えて△３三桂は、▲５五歩△同歩▲５四角から馬を作られた。

手数31: 先手が仕掛けた。

手数34: 手筋の切り返し。▲５八同飛に△６九角が継続手になる。

手数36: ▲６八飛は△７八角成▲同飛△５五銀と２枚換えされてしまうので、▲６四銀△５八角成▲同金△６四歩は必然。先手の陣形が乱れているが、△６四歩に期待の手がある。

手数41: ▲７一角が狙いの手で、△７二飛は▲４四角成△同銀に▲５四角の王手飛車、△９二飛には▲８三銀や▲８三角で飛車を取りにいく。

手数42: 後手は８三にかわした。先手は▲６一角や▲５三歩からガンガン攻めたいが、後に△８九飛から△３九銀と反撃されるので、攻守のバランスをどう取るかが問題になる。

手数43:

手数45: 金を引いて、飛車の打ち込みを消す。後手に歩があれば△５七歩▲同金△５九飛を狙うところだが、歩切れである。△８六歩は▲６一角△８四飛▲８五銀から飛車を取られそうだ。歩を取りにいくなら飛車の横利きを通す△７四歩だが、▲６一角から飛車を狙われる。それを不満と見れば、玉を遠ざける△２二玉が浮かぶところ。

手数46: △８六歩は▲６一角△８四飛▲８五銀から飛車を取られてしまうので、深くは検討されていなかった。▲８五銀以下△同飛▲同桂△８七歩成は、▲４三角成△同玉▲５二銀から一気に攻められそうだという。なので、▲６一角には△８四飛ではなく、△８七歩成▲８三角成△５七歩の攻め合いが有力かとされた。▲５七同金は△５九飛が金取りと△３九銀の両狙いで痛打なので、▲５九金△５八銀と進む。後手は角損なものの、先手の角がそっぽにいったので瞬間的に玉が堅く、先手玉に食いついてしまえば押し切れる。

手数48: 飛車を逃げた。▲８五銀にどう切り返すのか。

手数50: △５五飛は両取りだが、▲６九金と遊び駒を寄せる味がよい。

手数52: 豪快に迫った。▲７八同金は△５八飛成、▲５九金寄は△６七銀成で手が続く。▲６八金上には△８七歩成▲８四銀△７七と▲５七金上△４五桂▲５六飛が予想される。途中の△７七とが金取りになるのが△７八銀の効果で、最後の▲５六飛に△同飛なら▲同金と手順に金を逃げることができる。

手数53: 金を寄る。これは△６七銀成にどう指すのか。

手数54: 後手はスムーズに歩切れを解消できた。▲６七同金は△５九飛成。

手数55: 美濃を崩して、５八に利きを足した。

手数56: 質駒の銀を取る。

手数58: 自陣に手を戻す。▲４三角成と切っても、▲５二銀と打ち込めないのでは迫力がない。

手数59: 桂にヒモをつけながら、後手玉をにらんだ。先手は２枚の角が残っている。特に７一の角は、▲６二角成から▲６三馬と地道に使うしかない。△５八成銀に▲同金は、△同飛成▲同銀△４八金にうまい受けがあるかどうか。▲５八同銀は△６七銀▲４九銀打△５八銀成▲同銀△６七銀から千日手になるかもしれない。

手数60: と金攻めを間に合わせようとしている。

手数61:

手数62: 渋い指し回し。銀打ちは▲６三馬を防ぎ、▲４三角成を牽制している。先手の攻めをしのげば、と金攻めが間に合う。

手数63: ▲６七金とされてはいけない。△７七とか、それとも△５八成銀か。

手数64: と金を寄せた。

手数67: ガツンと▲５二銀。双方の駒が集中しているところに打ち込んだ。後手が素直に応じる進行は、△５二同歩▲同歩成△同銀▲同角成△同金上▲同馬△同金▲同飛成。これは以下△４二合に▲４一銀から寄る。

手数70: と金を取らずに竜を作った。次は△５八と▲同銀△４八竜である。

手数71: 先手のほうが先にカナ駒をはがしている。

手数73: 開き王手。先手の大駒３枚が一気に働いた。

手数77: △４四銀は▲５二角成△同金に、▲同飛成△３三玉▲３二竜△２四玉▲２三竜から詰み。しかし、▲５三歩を放置するのも▲５二歩成△同銀▲同角成から後手玉が詰む。

