手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数12:

手数13: 盤上は互いに飛車先を突き越しての角換わりに進んでいる。

手数20: 淡々と駒組みが進む。

手数24: 途中の手順はそれぞれで微妙に違ったものの、現局面は先後で同じ形になっている。

手数26: 互いに攻めの桂を活用。

手数30: ともに一段飛車プラス４八金（６二金）型に構えた。

手数31: 玉側の端歩を突いて間合いを計る。将来の玉の逃げ場を作っている意味もあり、先手としては損のない一手だ。

手数32: 代えて△１四歩もあるところだった。

手数33: 今度は１筋。

手数34: こちらも丁寧に応じる。次の一手は（１）▲６六歩と（２）▲５六銀が多数派だ。

手数35: ▲６六歩を選択。どこかで後手から直接△６五桂と跳ねられる手を防いでいる。

手数37: 相腰掛け銀の形に落ち着いた。

手数38: 玉の位置を微調整して待機。後手は場合によっては千日手も辞さない姿勢か。

手数39: 先手は玉の囲いを進める。

手数40: いったん前に出た攻めの銀を後退。後手は徹底して待つ作戦かもしれない。

手数41: 先手はうまく戦いの糸口を見いだしたい。

手数43: 落ち着いて玉を固めた。

手数44: 先手の腰掛け銀が引いたところで、改めて後手の銀が出てきた。

手数45: 「歩越し銀は歩で対抗」の形を作る。

手数46: ▲４五桂と跳ねられる手を消しつつ、４三にスペースを作って５四銀の動きを楽にした。

手数47: 飛車を５筋に転換。これで先手は５筋の位を取れる形になった。

手数52: 先手に５筋の位を取らせた間に、後手玉もしっかりと囲いに収まった。

手数53: 次に▲６五歩といけるわけではないので、この飛車寄りはパスの意味が強いか。

手数54: 位を取られた５筋に照準をあわせ、好機に△５四歩から逆襲する筋を見せる。

手数55: 定位置である２筋に飛車を戻り、後手玉頭をにらむ。

手数56: 後手も飛車を元の位置に戻った。代えて△５四歩▲同歩△同銀は、▲４五歩の反撃が嫌だったか。例えば以下△５五歩▲６七銀△４五歩には▲２四歩△同歩（△同銀は▲４四角が王手金取り）▲２五歩がある。

手数57: 先手が仕掛けていく。

手数59: さらに攻めの幅を広げる。

手数60:

手数63: 自然に飛車先を切りにいく。▲２四歩の前に▲１五歩△同歩の突き捨てを入れるかどうかも考えたのかもしれない。

手数65: ▲２四同飛に対し、無難な手は（１）△２三歩だが、（２）△２三金で上部を厚くしたほうが先手の攻めを押さえやすいという見方もあるか。ただ、後者は以下▲４四飛△同銀▲５四歩△同歩▲４三角というように、飛車切りから強襲される筋もちらついて気楽には選べない。

手数66: 金上がりを選択。対する先手は▲４四飛と切り込むかどうか。

手数67: ▲４四飛。

手数69: ４五桂の存在を生かした突き出し。

手数70: ▲５四歩を無視して攻め合いにいった。代えて△５四同歩に▲４三角の進行は攻められっぱなしになりそうで嫌だったか。

手数71: この▲８六同銀に代えて▲８六同歩は、△８七歩のタタキが痛そうだった。以下（１）▲８七同玉は△５九飛だし、（２）▲８七同金も玉形が一気に弱くなる。

手数72: 後手ももう止まれない。

手数73: ４八の金取りに構わず攻めていく。

手数75: 金の頭に歩を連打。対して△２五同金は金がほとんど守りに働かなくなるので、そこで▲５八金と手を戻して△８六角成を催促すれば先手がよいか。

手数76:

手数77: 現局面で△５三同銀は、▲同桂成△同金に▲２四銀と覆いかぶさっていって先手がやれるか。

手数78: ５三のと金は相手にできなかったようだ。ここで４八金を取る。

手数79: 露骨に駒をはがしにかかる。次は▲２三銀成△同玉▲３四角が狙いだ。以下△３四同玉は▲２四金がある。また、現局面で△６六馬には▲７七角がぴったりした受けだ。

手数80: かわして頑張った。

手数81: 手駒に金を加えて、▲２三金△３一玉▲５四角を見る。

手数83: ３四金を裏から狙う。

手数85: この手が▲２三歩成△同玉▲３四金以下の詰めろになっている。

手数86: 現局面で▲７七銀と馬に当てられて、後手の手が難しそうだ。

手数87:

