手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数12:

手数15: 盤上は横歩取りの将棋に進んでいる。

手数17: ▲３六飛と引く手を省略して、まず玉の位置を５八に決めた。

手数18: 後手も玉を真っ直ぐに立つ。代えて（１）△２二銀、（２）△８五飛、（３）△６二玉、（４）△７六飛など、選択肢の多いところだった。

手数19: ３四飛型のまま３筋の歩を突き、▲３七桂から急いで攻める姿勢を見せる。

手数20: 後手も横歩を取る。乱戦の雰囲気が漂ってきた。

手数21: 角を上がって△８八角成▲同銀△７八飛成の筋を受ける。この手に代えて▲７七桂も考えられるところだった。

手数22: 角交換に出る前に△２六歩を利かしにいく指し方もあったが、単に角を成る手を選んだ。

手数24: △７七角成と△１九角成の両方を見た角打ち。

手数25: ▲２二歩は定跡化されている反撃で、（１）△２二同角なら▲６八銀でよい。（２）△７七角成▲同金△同飛成も、▲７八歩〜▲２一歩成で先手よしだ。

手数28: 先手にと金作りを許す代わりに、後手は手順に左の銀桂を使う。

手数29: 手筋の垂らし。△２三同金と取らせてから▲８四飛とすれば、あとで▲２四歩と金頭に歩を打つ攻めが生じる。

手数31:

手数32:

手数33: 軽く歩を突き出して、７七の地点を受ける。代えて▲２四歩も有力そうに見えたが、以下△７七角成▲同金△同飛成▲８八角△７五竜で簡単ではなかったか。

手数34: 先手からの▲６七角を緩和しつつ、５七の地点を狙う。

手数35: 飛車桂両取りの角打ち。

手数36: 両取り逃げるべからずで切り返す。

手数37: △５七桂成は許せない。

手数39: 飛車を取り合う。先手からは次に▲３一と△同銀▲２一飛が厳しそう。後手はこの手番をうまく生かしたい。

手数40: ８九に飛車を打ち下ろした。

