手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数14: 戦型は互いに飛車先を突き越しての角換わり。

手数19: 先手は居玉のまま攻めの桂の活用を急ぐ。現局面で△６四歩なら、▲３五歩△同歩▲４五桂といきなり開戦する順も考えられる。

手数20: 堂々と△６四歩。▲４五桂と跳ねられる筋を警戒するなら、代えて△５二金もあった。

手数21: すぐの仕掛けは自重して居玉を解消。

手数25: 淡々と駒組みが進む。

手数30: 一段飛車プラス４八金（６二金型）の先後同型に落ち着いた。

手数31: 将来の玉の懐を広げる、損のない一手。

手数32: 無難にあいさつ。

手数34: １筋も突き合う。

手数35: どこかで△６五桂と直接跳ねてこられる手を防いだ歩突き。

手数37: 相腰掛け銀の形に。

手数38: 玉の位置を調整して待つ。後手は場合によっては千日手でも構わないという姿勢だろう。

手数46: ともに玉がふらふらと動き、手を渡し合っている。現局面は４０手目の△４二玉の局面と同一だ。

手数47: 先手が攻めの桂を跳ねて戦端を開いた。

手数48: △４四歩で桂を捕まえる手を見せて、先手の攻めをせかしている。

手数49: 後手の桂頭に手を出していく。代えて▲３五歩も指されていた。

手数51: 桂を犠牲に１歩を得る。狙いは▲７四歩だ。

手数52: 力強く△５三同玉。代えて△５三同金は７筋が薄く、▲７四歩がより厳しくなった。

手数54: ▲４五銀のぶつけを消しつつ、玉のコビンを塞いでおく。

手数57: ▲２四歩と飛車先を切りにいく。これで未知の局面に入った。

手数59:

手数60: 先手の飛車を追いつつ、駒を前に使う。２一桂には８一飛のヒモがついている。

手数62: 自玉頭を安定させた。

手数64: 先手の飛車の縦の利きを止めておく。

手数65: 主砲を５筋に転回し、▲５六歩△同歩▲同銀の攻めを見せた。先ほど△５五歩▲６七銀で銀を引かされたことを逆手に取ろうとしている。

手数66: ▲５六歩がくる前に、先手の攻め駒から少しでも遠ざかっておく。

手数70: 先手が動いてきて５筋の歩が切れたところで、改めて５三に歩を配置。５四の銀が安定した。

手数71: 何も攻めの手掛かりがない後手陣の真ん中に歩を放り込んだ。後手がこの歩を捨て置くと▲５一角があるし、△５二同玉なら後手玉が５九飛の間接的な射程に入る。

手数72: ここで先手から有効な継続の攻めがあるかどうか。

手数73: ぐん、と伸び上がるように銀をぶつける。

手数74:

手数76: 先手から▲７四歩とたたかれる筋を消しながら受け駒を増やす。

手数77: いったん飛車を引き揚げ、後の攻めを繰り出しやすくする。飛車があまり相手の受け駒に近いと、接近戦に持ち込まれて攻めあぐねることになりそうだった。

手数78: 手堅く玉頭をカバー。戦いは小康状態に入った雰囲気だ。

手数79: 盤上左右を眺め渡す位置に持ち駒の角を据えた。

手数80: すぐに△６五歩が指された。５六角の利きを遮りつつ、先手陣に手を出していく。

手数81: 先手は３筋から攻めていく。代えて▲６五同歩は△７六歩▲６六銀（▲同銀は△６六角）△８六歩というように、後手にどんどん攻められてしまったか。

手数82: 構わず６筋を取り込んだ。現局面で▲３四歩には△６七桂が利くかもしれない。

手数83: ひとまずは６七の地点を受ける。

手数84: 先手が歩切れになったところで、３筋に手を戻す。

手数85: この▲６五桂に（１）△７二金は▲５三桂成〜▲７四角が厳しく、（２）△６三金も▲７二銀がある。

手数86: あっさり銀桂交換に応じる。

手数88: 先手陣を鋭く射抜く、感触のよさそうな角。直接の狙いは△６七桂だ。

手数89: 中途半端な位置にいた右金を玉方向に呼び寄せる。

手数90: ８一飛に活を入れる突き出し。

手数91: 先手は歩切れは解消された。

手数92: 焦点に歩を放り込む。この歩を何で取っても△７六桂ということだろう。

手数95: 銀で食いちぎって手番を取りにいく。

手数97: 鋭い反撃。この▲７二銀に△同金なら、▲６四桂がうるさそうだ。

手数98: 飛車を逃げることなく、先手の要の駒である６五角を狙っていった。代えて△８六飛は▲８七歩△８四飛▲７五銀というように、手順に先手玉上部を厚くされるのが嫌だったか。

手数99: 代えて▲６一銀打も読んだのだろうか。

手数100: 後手からは次に△８七歩がうるさそうだ。

手数101: ３四角の自陣への利きを遮断。

手数102: この△８七歩を取ると、△７五桂が厳しい。

手数104:

手数105: 代えて▲６七同金寄は、△７五桂を先手で打たれて損だったか。

手数106: 持ち駒の桂をねじ込んでいった。６八に空間を作っておいた効果で、現局面で▲７七同桂は△同歩成▲同金△６八角で決まる。

手数107: 相手陣に飛車を打ち下ろして攻め合いに出る。

手数113: 代えて▲７三飛成と比較した時間だろうか。

手数114: 攻めながら手順に７筋の歩を消し、△７二歩で金取りを防いだ。

手数115: 先手は▲５五桂を間に合わせたい。

手数117: 代えて▲８八同玉もありそうだったが、飛車で応じる。以下△７九角成に▲５五桂で勝負ということだろうか。

手数119: 後手玉の退路を塞ぐ。先手に角か銀があと１枚入れば、後手玉に▲６一銀以下の詰めろがかかる。

手数120: 玉の懐を広げつつ、「何かやってこい」と催促。

手数121: 中段の銀に働きかけた。

手数122: 前に出て勝負。代えて△７四銀と引いているようでは駄目と見たか。

手数123: ５筋の歩が切れたところで、すかさず玉頭をたたく。

手数124: 代えて△５三同金は▲３二竜が厳しかった。

手数129: 竜切り。これは勝ちを見切った手か。

手数131: 後手が投了した。後手玉は受けなしになっている。

