手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数9:

手数10:

手数11:

手数12:

手数15: 先手が▲３四飛と取ったことで、戦型は横歩取りに決定した。

手数17: 飛車を引かず、玉をまっすぐ立った。青野流と呼ばれる構えで、積極的な攻めを狙える作戦だ。

手数19:

手数20:

手数23: 横歩を取った飛車を引かずに陣形を組み立てる。青野流ならではの手順が続いている。△８六歩の垂らしは部分的には厳しい手筋だが、この場合は▲８四歩と止められるので大丈夫だ。

手数24: △２六歩と垂らして先手陣を揺さぶる。機を見ての△２七歩成▲同銀△２八角を狙った。

手数25: ▲２八歩と打って△２七歩成以下の筋を消しておく。手堅い受けの手だ。

手数28: 角交換から△３三銀と上がって飛車を追い払う。

手数29:

手数31: ▲同銀は△４四角▲８七歩に△３五角▲同歩△２九飛で先手がまずかったか。

手数32: ２筋の成り捨てから△２八角と打ち込む。△１九角成から駒得する順を見せ、先手の動きを誘っている。先手の立場からしても黙って香を取られるわけにはいかず、ここは動くしかないだろう。先手はどのような手段で攻めていくか。

手数33: 先手は▲４六角と打ち返した。これは△１九角成には▲４五桂と跳ねて攻める狙いだろう。以下△４六馬▲３三桂成△同桂▲４六歩と進んでどうか。▲銀と△桂香の交換自体は先手のほうが駒損だが、持ち歩の多さは心強い。

手数34: 後手は堂々と香を取る。

手数35: すかさず▲４五桂と跳ねる。これは３３手目コメントで記載した順に進みそうだ。

手数39: ３６手目△４六馬と指してからはスラスラと進行。双方の駒台が充実してきた。後手は手番を生かして攻め続ける順があるか。

手数40: 再度の△２八角で攻めを継続。△１七角成と△４六角成の両狙いだ。

手数41: ▲８三歩と打って切り返す。後手の飛車を８三に呼べば技もかかりやすい。

手数42:

手数43: ▲５六角と打って８三飛を狙う。また、１筋の歩が切れた際の▲１二歩も含みにしていそうだ。

手数45: ▲２三銀と打って直接後手玉に迫っていく。次の▲３二銀成△同玉▲２三金が狙いで、実現すれば先手が優勢だ。後手はなにか対応する必要があるところ。一例は△３一金だろうか。

手数46: △２二歩と打って手堅く守る。３二金ははがされるが、△４六角成が実現するまでは辛抱の姿勢だ。先手は攻めが止まってはまずいので攻め続けないといけない。▲３二銀成△同玉の局面での後続手段を考えているようだが、思わしい順は見つかっていない。

手数49: ▲３二銀成と金をはがし、一転して▲４七銀と手を戻す。やはり後手陣を一気に攻略する順は難しかったか。

手数50: 金銀の守りのいない後手玉では強く戦えない。いったん△４四銀と打って補強した。

手数51: 角をいじめた。△１七角成には▲１五飛が幸便だ。

手数52: じっと１九に逃げておく。

手数53: 先手も飛車を逃げておく。

手数54: 桂を投入。３四飛の捕獲に向かった。▲２四飛には△２三香なので、この飛車は逃げきれない。

手数55: いったん▲２四飛と逃げた。いずれ▲４四飛と切ることにはなりそうだが、△２三香と打たせて戦力を削ってからのほうが条件がいい。

手数56: △２三香と打てば飛車を捕獲できたが、後手は△３四歩と打って自陣を修復。なんとも渋い一着だが、次の△５五銀を見ているのかもしれない。もちろん△２三香も厳しい一着だ。

手数57: ▲７七桂と活用。△２三香に▲同飛成△同歩▲８七香の反撃を用意している。

手数58: 今度は香は打たない。後手は△２三歩と突いて飛車を追い払う。

手数59:

手数60: 金を寄って守りを強化する。ここにきてにらみ合いとなった。

手数61: いったん８四飛を後手陣に追い返す。

手数63: 金を強打して後手陣の突破を図る。以下（１）△３五同歩には▲２三角成△３一玉▲２二馬△４一玉▲２三飛成で、後手陣を荒らしていける。（２）△３五同銀▲同歩の進行も先手の攻めに迫力が出てくる。次の▲３四歩の取り込みが厳しい。この金が取れないとなると、後手も持ち駒を投入して防ぐことになるだろうか。

手数66: 金銀交換に応じ、再び４四に駒を投入。今度は４四の駒が金なので、▲３四歩には△同桂と取って大丈夫だ。

手数67: 取り込んで攻めを継続。

手数68: 桂で取り返す。飛車取りと同時に、４六の地点をにらんでもいる。

手数69: 飛車取りとあっては逃げるのは仕方がない。

手数70: 今度は５六角をいじめる。

手数71: ▲６五角と逃げても△６四歩で結局角は捕まってしまう。逃げずに▲３五歩と打って桂をいじめた。

手数72: いったん払う。

手数73: ▲１五飛と浮く。珍しい飛車の使い方だが、後手は金取りの受け方が難しそうだ。△４六金には▲３四角がある。

手数74: ここで角を取る。

