手数1:

手数2:

手数3:

手数4:

手数5: 先手は三間飛車に構えた。

手数6:

手数7: △３四歩を見て角筋を止める。角交換型にはならない。

手数9: 端を打診。相手が穴熊に組むかどうか、穴熊の意向なら△１四歩の突き合いは不急の一手になる。

手数12: 後手は自然な玉寄り。序盤の方針を立てていたのか。

手数13: ▲３八銀と立ち、美濃の意向を示す。

手数18: △３三角と上がった。△２二玉と深く囲えるようにし、持久戦に持ち込むようだ。

手数23: ７筋の位を取った。角を６八か５九に引き、▲７六飛と浮く形が視野に入る。

手数24:

手数25: 左金を上がり、自然に美濃囲いに組み上げた。

手数28: 香を上がり、穴熊を見せる。

手数31: 浮き飛車に構えた。次に▲７七桂で石田流の好形が望める。

手数35: 角を５七に上がった。▲６五歩〜▲７四歩で角の利きが飛車に当たる。

手数37: 後手の駒が片寄ってきたところで歩を突き出した。△７四同飛▲同飛△同歩の飛車交換は、後手陣に隙が多い。飛車の打ち合いになれば、先手は桂も香も取れそうなのに対し、先手の左桂は取られにくい。

手数38: 飛車交換には応じられなかった。突き出された歩を歩で取る。

手数40: 三段目に引く。▲７四飛に△７三飛のぶつけを用意した。６五まで歩が伸びており、▲７三同飛成に△同桂が△７七角成を見せた先手になる。

手数41: 穴熊の玉頭に▲１五歩と伸ばした。

手数42: 歩頭に角を上がった。１七の地点に利かし、▲１四歩から攻めてきたときに反動をきつくする意味がありそうだ。

手数45:

手数46: 上がったばかりの角を戻る。歩がぶつかるのを待っていたのか。

手数47: ならばと角を上がり、▲５四歩の銀香両取りを見せる。

手数48: ギリギリのタイミングで歩を突き出す。放置されれば△８七歩成のと金が大きいし、▲８六同飛は△同飛▲同歩に△６九飛と銀香両取りに先着できる。

手数50: 続いて７筋にも突き出す。▲７五同飛なら△８六飛とさばけ、▲７五同銀なら銀が玉から遠ざかる。

手数52: ここまでは先手がうまく指しているとの印象だ。何かよくなる手がありそうだ。後手は序盤を作戦負けと見ていたようだ。

手数53: 桂を８五に跳ねる。相手の飛車をさばきにくくさせた。△８四歩なら▲７四銀がピッタリだ。この桂は簡単には捕獲されない。

手数55: 銀を引き、▲７二飛成を見せる。直前の▲８五桂の効果で△７三飛の切り返しがない。

手数56: △７三歩と受けた。次に△８四歩から桂を取りきれればうまい。

手数57: 歩を合わせ、７筋突破を見せた。△７四同歩には▲同飛が銀取りになる。

手数58: ７筋には触らず、△５六歩と伸ばす。互いの角の利きが通った。

手数60: 銀取りには応じず、歩を成り捨てる。▲５七同金は△４五銀で角が助からない。かといって▲５七同角なら△５五銀と出られる。

手数61: 角で応じた。５五の地点が弱くなっている。

手数63: 銀がぶつかったところで踏み込む。後手はどこかで△７五歩が生じており、飛車がさばけないことはなさそうだ。△７三同桂▲同桂成△７五歩で穴熊の堅さが生きそうだと見られている。

手数64: と金を桂で払った。

手数66: 成桂を放置し、ぶつかっていた銀を取る。あちこちで駒がぶつかる複雑な局面だ。

手数67: 飛車のほうを取る。７筋に飛車を成って二枚飛車の攻めが実現すればうまい。

手数70: 激しい駒の振り替わりがあり、駒割りは▲飛桂△角香とほぼ互角だ。

手数71: 馬を自陣に引きつけられると働きが強大になる。飛車を成れたところ、▲７七歩と打って閉じ込めた。

手数74: 香を据えて歩切れにさせ、金取りに角を打つ。△７七馬や△７七角成の狙いもある。▲６七金には３五か２四に馬を作っておく。

手数75: 銀を投入し、金取りを受けた。先手の攻めは二枚飛車に期待がかかる。代えて▲６七金△３五角成の展開は、△５七歩から攻められる筋がうるさかったようだ。

手数76: 飛車に当てて２枚目の馬を作った。△３三馬と引きつける味がある。

手数79: 竜を逃げながら香を手にする。味のいい取り方だ。

手数80: ５筋に歩を合わせた。▲５五同歩なら△同馬引が竜に当たる。

手数81: △５五同馬引が竜取りだが、放置して△５六歩と取り込まれるわけにはいかなかった。

手数83: 竜を６筋にかわす。次の▲５一飛が楽しみだ。

手数84: 金取りに歩を押さえる。この歩を攻めの拠点にしたい。

手数85: 離れ駒になるが、横にかわした。どこかで▲５八歩と受ける含みがある。

手数86: 歩を取りながら香筋を通す。成桂に当ててもいる。

手数87: ▲２一飛成までの詰めろ。香の裏に打つことにより、５筋の受けにも利く。

手数88: 後手は歩しかないなら自信がないかもしれません。

手数89: 代えて▲７二成桂や▲７三成桂を挙げる手もあったが、先手は馬取りに竜を引いた。

手数91: 歩を打って香の利きを止め、△５七歩成を防ぐ。

手数93: 金を引いて辛抱。代えて▲５六金は△５四馬で６筋から竜を追われ、△６七歩成を狙われるところだった。

手数95: 金銀４枚で固められ、二枚飛車の攻めは難しい。清算に応じる。

手数97:

手数100: 歩の成り捨てで金を上部に誘い、飛車を下ろす。金取りだけでなく、△４八馬▲同金△３九銀の狙いもある。

