手数1:

手数2:

手数3:

手数4:

手数5:

手数7:

手数8:

手数9: 先手の作戦は中飛車だった。

手数13: 互いに玉を移動させる。

手数18: 角交換をしてから△６四銀と出るのが中飛車に対する受け方のひとつ。５筋の歩交換を拒否する。

手数19: 先手は美濃を完成させる。

手数24: 後手は玉を固めるよりも中央を厚くする方針のようだ。

手数27: 先手はさらに銀冠に組み替える。

手数28: 先手の堅さ対後手の手厚さといった戦いになりそうだ。

手数33:

手数35: △６五桂が見えているだけに大胆な金上がりともいえる。

手数36: 後手は桂を跳ねた。７七の銀を移動させれば△８六歩と突くことができる。

手数37: 先手は相手に動かせて戦機をとらえる構想のようだ。

手数40: 角を打って９九の香を狙いにいく。

手数41: 先手は角を合わせた。香を守るには角を打つしかない。

手数42: 手順に飛車をさばいた。

手数44: 手筋の歩突き。先手の角筋を止めながら５筋にアヤを求める。

手数45: 左桂をさばく。後手が桂に２手掛けて跳ねてきたので、ぶつけやすい意味はある。しかし、後手に飛車を成り込ませるだけに損得が難しいか。

手数47: 大駒の両取りが掛かった。

手数52: 後手は駒損だが、飛車を成り込み５筋の歩を取り込んで対抗する。５六の歩は大きな拠点だ。

手数55: ５三に銀を移動させて▲４五歩と突く。△４五同歩と突き捨てておけば何かのときの▲（４五）同桂が銀取りになる。

手数57: 香の両取り。

手数60: 馬を封じ込める。

手数61: 攻防手。味のいい香打ちだ。

手数63: 後手陣に食いついていく。

手数66: ４五の地点を支える。後手は４筋の厚みを生かして戦いたい。

手数70: 手厚い銀打ち。後手は中央の厚みを生かしたい。

手数73: 先手は１筋に狙いをつけた。△１四同香は▲１三角成と角を成り込むことができる。

手数74: 桂を打って角筋を遮断する。

手数77: １筋でポイントを挙げる。

手数78: 手にした香を５七に打ち込む。９三の馬も利いている地点なのでうまく攻めがつながるかどうか。

手数81:

手数83: 先手は馬を引きつけて堅いが、△６五桂からしばらくは攻め続けられそうだ。

手数84: △４五桂と跳ねて桂をぶつける。

手数86: 手順に厚みを築いて馬を圧迫していく。

手数91: ▲５三歩△同金の効果で桂打ちが金取りになる。

手数93: 馬を逃げながら竜に当てる。

手数94: 後手は竜をバサッと切った。

手数96: このと金攻めに期待したのだろう。

手数97: 急所に香をたたき込む。

手数99: 金をうわずらせてからと金を作る。▲２二飛△３一玉▲３三桂成の寄せを見ている。

手数100:

手数102: 前述の▲２二飛〜▲３三桂成は△３八成銀から先手玉が詰んでしまう。しかし、ここで▲５七馬と捨てる手がありそうだ。△５七同成銀は先手玉の詰めろが消えるため、▲２二飛〜▲３三桂成で先手の勝ち筋となるようだ。

手数103: 先手は▲５七馬と指した。△同成銀は先手玉の詰めろが消えるので、▲２二飛△３一玉▲３三桂成で先手の勝ち筋になる。また、後手玉は先手が銀を持つと▲２二飛以下の詰めろになる。この局面で後手が投了した。

