手数1:

手数2:

手数3:

手数4:

手数8: 後手は振り飛車模様の駒組みだが、まだ居飛車の余地もある。

手数10: 後手は△８四歩と突いて居飛車を明示した。

手数15: 先手は▲８八銀と上がった。▲７八金〜▲７九玉から角を６八や５九に引き、矢倉に組み替える順が考えられる。

手数16:

手数18: 後手は銀を繰り出して速攻の気配を見せた。

手数19:

手数21: 先手は玉の囲いを進めながら、後手の出方をうかがっている雰囲気だ。

手数22: 後手はいったん自陣に手を戻した。どこかで△７五歩と動いていくことになりそうだが、そのタイミングを計っている雰囲気だ。

手数25: 先手は棒銀に出た。

手数27: 先に急戦模様を見せたのは後手だったが、先に仕掛けたのは先手だった。

手数32: 相手の仕掛けに歩調を合わせて反撃に出た。

手数33: 歩を打って３筋に拠点を作った。

手数34: 互いに相手の角を攻める展開になっている。後手の視点でいえば、２筋を攻められる前に先手の角を追って△４五歩と突ければ角の活用が見込める。

手数35: 先手は飛車を浮いた。７六の地点を受けている。

手数39: ７筋を受けずに桂を跳ねて力を溜めた。△７六歩には▲６六角が飛車に当たるので先手を取れる。

手数41: 先手は金を寄って陣形を固めた。そして、金を寄ったことで角を引く余地はなくなっている。不退転の決意を固めたということか。

手数42: 飛車を引いて、次に△７六歩と打ちやすくなっている。

手数43: 先手はここで攻めに出た。△２四同歩に▲２五歩と継ぎ歩で攻める狙いか。

手数45: 継ぎ歩ではなく銀で。シンプルに２筋の歩交換になりそうだ。

手数47:

手数48: 後手は△７六歩と角を追った。

手数50: さらに角を追う。▲５五角で先手の角はまだつかまらないが、△５四銀で千日手を狙う手はあるかもしれない。

手数52: 後手はすぐに銀を引いた。千日手を狙っている。先手は打開できるかどうか。打開するなら▲７五歩△同飛▲６六角があると見られている。以下△７四飛に▲２五桂が一例だ。桂を跳ねてしまえば再度の△６五銀▲５五角△５四銀には▲２八角と逃げる手や、▲７三角成△同飛▲３三桂打の強襲もありうるという。ただ、先手よしとまではいいきれないので、千日手を選ぶ可能性もあるようだ。

手数53: 先手は黙って角を引いた。千日手でやむを得ないと判断したか。あるいは１回相手の様子を見た可能性もある。

手数54: ここが起点で、同一局面２回目。４回で千日手が成立する。

手数57: ▲７五歩を打って打開した。

手数61: ▲２五桂と跳ねれば一気に激しくなるところだったが、それはまだ時期尚早と見たか。先手は５筋を突いて角の退路を開いた。

手数62: 後手はそれでも銀を出て角を追う。

手数63: 先手は角を一つだけ引いた。５七角を生かす攻めとしては、▲２四歩△同歩▲同銀△２三歩▲同銀成△同金▲２四歩が考えられる。

手数64: 後手は８筋に味をつけにいった。ただ、先手に歩を渡すと▲２四歩△同歩▲２三歩の筋が生じるため、リスクもある味付けだ。

手数66: 角道を開いて反撃態勢を整えた。

手数67: 先手も狙いの攻めに出る。

手数69: 後手の角がにらんでいるので、ここは金で取るしかない。

手数70: 形を乱してから先手の角頭を狙った。

手数71: ▲２三歩成△同金▲２四歩の攻めが見えていたが、直線的な攻め合いは危ないと見たか。先手はいったん角をかわした。

手数72: 後手もいったん手を戻した。先手は角がそれてしまったので▲２三歩△同金としても▲２四銀とは出られない。何か代わる攻めを用意しているのか。

手数73: 攻めの拠点を成り捨てた。△３三同角に▲４五桂から迫る狙いだろう。先手が勝負に出た雰囲気だ。

手数74: 後手はと金を歩で払った。▲４五桂には金を逃げずに△３四歩と打って先手の攻めを断ち切る狙いのようだ。

手数75: 先手は桂を跳ねた。

手数77: 先手は金取りを急がず銀を引いた。４五桂は５三の地点にも利いている。次に▲５五銀から飛車を追って△７四飛に▲５三角成と５筋を食い破るのが真の狙いなのだろう。

手数78: 後手は▲５五銀と追われる前に自ら飛車を回った。▲５五銀〜▲５三角成を許すと先手の攻めが厚くなると見たのか。

手数81: ▲４二金までの詰めろになっている。

手数82: 詰めろを受けつつ成桂取りで切り返した。

手数85: 成桂を清算してから自陣の銀を攻めに活用した。

手数86: いかにも急所をついた攻め。局面は一気に終盤に突入した雰囲気だ。

手数87: 銀を捨てて強引に後手玉に迫る。△３四同金には▲４三銀、△３四同飛にも▲同飛△同金▲４三銀と迫る狙いだろう。

手数89: ▲５二金までの詰めろだ。

手数90: 攻め駒を責める受け。後手玉はかなり危ない格好だが、ギリギリ受かっていると見られている。

手数91: 先手は黙って金を取った。▲３二金は打っても効果がないと見たのだろう。

手数92: △３四同角は▲同飛△同飛に▲２三角の筋がある。ここで何か驚くような手がない限り先手が敗勢と見られている。

手数93: ▲３五金ではいかにもつらい。どうやら後手の優勢がはっきりしたようだ。

手数96: 後手は連打で先手の飛車を止めにいった。

手数98: ▲４四同金に△５六銀の狙いのようだ。この局面で先手が投了した。▲４四同金は△５六銀、▲４四同飛は△同飛▲同金に△３九飛の王手が厳しく、指し続けても望みがないと見たのだろう。

