手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数8: 戦型は相掛かり模様に進んでいる。

手数15: 代えて▲２六飛と「浮き飛車」に構える指し方も考えられたところ。本譜は「引き飛車」といわれる。

手数17: 先手は引き飛車から棒銀に構えた。攻め重視の駒組みだ。

手数22: 棒銀に対応した引き場所。例えば、現局面で▲３六銀なら△３五歩と反発する筋がある。

手数23: 自然な一手に見えるが、このタイミングで金を上がるのは珍しい。

手数24:

手数25: 互いに居玉を解消させた。

手数26: ▲９五同歩に△９六歩が後続手。以下、▲同香△９五香▲同香△同飛と香交換に持ち込むのが狙いだ。また、▲９五同歩に△同香とすぐに走ると、▲９六歩△同香▲９七歩△同香成▲同角で後手が失敗する。

手数28: 次は△９五飛が狙い。同じようでも△９五香は、▲９八歩と受けられておき、９五の香が不安定な形になるので、一長一短だ。

手数29: △９五飛を許すわけにはいかないので、取り返す一手だ。

手数31: 素直に▲９五同香と応じない。ここで△８六同飛なら▲９五香と取れる仕組みだ。

手数33: 下から歩を打って香を支えた。極力、９筋には飛車を回らせない方針だ。

手数36: ここから▲９五同歩△同飛と進むと、▲９七歩（３３手目）に代えて▲９五同香△同飛と同じ局面になる。そうなっては先手が工夫した意味がなくなってしまうので、ここで何か変化することが予想される。

手数37: 力強い金上がり。

手数39: 代えて▲９六同金は、△８七歩▲９七角△９一香でしびれる。先手は歩損しているわけではないので、９六の歩を取りきれなくても腹は立たないところだ。

手数41: 丁寧に受けた。この手を怠ると、△９七歩成▲同角（▲同金）に△９六香がうるさい攻めだった。

手数42: 遅ればせながら右桂の活用を図る。

手数43: ▲５六歩の一手だけでは効果が見えにくいが、将来的に▲５五歩〜▲５四歩と後手の弱点である玉頭攻めを狙う含みがある。

手数45: 先手も徐々に遊び駒をほぐしていく。香を手持ちにしているので、▲２六香から２筋の突破が狙いになる。

手数46: ▲８五同歩△同飛▲８六歩△８一飛とスムーズに８筋に戻したいということだろうか。このほうが△８五歩に代えて△９一飛〜△８一飛とするよりも１手早い。

手数49: 代えて▲８六歩とし、△８一飛に▲２七香と打てば２筋は突破できそうに見えたが、そこで△４四角の受けが利いたか。以下、▲２三香成は△２七歩▲同飛△２六香で飛車を捕獲されてしまう。かといって、△４四角に▲４五銀は△８五歩▲同歩△同飛で十字飛車の反撃を浴びる。以下、▲４四銀は△８六歩だ。

手数51: 代えて▲８二香成は味消しで、△８五飛▲７二成香△同金▲８六歩△８一飛と進むと後手の飛車が安定してしまう。

手数56: いかにも厳しそうな香打ち。先手の角は、まだ日の目を見ない。

手数60: △８六香は楽しみに残し、飛車を引いて▲３四銀に備えた。現局面で▲７六金ならば、△８五香打と重ねれば攻めがつながる。

手数68: 後手の流れるような攻めが続いている。

手数73: △８七桂は見えているが、▲９九角と辛抱した。

手数75: 代えて▲８八角は△７九桂成▲同角△８八銀▲同角△同香成▲同玉△２四飛▲同飛△９九角▲同玉△７七角成が一例で先手玉は寄り形。角を逃がしている場合ではないので、攻め合いに活路を見いだす。

手数81: 先手は飛車取りに銀を打った。

手数86: 代えて△８七角の王手銀取りは、▲６八玉に△６五角成の一手がやや甘い。

手数87:

手数90: 「玉は下段に落とせ」の格言通りの寄せ。▲６九同玉は△７七角成で先手玉は寄り形となる。以下、▲７八歩は△７九金▲同玉△８八香成▲６九玉△７八成香までの詰み。

手数94: この手は△４五金▲同玉△４四馬▲４六玉△４五銀までの詰めろ。

手数100: この局面で先手が投了した。投了以下は△４五銀までの詰めろがかかっており、▲３七桂打と受けても△５七銀打▲同金△同銀不成までの詰みがある。受けが困難な局面だった。

