手数1:

手数2:

手数3:

手数4:

手数10: 後手が角を交換して、戦型は角換わりに。

手数18:

手数19:

手数29: これで玉の位置以外は先後同型だ。

手数30: 後手は居玉のまま駒組みを進めている。

手数31:

手数32: 後手が仕掛けた。居玉のままの仕掛けだ。

手数33: 先手は▲６五同歩と応じた。

手数34: △７五歩と突いて戦線を広げる。単に△６五同桂では▲８八銀と引かれて▲６六歩の桂取りを見せられたときに忙しいと見たのか。▲７五同歩ならば△６五桂と跳ねたあと、いつでも△７七歩のたたきがあるので桂をタダで取られる心配が少ない。

手数35: 先手は桂を跳ねて攻め合いに出た。△４四銀なら▲２四歩△同歩▲同飛△２三歩に、強く▲３四飛と横歩を取る狙いもあるか。△２二銀で、△４四歩の桂取りを見せられた場合は、桂が生きているうちに一仕事する必要が出てくる。

手数36: 後手は銀を引いた。次は△４四歩の桂取りがある。先手はどう手を作るのか。

手数37: ▲２四歩と突いた。△４四歩なら▲２三歩成△同銀▲２四歩△１二銀に、▲２三角の強攻や▲５五角などで攻めが続きそうだ。

手数38: 桂を取りにいくのはまだ危険。後手はしばらく面倒を見る方針だ。

手数39: シンプルに飛車を走る。△２三歩には▲３四飛と横歩を取るつもりだろうか。後手が黙っていれば▲６四歩△５二銀▲７一角△８一飛▲６二角成△同玉▲３四飛△２三銀▲６三金△同銀▲同歩成△同玉▲７四銀で厳しい攻めが続きそうだ。ここはしっかりとした対応が必要なところ。後手はどう受けるのか。

手数40: 後手は角を打った。▲６四歩△同銀▲３四飛や、▲５五角のような筋を消している。

手数41: 先手は手を戻した。

手数42: 後手が動いた。

手数44: ８筋に味をつけてから桂を跳ねて勝負に出る。

手数45: 歩を打った。銀桂交換にはなるが、後手の角道を止めることを優先したようだ。

手数47: ここで△８八銀が見えるが、先手からも▲７四桂の筋が残っている。攻めだけではなく、自陣も見なければいけない局面だ。

手数48: △８八銀を決行した。先手は７七金が受けの要なのでこれを取られるわけにはいかないところだ。

手数49: 先手は金を上がってかわした。桂か香を取られたところで反撃に出るつもりだろう。

手数50: 後手は桂香を取る前にたたきを入れた。▲６七同玉なら桂を取ったときに△５五桂の狙いができる。

手数51: ▲６七同玉と取った。この歩を残しておくほうが危ないと見たのだろう。

手数52: 桂を取って、次は△５五桂の狙いがある。

手数53: 先手は△５五桂を受けずに攻め合いにいった。△７四同銀▲同歩と食いちぎられても、次に▲７一銀や▲７三銀の狙いが残るため、見た目以上に厳しい攻めだ。

手数54: 後手は飛車をかわして辛抱。△７四同銀と食いちぎるのは事態が悪化しかねないということだろう。

手数56: 金をボロっと取ったが、駒割りはまだ銀桂と金の交換で後手がいい。後手には△５五桂の狙いも残っている。先手はこの手番をうまく生かしたいところだが。

手数57: 先手は銀を上がって△５五桂を受けた。代わりに△６四桂が生じているが、それは構わないということか。

手数58: 後手はじっと香を取って力をためた。これで駒割りは銀桂香と金の交換で後手が大きく駒得しているが、９九成銀は働きが悪いので、実質的にそこまでの差ではなさそうだ。

手数59: 歩を伸ばして、次に▲７三角が厳しい狙いだ。

手数61: 空いた７五のスペースに角を設置。▲５三桂成△同角▲７三金△同歩▲同歩成△同玉▲５三角成の狙いがある。△７四銀には▲５三角成△同角▲同桂成△同玉に▲３四飛が金銀両取りだ。

手数62: 後手は銀を立って飛車を追った。飛車が逃げてくれれば、△７四銀と歩を払ったときに５三で清算してから▲３四飛の金銀両取りの筋がなくなる。

手数63: 先手は飛車を逃げずに勝負を懸ける。△５五同角は▲５三角成〜▲２三飛成で寄り筋だ。

手数64: ５三の地点を桂で受けて必死の防戦。

手数67: 角を取ってから手を戻した。次は▲８四角打がわかりやすい狙いだ。

手数68: 後手は桂を外した。

手数69: この王手が受けにくい。

手数70: 桂の犠打でしのぐ。

手数74: 先手の角が行き場がないが、後手玉がかなり危ない格好だ。

手数75: 飛車を活用して寄せを目指す。

手数77: ばっさりと切って決めにいった。

手数79: ▲５三角成からの詰めろだ。

手数80: 食いちぎって急場をしのぐ。

手数81: 後手玉はまだ▲６三桂成△同玉▲５四銀以下の詰めろになっている。

手数82: ハッとする捨て駒。▲７六同玉に△８四桂と王手で角を取る狙いだ。

手数83: 先手は堂々と▲７六同玉。

手数85: 後手玉は▲６三銀以下の詰めろになっている。

手数86: 玉をかわして詰めろをしのぐ。

手数88: 早逃げで頑張る。２三銀・３二金が守り駒に変わった。

手数89: 後手の守備駒を乱しにいく。

手数91: 飛車の王手に桂で合駒した。▲７七歩は△７一香が嫌だったのだろう。

手数92: 角の王手に対して▲８七銀は△同馬▲同玉に△６七銀、▲８七金は△７八飛成で受けにくい。

手数93:

手数99: 先手は自玉は受けずに決めにいった。

手数100:

手数104: 綺麗にバラしたが、これで決まっているのか。

手数105: これで後手玉は受けのない格好だが、先手玉は大丈夫なのかどうか。

手数108: 詰むや詰まざるや。

手数112: この局面で先手が投了した。以下▲６四合に△７二金までの詰み。

