手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数17: 相矢倉の出だしになっている。

手数18: 早くも右銀を５三に使った。後手は急戦志向だろうか。

手数19: 飛車先を決めて、後手陣に手を出しやすい形にしておく。

手数20:

手数21: 右銀を素早く進出してきた後手に対し、先手も右銀を使っていく。代えて▲６六歩や▲２四歩も考えられた。

手数22: ▲２四歩を防ぎつつ、場合によっては△４四銀と左銀も前線に繰り出す手を可能にする。

手数23: 穏やかに指すなら▲６六歩〜▲６七金右だったが、３筋の歩を突いて攻めの姿勢を見せた。

手数24: 後手も右金を守りに使っておく。代えて△８五歩や△５二飛もあっただろう。

手数25: 先手も銀を前線に繰り出す。

手数26: 銀２枚を中段に並べて、後手は相当に攻撃的な構え。ただ、まだ飛車先が伸びていないので、攻めるのはもう少し先になるだろうか。

手数27: △４四銀を見て、飛車先交換に出た。

手数31: 飛車先交換から、手順に浮き飛車に。代えて▲２八飛も自然だった。

手数32: 何はともあれ、後手もこの歩は突いておきたい。

手数33: 中央で互いの銀がにらみ合う。

手数38: 後手も飛車先交換から浮き飛車に構え、先後で完全に同じ形になった。

手数39: 攻めの桂を活用。浮き飛車で桂頭をケアしているため、▲３五歩といきやすい形だ。

手数40: 代えて△７三桂もありそうだったが、金寄りで３筋を固めた。

手数41: 将来の△９五桂を消しつつ、どこかで▲９七角とのぞく手も可能にした。

手数43: ９筋に続き、１筋も突いて間合いを計った。

手数45: １筋の突き合いを利用して、仕掛けていく。

手数47: 戦線拡大。△３五同歩のあとはどのような攻め筋を用意しているのか。

手数48: △３五同歩とするのでは相手のいいなりで気合が悪いと見てか、後手からも手を出していく。

手数49: 先手が一足先に急所の歩を取り込んだ。後手は△４二金右の一手が入っている分、３三の地点が手厚いということが主張だろう。

手数51: 焦点に歩を垂らした。対して△１三同香には▲３三歩成ということだろう。以下△３三同銀なら▲５五歩、△３三同角なら▲２五桂でどうかだが、基本的には先に攻めている先手ペースだろう。

手数52:

手数53: ▲３三歩成は保留して、桂を跳ね出していった。

手数54: 後手は５筋に手をつけて、攻め合いの形を目指す。現局面では▲２四歩という手が考えられる。△２四同歩とさせてから▲１三桂成と香を取れば、後手は△１三同角としても角を使うことができない。よって△１三同桂だが、先手は以下▲２四飛△２三歩▲１四飛と飛車を１筋に潜り込んで、次に３三の地点を狙うイメージでどうか。

手数55: 手筋の歩だ。

手数59: 代えて▲１五香もありそうなところだった。

手数61: ▲１四飛と入り込むことはせず、▲１四歩の桂捕獲の狙いを残した。

手数62: 端攻め対中央攻めという構図か。難しい。後手は１筋が破れているが、先手も△６五桂と跳ばれると中央は壊滅する。本当の殴り合いで、形勢不明だ。

手数63: この▲１四歩に代えて▲３三香は腰が入っておらず、以下△３三同銀▲同歩成△同角のときに有効な二の矢がなさそうだった。

手数64: 銀の両取りに桂を打つ。代えて△６五桂や△８六歩も有力そうなところだった。

手数65: 先手も後手の金駒をはがしにいく。代えて▲１三歩成は△同角で、後手の角を攻めに使われそうだった。

手数66:

手数67: 戦力を補充しながら８八角のラインを通した。△６五同銀には▲１三歩成から猛攻するつもりだろう。

手数68: ひとまずは４六銀をはがし、先手陣を弱体化させる。

手数71: 金をはがして、後手玉もかなり薄くなった。

手数73: この▲１三歩成に△同角は、▲４四角△同歩に▲５三銀が▲３三桂以下の詰めろで入る。それは後手がかなり受けにくい形に見えるが。

手数74: 代えて△５七香も▲２二とと踏み込まれて、後手が芳しくなかったか。

手数75: 軽く歩を成り捨てにいった。これに△３三同銀なら▲同角成△同金▲５三銀、△３三同金なら▲２五桂ということだろうか。

手数77: 爽やかに角を切って、白黒をつけにいく。

手数79: この▲５三銀は、頭金までの詰めろ。△３二金にも▲３三桂からの詰みがある。

手数80: 玉を横に逃げて延命を図る。後手は手番がくれば、△５七香や△７七香がいきなり先手玉への詰めろになってもおかしくない。

手数81: ▲２五桂は、部分的にはかなり厳しい両取り。後手は受けていても切りがないので、このタイミングで攻め合うことになりそうだ。

手数83: △７七香に▲７七同桂と応じる。代えて▲３三桂成は△７八香成から詰まされてしまったようだ。

手数86: 後手が駒を渡しすぎることなく先手玉を寄せきれるかどうかの勝負になっている。

手数87: 代えて▲５九玉は△３七角が王手飛車取りで、▲６八玉や▲７八玉も△７六歩から分かりやすく寄りだった。

手数88: この△７六歩は、△８八銀▲同玉△７七歩成以下の詰めろだ。

手数90: 上から覆いかぶさる。対して▲７七同金は、△８八銀▲同玉△７七歩成▲同玉△７六金▲６八玉△７七角▲７九玉△７八歩▲同玉△８七飛成▲７九玉△８八竜まででぴったり詰みだ。

手数94: 力強く角を放り込んだ。これはどうやら攻防兼備の一手になっているようだ。代えて△７七銀は、▲４二銀打△２一玉▲１三桂不成△１二玉▲２一角△１三玉▲１五香△１四歩▲２五桂△２四玉▲３三銀不成以下の詰みがあった。７七に角がいれば、最後の▲３三銀不成に△同角成とできる。

手数95: 手持ちの金駒が銀になったところで、再び攻めにいく。代えて▲７七同金は、やはり△８八銀▲同玉△７七歩成から詰みがあった。

手数100: 王手をするするとかわし続ける。

手数102: 香の王手に桂合いで対応。代えて△１四歩は、▲２五桂△２四玉▲３三銀不成△同角成に▲同桂成で後手がまずかったか。１四の駒が桂なら、▲３三同桂成のときに△２六桂で飛車を取ることができる。９４手目の△７七角から、後手が素晴らしい妙防を見せている。

手数103:

手数108: △２六桂と飛車を取って、△６九飛▲７八玉△７九金までの詰めろだ。

手数110: 成桂の王手にかわしで応じた。代えて△２三同玉は、▲４一角△３四玉▲４三角成△同玉▲５二角成以下で後手玉は捕まっていたのかもしれない。

手数111:

手数112: 後手は△３四歩と打つ。この局面で先手が投了した。後手玉に詰みはなく、先手玉は受けても一手一手だ。

