手数1:

手数2:

手数3:

手数4:

手数5:

手数8: 後手は振り飛車を匂わせる駒組み。まだ態度を明かさない。

手数12: 飛車を振らずに雁木模様に構えるようだ。

手数14: ここでようやく飛車先の歩を突く。△８四歩で居飛車を明示した。

手数17: 銀を５七に上がって中央を厚くする。

手数22: 次に△６五桂の両取りがある。

手数23: △６五桂を防ぐ自然な歩突き。陣形を膨らませて金を盛り上げるスペースを確保する。

手数26: 後手は雁木の構えを採る。

手数27: しばらく駒組みが続くのか、それともどちらかが動いていくのか。

手数29: 先手から打って出た。△３五同歩には▲４六銀として、▲３五銀〜▲２四歩が狙いになる。突き捨ては攻めのスピードを増す手筋だ。

手数30: 後手も強気に応戦する。３筋を無視して６筋の歩をぶつける。▲６五同歩は△同桂が銀の両取りになって調子がいい。

手数33: 先手は勢いよく３筋から攻める。

手数35: ３筋での戦いがいったん収まったため、▲６七金と上がって６筋をケアする。

手数37: 後手は△４一玉、先手は▲６八角と上がって第２次駒組みに入ったようだ。

手数38:

手数39: 玉の懐を広げる。

手数41: 積極的に戦線を拡大する。△４六同歩▲同銀△６六歩▲同銀に△８六歩が目につくが、先手はどう応じるのだろうか。

手数42: 後手の指し手は△６四角。△４二角と引いたのはこのためだったようだ。△６四角は先手の▲４六歩をとがめようという意味かもしれない。角を攻める▲６五歩は△同桂が依然として銀の両取りになる。

手数43: 手筋の突き捨て。大駒は近づけて受けよ、の格言がある。△５五同角とさせておけば△４六歩に▲同銀が角取りになる。

手数44:

手数46: ６筋を押さえる。６四の角が安定した。

手数47: 金は５六に。△５五歩には▲４五金と出るしかなくなる。

手数52: 後手は金を呼び込んでから陣形を立て直す。先手の５七銀が重たい格好と見ているのかもしれない。

手数53: 先手は６七に歩を打ってキズを消す。だが、ここに歩を打たなければいけないようでは先手が芳しくないかもしれない。

手数54: 後手は形よく銀を真っ直ぐ上がる。天王山の位と６四の角が安定した。だが、先手から▲４五歩と突く手もあり、難しい形勢だ。

手数55: 飛車を３六に浮く。次に▲３七桂の活用を見ている。

手数56: 手筋の突き捨て。▲８六同銀は△５六歩▲同銀△５五銀といった攻め筋が目につく。

手数57: したがって先手は▲８六同歩と応じたが、△８五歩の継ぎ歩が気になるが……。

手数60: 後手は８筋ではなく６筋を継ぎ歩した。▲６五同歩は△同桂が銀の両取りになる。

手数61: 焦点の歩の手筋。

手数63: 連打で先手を取って拠点を築く。歩切れの後手に歩を渡すだけに大胆な順という声も聞かれる。

手数65: 自陣の遊び駒を活用する本筋の手順だ。

手数67: 再び激しい攻め合いになった。

手数68: 大事そうな歩を成り捨てる。

手数69: 玉で取るしかないが、戦場に引っ張り出された感じで気味が悪くなってきた。

手数70: 玉を吊り上げてから△６五桂の両取りを掛ける。

手数71: とにかく激しい攻め合いだ。

手数73: 先手は▲５七同玉と応じる。

手数74: 角筋を通しながらの王手。先手玉は露出しているため気が気でない。▲５六同飛は△３七角成や△５五銀の追撃が厳しそうだ。

手数76: 嫌みな垂れ歩が２枚、先手玉の目の前で存在感を示している。

手数77: 左金を上がって受ける。先手が粘れる感じではないだろう。２枚の垂れ歩が大きく、多少の駒得では追いつかない。

手数78: 後手は５七に銀を打ち込む。先手玉が一気に薄くなりそうだ。

手数79: 金を残すほうが先手玉にとって耐久性がありそうだ。

手数82: 急所のタタキ。▲５六同金には△５五銀が厳しそうだ。

手数84: 守備金を狙うのが寄せの基本である。

手数85: 先手は待望の▲４三歩成が入った。

手数88: 後手は銀をはがされたが、２枚並んだ金の格好が堅い。

手数89: 先手は８五に桂を打った。飛車先を止めながら後手の攻め駒を牽制しているのだろうか。

手数90: 天王山に銀を上がって先手玉にプレッシャーを掛ける。

手数91: 軸になっている６四の角を追う。▲８五桂の効果で△７三角が利かない。

手数92: 軽やかな成り捨てが出た。

手数96: この局面で先手が投了した。投了以下、▲５八同玉に△４六角が詰めろ金取りで、先手は攻防ともに見込みがない。

