手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 戦型は先手居飛車、後手三間飛車の対抗形。

手数18: 互いにしっかりと玉を囲っていく気配。

手数20: 素直に先手穴熊、後手美濃囲いにするのは、後手のほうが実戦的に勝ちにくい。△６五銀を見せて先手の駒組みを牽制する。

手数22:

手数24: △３六歩や△３四飛を見せた。

手数25: 後手の速攻を警戒したか。穴熊でなく左美濃にした。

手数26:

手数27: ▲３六同歩△同飛▲３七歩では、相手だけに歩を持たれて不満だったか。手損でも銀を戻った。

手数28:

手数31: ▲４八銀から▲３七同銀の動きをうまく利用した。次は▲２四歩△同歩▲同角があり、以下（１）△２四同角▲同飛や（２）△２二飛▲５一角成△２八飛成▲６一馬△同銀▲２八銀は先手成功。したがって（３）△２七歩▲同飛△２二飛か、どこかで△３六歩▲４八銀を入れるなどして、先手の飛車を浮き駒にする必要がある。

手数32: △５二金左は堂々とした態度。▲２四歩には△３六歩▲４八銀△２四歩▲同角△２二飛と受ける。以下▲２五歩はあるかもしれないが、後手がすぐつぶれることはない。

手数33: （１）△４五銀は▲２四歩△３六銀▲同銀△同飛▲３七銀で耐えているか。△４五銀が利かないとすれば、２筋を受ける必要がある。（２）△２二飛は無難。（３）△３四飛もある手で、▲３五歩なら６八角が止まるので、△３二飛とじっと引いておく。▲３六歩は堅いが、堅すぎる気もする。後手はまずまず、不満はない序盤だろう。

手数34: ２筋を受けなかった。強気な手だ。

手数35: ここはいきたくなるところ。

手数39: やはり先手の飛車を浮き駒にするのが大事。

手数41: ここで後手がどうするか。３４手目△６四歩の継続で△６五歩は▲７九角のときが難しい。

手数42: 左桂のさばきが振り飛車の肝。次に△２五桂は▲同飛なら△２四飛で後手好調だが、▲５一角成とされると今ひとつ。そのため△４五桂と跳ねるつもりだろうか。ずいぶん軽いが大丈夫だろうか。

手数43: ５七まで出た銀がくるりと回って４六へ。中央に駒を使うのは本筋の一手といえる。

手数44: ここで△６五歩。３４手目△６四歩からの狙い筋だった。

手数45: ４七歩を中心にした銀の一周旅行。

手数49: 先手は２筋が重い。しかし、後手も難しい。（１）△３四銀▲３七桂△２五銀は▲３三角成でほぐれそう。（２）△５六銀は▲３五歩が銀取り。

手数50: いきなり牙をむいた。

手数52: ▲２七飛は△３六銀が当たり、▲２八飛は△３九角が両取りになる。▲１六飛も１筋の歩が伸びてくる。

手数53: △１四歩〜△１五歩〜△１六歩の３手の間に何かするようだ。

手数55: ３三桂と１六飛の取り合いに持ち込むのか。先手駒損の取り引きではあるが、▲３三と△同角の形は４四歩が重いフタになり、角が８八玉を直撃する展開になりにくい。

手数57: 桂を取り、▲６四桂の狙いができた。

手数60: 一例は▲５二桂成△同金▲３二飛△４二角打▲２三金△３一歩▲３三飛成△同角▲同金△３九飛。この変化は後手が一時的に金損になるが、２一桂が駒台に乗った計算であり、先手の３三金も使いづらいため、後手も十分に戦えそうだ。

手数63: 飛車切りの筋に踏み込んだ。

手数67: 先手が食いついたか。

手数71: △６二歩は▲６一銀が痛い。

手数73: 少し前（６０手目△１六歩のあたり）は後手が少しよさそうに見えたが、ここまで進むと先手の攻めがうるさい。後手は自陣の大駒３枚があまり働いていない。

手数74: 遊び駒を受けに使う。▲５四同銀成△同歩▲６三銀なら△６四角で大駒が息を吹き返す。

手数76: ▲５五歩は△４三銀で簡単ではない。後手が耐えているという声もある。

手数77:

手数79: 角取り。４二角が助からないとしても、このまま▲４二金△同角▲６三歩成△同金▲６一角とされてはまずいので、後手は何か受けなければならない。

手数80: ▲６三歩成の筋に備えた。

手数82: 駒の損得がなくなった。後手は自陣にいた大駒３枚のうち２枚がさばけ、少し気が楽になっただろうか。

手数83: ゆっくりしていては後手の持ち駒がものをいう。▲６五角は▲４三角成も視野に入れた攻めだ。候補として△７二金と△７二銀が挙げられる。この２手の比較は難しい。

手数85: ６五角を利かして△２九飛成を受けた。

手数86: 局面を少し戻して、７３手目▲６三銀では▲６三金がまさったかという話に。▲６三金に本譜と同じく△５四銀なら▲４一銀と打てた。

手数88: これが狙いだったか。△５四歩は４二角の利きを通している。ただ、▲１一飛成くらいで自信はないとの見方もある。後手は△２八飛（８４手目）と打ち込んだものの、現状は飛車が動けずにいる。

手数92: ▲１一飛成に△３一歩と打てば竜は止まる。後手もまとまってきたか。

手数95: ▲５五同銀は△同角が王手竜取りだった。

手数96: 形勢は後手に傾いてきた。４三にいた銀が５五に使えたことを大きく評価している。

手数97: 先手も５五銀が急所の駒と見ているか。銀が入れば▲６一銀を打てる。

手数98: ▲５五銀△６五桂▲６四銀△５七桂成▲同金△６八銀で決まっていれば話は早いが。

手数99: ▲５五銀は△同角▲同香△６五桂でうまくいかなかったようだ。

手数100: 先手は数手前に打った香を歩で止められた。この香の取られ方は痛い。後手優勢がはっきりしてきた。

手数102: 後手の香得になった。２九桂や１九香が落ちており、さらに大きな駒得も見込める。

手数103: ゆっくりしていては苦しくなるばかり。先手は勝負勝負で迫りたい。

手数106: 後手は△１三角や△８四桂など、楽しみな手が多い。

手数110: △１三角は詰めろ竜取り級の厳しさがある。竜が横に逃げるのは△７九銀▲９八玉△６九竜で必至。

