手数1: 先手は初手▲７八飛戦法を採用した。

手数2: 本局では対抗形を用いるようだ。

手数3:

手数4:

手数5:

手数6:

手数7: 角道を止める。▲６八銀と上がって角道を開けたままで指す順もあった。

手数9:

手数10:

手数11: 早々と端歩を突いて出方をうかがった。

手数12: 素直に受けておく。

手数13: 端歩の交換を入れておいてから玉を上がった。

手数14: ３二に銀を立つ。左美濃で戦うつもりのようだ。

手数15: 同じく銀を立った。先手も美濃囲いに囲うようだ。

手数17: 美濃囲いの形を完成。

手数18: 後手も金銀３枚の左美濃を作り上げた。

手数19: ３筋を突く。▲４六歩と比べてより積極的な印象だ。

手数20: ５筋を突いた。すぐに△５三銀と上がることが可能で、▲８八飛から▲８六歩△同歩▲同角を狙われても問題なさそうだ。

手数21: ここで４筋を突く。

手数23: じっくりとした展開になってきた。

手数24: ７筋を突いた。△６四銀や△７二飛から急戦を狙う順を見せている。

手数25: 玉を入城。

手数26: 後手は急戦に出る。次に△７五歩がシンプルだが攻撃力のある攻めだ。

手数27: △６四銀と出てきたのを見て、６七に銀を立った。後手が持久戦を目指してきた場合は、▲５六歩から▲５七銀と中央に使う順も視野に入れていたかもしれない。

手数28: 右桂を活用。これは▲６五歩に△同桂と取れるようにしながら、△８四飛から△７五歩を目指すのだろう。

手数29: ７筋の守りは一時的で終了。５筋に繰り出して▲４五銀を見せた。

手数30: ９筋を突いた。▲９五角の筋を残したままでは戦いきれないとの判断だろうか。ただ、ここで▲４五銀と出られると、歩損は回避できない。

手数31: ６筋に飛車を振り直した。△７五歩に▲６五歩で勝負しようとしたもので、積極的な一手だ。

手数32: 銀を引き揚げた。▲４五銀には３四の歩を守らずに指すつもりだろうか。△３三銀が歩を守る唯一の受けだが、▲５六銀と引かれておいても、後手はあまりにも形が悪い。

手数33: 下段に飛車を引いた。▲４五銀は誘われていると見たか。▲４五銀△５五歩▲３四銀△７五歩▲同歩△８四飛が銀取りで、▲４五銀や▲２五銀には△３三桂で銀が捕まるほか、△６四銀と時間差で繰り出される手も気になったのかもしれない。本譜は下段飛車に構えることで▲５九角と引く手ができており、角を狙われてもそこまで響くことはなくなっている。

手数34: ２筋の歩を突く。▲４五銀に△２三銀が可能になった。

手数35: 先手は右桂を活用する。

手数36: 銀冠へ組み替えにいった。

手数37: ２筋を突いた。銀冠への組み替えを見せながら、将来▲２五歩△同歩▲２四歩で、後手の銀冠を乱せるようにしている。

手数39: 銀を引きつける。ダイヤモンド美濃と呼ばれる形となった。

手数40: ５筋の位を取る。△５四銀から△６四歩と突き、６筋から攻めていく方針だろう。その前にどこかで△４四角から△３三桂といった手も入れそうだ。

手数41: △５四銀の好形を許す前に、先手が５筋を反発した。

手数42: 素直に△５六同歩と歩を取った。▲５六同銀に△５五歩と押さえるつもりだろう。

手数44: この手で△５四銀は、▲４五銀が先手の権利となり指しづらいところだった。

手数45: ４七に引き揚げておく。これでいつでも▲７五歩と桂頭をいじる手も可能になっている。

手数46: 好形に組む。再度▲５六歩と一人時間差で合わせてくるような順も考えられるが、問題ないと見たようだ。

手数47: ７九に飛車を回った。次に▲７五歩△同歩▲５九角が狙い筋だ。

手数48: 飛車を浮いて７四の地点で受けられるようにした。

手数49: この場合は先に角を引くことになる。代えて▲７五歩△同歩▲６八角だと、△７四飛で対応されてしまう。

手数50: ２六の歩を狙いながら、△２二玉と入城できるようにした。

手数51: 飛車先となった７筋を交換にいった。

手数55: ５１手目に▲７五歩と突けばここまでは進むところ。

手数56: ２六の歩は取らずに、６筋を突いた。

手数57: 先手は歩を取るようにうながす。

手数58: ならばと歩を取った。▲３五歩には△同角の一手となりそうだが、強く迎え撃って大丈夫と見たようだ。

手数59: ▲３五歩を含みに５七に角を上がった。次に▲６五歩が飛車取りになる。

手数60: 飛車を引き揚げた。▲７四飛と歩を取られるが、△６三金▲７六飛△７四歩で対応するつもりだろう。その進行は歩の損得もなく、これからの戦いかもしれない。

手数61: 自然に歩を取った。

手数62: 後手としてはなんとか局面を落ち着かせたい。

手数64: 局面が落ち着いた。ここで▲７七桂には△５三角と引き揚げておいてどうか。

手数65: 先手は２筋に手をつけた。

手数66: 金を上がって対応。△２二飛のような応援も作っている。

手数69: 拠点を作った。

手数71: 切り札の▲３五歩をここで決行。

手数72: △３五同歩は▲２七銀で角を捕獲される。

手数75: 筋の突き出し。△６五同銀で飛車取りになるが、▲２六飛と飛車を２筋に転回して戦うつもりだろう。

手数76: △６五同歩は▲６四歩が入って論外。また△６五同桂も▲６六歩で桂を取られてしまう。

手数77: 飛車を転回。

手数78: 香取りに角を打って反撃開始。▲７七角なら交換せずに△７九角成と成って馬を作るのだろう。

