手数1:

手数2:

手数3:

手数4:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11:

手数12:

手数17: 横歩を取って先手の１歩得に。実利はあるが、手損からくる立ち後れには注意したい。

手数24: 後手は歩損はしたが、その代わりに銀の出足が素早い。△７五歩と突いて戦いを起こしていく。

手数26: ここで▲７六歩は△８六歩▲同銀△同銀▲４四角△同歩▲８六歩△３三桂と進むのだろうか。先手としては、早く▲２七銀と上がって飛車の横利きを通したい。ただ、それにも△８六歩があるかもしれない。先手は怖いところだ。

手数27: 先手は▲６六銀とぶつけていく。力強い前進だ。

手数28: 銀交換には応じない。７六に直進して８筋の突破を目指す。

手数29: ７七に戻って再度ぶつける。これは銀交換に進みそうだ。勢いからいっても△６五銀と退却するわけにはいかないだろう。

手数30: △７七銀成でなく、６七に侵入。意表を突く一着だ。▲６七同金には△８六歩から攻めてどうなっているか。

手数38: 銀損の代償にと金を作る。

手数39: ６八角がと金で攻められる展開はまずい。▲５六歩と突き、▲４六角の飛び出しを目指す。

手数40: と金を引いて７七銀を削りにいく。現局面以下、▲４六角△７七と▲同金という進行が一例として示される。以下△７七同角成▲同桂△８六飛は▲９五角の王手飛車取りがあるため、一気に突破されることはない。ただ、どちらがリードを奪っているかは難しい。

手数41: 先手は銀をかわし、駒得を主張。

手数42: ２枚目のと金を作る。▲７九同角には△７八と▲４六角△８六飛で後手がよさそうだ。ここでは▲５五銀だろうか。角を取れば▲９五角の筋が発生して後手からの△８六飛を牽制できる。先手を持ってみたい局面だ。

手数43: 慌てずに早逃げ。と金の圧力から逃れておく。

手数44: ８六歩を取り、次の△７六と▲同金△８八飛成を目指す。

手数45: いったん▲８四歩と打つ。△同飛には▲７五銀でよさそうだ。

手数46: 飛車を押さえ込まれるわけにもいかないので、取って勝負。

手数47: ７五ではなく５五に進出。△７六とには▲９五角と出れば後手の飛車は身動きが取れない。

手数48: 角は渡せないので、ここも辛抱。

手数51: 手厚く銀を投入。

手数53: 飛車を追い払い、▲６四歩と合わせて攻めを継続。攻守ところが変わってきたか。

手数54: 歩を突いて５五銀を追い払う。

手数55: 銀は見捨ててと金を作る。

手数56: △６二歩と打って防戦。

手数57: いったん引き下がった。△６三歩には▲３五銀から飛車を目標にすればよさそう。どうやら先手が優位に立ったか。

手数58: と金を残すのは怖いが、強く△９九角成と取る。

手数59: と金を寄って寄せの態勢を整える。後手は５三とを追い払わないと粘れそうにないが、具体的な手段も難しい。

手数60: 馬を引いて５三とをいじめる。

手数61: やはりと金は取らせない。銀を上がってひもをつけておく。

手数62:

手数64: △２七歩を利かしてから△８九とで桂を入手。

手数65: 角をぶつけて駒の入手をはかる。

手数66: いったんは△５五歩と突く。５筋の歩を切ることで△５二歩が発生する。

手数69: 後手玉に向かって殺到。▲４三銀成や▲６三歩の厳しい狙いがあって手厚い攻めだ。

手数70: 歩を打ってしのぎにかかる。とにかく玉頭の圧力を緩和しなければ戦えない。

手数73: 平凡な▲４三とが厳しいか。△５四飛には▲３二とが詰めろになる。

手数74: 金を引いて粘り強く戦う。

手数78: 香を打って反撃。

手数79: 角を打って遠くから３一金を狙う。△４一金には▲３八銀の味がいい。

手数80: 後手は懸命の防戦を続ける。

手数87: 攻め続けて飛車を入手。先手が順調にリードを拡大している。

手数89: 眠っていた飛車を活用。次はいきなり▲２一飛成と飛び込む手を狙っている。

手数90: ６一金を動かし、玉の退路を作る。

手数91: 攻め駒を補充。

手数95: 鮮烈な飛車の成り込み。以下△２一同金に▲４三桂△同歩▲４二銀△６一玉▲５一飛までの詰みがある。この局面で後手が投了した。竜を取るのは上記の順で詰みだが、ほかの手段も難しい状況だった。

