手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数8: 攻めの銀桂の通り道を開け、急戦を匂わす。

手数10: 飛車先交換は受けず、金上がりで角頭を守った。

手数13: ▲７八金の１手を入れてから飛車先を交換する。相手は△８五歩と伸ばしても次に飛車先交換ができる形ではない。自分だけにある権利は行使したい。

手数16: 相手が飛車を使えば自らも使う。２筋は受けずに歩を伸ばした。

手数19: ▲１六歩と突き、▲３四飛の横歩取りを見せる。対する△２八歩に▲１七桂を用意した。

手数20: 銀を上がり、構わずに横歩を取らせる。

手数21: ならばと横歩を取った。先手は歩得が主張になるが、飛車を追われる展開には要注意だ。

手数22:

手数23: 飛車を引いた。歩越しの飛車は安定せず、先手は２筋に飛車を戻りたいところだ。

手数25:

手数26: 後手はじっと突き合いに応じた。

手数27:

手数28: 前線に繰り出した銀を使って手を出していく。

手数29: 端から桂を使う。好機に▲２五桂で角をいじめられる。

手数32: ７筋の歩を取り込んでから△２三銀と立つ。壁銀を解消し、銀冠の構えを作った。

手数33: 角を上がった。端から活用を図る。

手数36: 玉を入城。互いに玉形整備を進め、先手中住まい対後手片銀冠になった。

手数37: 歩を垂らし、▲６四角△同歩▲７三歩成の筋を見せる。

手数38: 金を７筋に上がった。玉から離れるのは悔しいが、代えて△６二金は▲６四角△同歩に▲７一銀の割り打ちが厳しい。

手数39: 角取りに桂を跳ねた。桂は跳ねたら戻れない。思いきった手だ。

手数40: 角の逃げ場に５一を選ぶ。左右に大きくにらみを利かす位置だ。

手数41: 飛車を転回し、手薄な５筋に狙いをつけた。

手数42: 桂を捕獲。相手が５筋を攻めようと思えば大駒が手に入る。

手数43: 角を切って攻め込む。△６四同歩に▲５三飛成で竜を作れる。

手数45: 飛車を成った手が角取りの先手。桂も取られるが、手番を握って攻めていく。（１）△４二角は▲同竜△同金に▲５五角の王手が受けづらい。（２）△８四角に▲１四歩が挙がった。後手として怖いと見られている。

手数46: ８四に逃げ、玉頭をにらむ。後手の速い攻めは△５六歩の筋だといわれている。

手数47: 歩を補充しながら竜を四段目に利かす。△２五歩に▲２四歩を用意した。自玉の守りには利かなくなったが、△５六歩は▲同歩で後手は手持ちの角１枚では後続が難しい。△４二角が挙がった。ほかに△８三飛も考えられるが、▲１四歩と▲６一竜を組み合わせて寄せられてしまうとひどい。読みの裏づけが必要になる手だ。

手数48: 後手は先手陣に角を打ち込んだ。△１九角成〜△５一香の狙いを見せる。

手数49: ▲７三銀は凝り形の７、８筋の駒がほぐれるため指しづらいと見られていた。

手数51: △７三同金でも△同角でも角を取って▲５五角の筋がある。

手数54: 後手は直前に△７三同角とし、８二飛型で王手金取りをかけさせる順を選ぶ。

手数55: 先手は駒損を回復できるが、遊び駒をさばかせてしまったとも見られている。

手数58: ▲２九金には△１九角成▲同金△７一香がうるさい切り返し。馬を逃げれば△７七香成▲同桂△７六歩と後手の手が続く。桂を取る△２五歩は指さないほうがいいと指摘されている。▲２四歩と打たせなければ、後手の片銀冠は堅い。

手数59:

手数60: 銀取りに構わず、香を補充。▲５一馬が挙がった。△７一香の当たりを未然に避ける手だが、狙いには乏しいと見られている。

手数62: 駒割りは▲金銀△飛香。後手は銀を取られたが、玉には迫られにくい。後手持ちの見解が示された。

手数63: じっと馬を引き、飛車に当てる。△５六歩に▲同馬も用意した。△２六桂が挙がる。後手はそれで勝てないのであれば、飛車を逃げることになりそうだ。

手数64: 馬取りに飛車を回って切り返した。馬が７筋から逃げれば銀が質駒になる。

手数65: 歩を打って馬取りを受けた。自陣に飛車が直通するのを嫌ったようだ。

手数66: 今度は８筋に。７三に歩がある形ならば、いじめられにくい。

手数68: 飛車の縦の利きが生かせるようになった。

手数70: ８筋に突き捨てを入れてから香を放つ。先手は７筋には歩が立たず、田楽刺しになった。

手数71: と金を作り、飛車に当てながら▲７六歩を用意。

手数72: ズバッと走る。▲８六同銀なら△７八香成が厳しい。金を取り返しながら△６八飛以下の詰めろになる。

手数73: 飛車も取れず、飛車成りも許せない。歩を打って辛抱したが、△７七香成が利く。

手数76: 味のよい飛車回り。次は横利きを生かして△５六歩が厳しそうだ。

手数77: 金取りをかけながら飛車の横利きを止める。△３四歩と受けられたときにどのように迫るか。

手数79: 素朴に銀を引っかける。先手は自陣に△５六歩や△７六歩などのキズがあり、すべては受けていられない。

手数80: 先手の攻めが少し切れているか。▲６二とでは遅いかもしれない。

手数81: と金寄りでなく、桂跳ねを選んだ。盤上の駒を活用するのは同じだが、自玉を広くしている。

手数82: 反撃の手番が渡った。急所の玉頭に手をつける。

手数83: 合わされた歩は取らず、隣の筋の歩を突いた。▲６七玉からの上部脱出を匂わす。

手数84: 長らく質駒だった桂を飛車で取った。桂は先手玉を上から押さえるのに有用になりそうだ。

手数85: ▲５六歩と手を戻した。▲５三桂成〜▲４二成桂の２手が回れば後手玉は詰めろ。後手はその間に寄せきらなければならない。後手優勢だが、どのように寄せるのか。

手数86: ズバッと飛車を切った。▲６五同歩で△６六桂の空間ができる。

手数88: 先手は飛車を手にしたが、後手玉はまだ詰まない。後手は詰めろや王手の連続で迫れば勝つ。

手数91: 手に乗って上部脱出を目指す。先手はうまく延命して反撃の手番を得たい。

手数92: 馬取りに自陣桂を放つ。馬の逃げ場所によっては△６三桂打とつなぐ手が厳しそうだ。

