手数1:

手数2:

手数3:

手数4:

手数5:

手数7: このタイミングで端歩を突き越すのは珍しい。

手数9: 左銀の動きは保留したまま、四間飛車に構えた。

手数15: 一見、△８六歩の受けが間に合っていないようだが、それには▲同歩△同飛▲７九金が一例で対応できる。次は▲７七銀△８二飛▲８八飛として仕掛けを逆用する狙いがある。

手数16: 相手の誘いには乗らず、陣形整備を進める。

手数18: 銀冠に組む含みを持たせた。△２三銀と上がっておけば、△１四歩▲同歩△同銀と１筋の位を逆襲する手段が生まれる。

手数19:

手数20: ▲６五歩に△５三銀を用意。

手数21: 飛車は６筋で活用するのかと思いきや、今度は８筋に振り直した。

手数22: △７三桂を用意して▲８六歩△同歩▲同銀の逆棒銀の筋に備えた。

手数23: ▲５六角は狙い澄ました角打ち。７四歩と３四歩のどちらかは確実に取れる。

手数24: ２三にスキが生じるので形は△２三銀だが、後手は３三に銀を上がった。

手数26: ▲５六角を消して先手の角を負担にさせる。

手数27: 入手したばかりの歩を生かした仕掛け。△８六同歩には▲８三歩△７二飛に▲９六角と引いておき、次の▲８六飛を狙う要領だろう。

手数28: 相手の注文には応じずに、角を追い払う。

手数30: 用意の反撃。現局面で▲４六歩なら、△３五歩で馬を作るスペースを確保できる。

手数31:

手数32: 後手は歩損している代わりに、馬を作っているのが主張点。

手数35: 一転して玉形に手を入れた。次に▲３八銀と上がって美濃囲いを完成させておけば、守りは万全になる。

手数43: △６四歩に反応した角上がり。敵陣ににらみを利かせるとともに、△６五歩に▲６八飛を用意した一石二鳥の一手だ。

手数46: 後手は桂を活用できているのが自慢。

手数47: △７五同銀は▲７四歩の桂頭攻めが厳しいので、後手はこの歩を取ることができない。

手数50: フワリと飛車を浮かせて▲６四歩を受けた。

手数51: 飛車角だけの攻めで手が作れるかどうか。（１）△７四同銀は▲７二角成と侵入できるので、（２）△７四同飛が予想される。

手数54: 代えて△５四銀は▲同角△同馬に▲６三銀の打ち込みが厳しかった。

手数55: △６五桂が見えているが、次の▲８三馬に期待しているようだ。

手数61: さばき合いとなったが、駒の損得はほぼ互角。先手は飛車の成り込みで遅れを取っているが、端歩の位を取った美濃囲いが心強い。どちらにも主張がある分かれといえそうだ。

手数62:

手数63: ▲８四飛では後手を引く。馬と差し違えて攻めの手番を握りにいった。

手数64: △４四同歩はコビンが空くので▲６五馬が嫌みだった。

手数67: △６九同竜には▲４五歩△３三銀▲４四桂の反撃を用意している。以下△同歩なら▲８七角が王手竜取りだ。

手数68: 事前に▲８七角を消しておき、次の△６九竜を狙った。

手数71: 金をすり寄って金底の歩の形にした。

手数72: 地道に先手玉の守り駒をはがしにいった。

手数73: ６九歩のみならず、２枚目のバリケードを張って二枚飛車を寄せつけない。

手数75: 先手玉はしばらく持つ形。ここからどれだけ後手玉に迫れるか。

手数83: 先手は鋭く切り込んでいく。△２三同玉には▲４三角成△同金▲同馬が狙いだ。そこで△３二銀とはじかれたときに後続手があるかどうか。

手数90: 後手はとにかく手番が欲しい。△３三銀と馬に当てて反発した。

手数91: 馬を逃げているようでは△６八とで勝てない。

手数94: 攻防の角打ち。次に△６八とが回れば先手玉は受けが利かない形になる。

手数99: ▲３三金打以下の詰めろ。しかし、この瞬間は先手玉に詰みがあってもおかしくない。

手数100: 後手は詰ましにいった。

手数108: 鮮やかな捨て駒。▲５六同歩に△３八角から詰みがある。

手数111: 代えて▲４六玉は△５六角成▲３七玉△３八金▲２六玉△２五銀▲１七玉△２八銀以下の詰み。

手数112: この局面で先手が投了した。投了以下、▲２八玉△２九角成▲同玉△８九飛成▲１八玉△１七銀▲同玉△１九竜▲１八桂△２八銀▲２六玉△２五香▲１六玉△１八竜までの詰み。

