手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数8: 戦型は相居飛車。矢倉調の出だしとなっている。

手数14: 代えて△３三角であれば、以下△４四歩〜△４三銀と雁木調に組むことも考えられた。

手数26: 先手の早囲いに対し、後手は急戦矢倉で積極的に動ける構えを採用。

手数29: 用意がなければ選べない歩の突っ掛けである。以下△４五同銀には▲２四歩△同歩▲同飛のあと、▲４六歩で銀の捕獲を狙うのが一例。

手数34: ▲４六歩に対して△２三歩▲２六飛△３四銀で銀を逃げられるようにした。

手数35: 歩を取り払って駒割りは互角に。この角の位置は狙われやすいため、反発が気になるところ。

手数38: 先手陣がやや不安定なこの瞬間に、後手は本格的に仕掛けていった。

手数39:

手数42: 攻めの要である６五桂を支える。次は△７五歩▲同歩△８六歩▲同歩△同飛として、△６六飛▲同金△同角を狙うのが有力そうだ。

手数45: 相居飛車の常套手段。△２三同金に▲２四角と踏み込んだとき、（１）△２四同金は▲同飛が受けにくい。角を取らずに（２）△３二玉でしのげるかどうかだが、６五桂が質駒になっているため先手の攻めはしばらく続きそうだ。

手数47: 次は▲５一角成と捨てて、以下どの駒で取っても▲２三飛成が厳しい。

手数48: 軽い歩の垂らし。▲２六同飛には△２五歩▲同飛に△３四銀と、２枚の歩を犠牲にして２三金にヒモをつけられる。

手数49:

手数50: 先手の飛車の位置を変えてから△３二玉で２筋を補強した。１歩を渡して駒割りは互角に戻ったが、２六飛型は何かと当たりがきつい。

手数54: しばらく２筋の攻めに対応したあと、常に狙いとしてあっただろう△７五歩を決行した。

手数58: ▲４五桂以下、△６六角▲同金に△８六飛で受けが利かないといわれている。

手数59: 前述の変化はまずいということで、先手は辛抱の歩突きで角筋を閉ざした。ただし以下△３四銀▲４六角のあと、５五歩が邪魔をして▲６四角とは出られなくなった。

手数60: 前述の効果があるため銀は引きやすくなった。

手数62: ８九桂は７七地点を守る大事な駒だ。しかしそれを取られぬように▲８八同玉と応じれば、間接的に８二飛や２二角が先手玉をにらんでくる。

手数63: やはりこの歩は放置できなかったか。先手は取り払った。

手数64: 後手は歩成りを利かした。ゆっくりしていると▲３五歩で銀を捕獲されてしまうため、追撃の手を緩めない。

手数68: ▲７七同角には、（１）△８一飛と当たりを避けて深くまで引くのが普通だ。次の狙いは△６五歩▲同銀に△７五桂なので、それを防ぐ▲７六歩が一例か。後手の攻めがつながるかどうかの勝負になっている。手持ちに桂があり、厳しい攻めに見える。ほかには（２）△８三飛という引き場所も考えられる。

手数70: 後手はオーソドックスな△８一飛を選択。６八角が移動したことで、▲３五歩と銀を捕獲する手段はなくなっている。

手数71: 離れ駒を囲いにくっつけつつ、△６五歩▲同銀△７五桂を緩和した。

手数72: ここで仕切り直しの銀立ち。先手陣に上部から圧力を加えやすくした意味もあるだろう。それにしても、あの激しい展開から一転して中盤戦の入り口まで戻った印象だ。

手数73: ひとまず先手が耐えた局面か。この▲４七桂は後の▲３五歩を狙いつつ、後手の角を５五に出させない受けにもなっていて好手に見える。長い将棋になっただろう。先手としては、ここはまずまずだが次の△８五桂以下の対応を間違えやすいと考えていたようだ。

手数76: 進行の一例は、▲６八金寄△４四角▲３五歩△同銀▲同桂△同角▲３六飛に△３四歩で形勢難解。

手数77: 先手は、代えて▲６八金寄の変化のほうがよかったと考えていたようだ。

手数79: 先手はどこかで▲３五歩と伸ばしたい。例えば（１）△７六歩▲同金△６五銀に▲３五歩といった具合だ。銀を捕獲するだけではなく、２六飛の横利きが通る。その手を防ぐため、（２）△５八銀〜△４七銀成が辛抱の手順として考えられる。

手数80:

手数86: 後手は次に（１）△７五桂が実現すれば一気に先手玉に迫れる。（２）△６五桂もあり、後手の攻めをすべて受けるのは難しいだろう。駒割りは互角の激戦だが、先手玉を寄せる筋は見えても後手玉を捕まえるのが分かりにくく、後手持ちと見られている。４八銀の働きもあまりよくない。先手は、この局面ではもう悪くなっていたと考えていたようだ。

手数87: 次にくる後手の攻めが速いということで、先手は後手陣に直接迫る速度勝負を選んだ。

手数88: 対する後手は決断。先手の攻めを放置して、先手玉に厳しく迫った。

手数92: 後手の攻めが決まっているのではと見られている。８七地点を受けきるのが難しいようだ。以下▲６八同角△同銀成▲８八金には△６九角が詰めろ飛車取り。後手陣は８一飛の横利きが受けによく働いている。

手数94: 辛抱するならば▲８九金だが、そこで△８八歩▲７九金寄に△同馬としたとき、先手は▲同金と取れない。８七地点の利きがなくなってしまうからだ。

手数95: ▲２二金△１四玉▲２三銀△１五玉▲１六飛の詰めろ。（１）△４四桂でも後手よしだが、（２）△７七馬▲同金引△６九角▲５五角△４四桂の筋のほうが手堅いといわれている。

手数96: 感想戦では「後手によい手段がなかった」と結論付けられたようだ。代えて△７七馬▲同金引△６九角には（１）▲５五角△４四桂▲７六飛、または（２）▲６六角△４四桂▲７五角△３六角成▲１五桂△３二玉▲７九金で、どちらにしても後手に怖いところが残る。変化するとすれば、８８手目△７五桂に代えて（Ａ）△３三金や（Ｂ）△６五桂が示された。

手数99: 代えて▲５三歩成は詰めろにならない。ここで△８八歩とするのは、以下▲７五金△８九歩成に▲６八金で先手がギリギリしのいでいるかもしれない。その▲６八金に△同銀成が、△９九と▲同玉△９八金以下の詰めろになっている。後手が押し切るとすればこの変化も考えられるようだ。

