手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 戦型は先手三間飛車に決まった。

手数15: 美濃囲いに組む動き。穴熊と比べて、１筋の端歩の突き合いが生きやすい。

手数18: 後手は急戦調の駒運び。先手に▲７五歩〜▲６八角〜▲７六飛〜▲７七桂と好形に組まれるのを阻止した意味もある。

手数20: いつでも△６五歩と動けるようにした。例えば▲２八玉△５四歩▲５八金左に△６五歩と仕掛けたとき、以下（１）▲６五同歩には△７七角成▲同桂△８六歩▲同歩△同飛で８筋の歩交換が実現する。（２）▲６八飛であれば飛車の移動で先手が１手損をして、四間飛車に対して先手番で４五歩早仕掛け戦法を採用するのと同じ勘定になる。

手数22: 囲いよりも攻め形の構築を優先。７八飛が間接的ににらむため桂頭攻めが気になってくるが、実現のためには７七角を６八や５九に引く必要があるため、そこですかさず△６五歩と動けば先攻できる。

手数23: 離れ駒の金を囲いにくっつけて、美濃囲いの堅陣が完成した。これで後手から踏み込まれても強く応じられる。

手数24: 後に△６五歩と仕掛けられたときに▲６八飛と戻る変化を受け入れるがどうかは、棋士によるとしかいえない。本局は１７手目▲６七銀と上がるのが早めでしたので、そういう展開は嫌じゃないと見ているのかもしれない。

手数25: 次に▲４五銀を見せることで、後手の動きを牽制した。

手数26: 先手の牽制に怯まず、後手は急戦で応じた。▲８六同歩△６五歩▲同歩△７七角成のとき、飛車と桂のどちらで取るかは悩ましいところ。後手の主張は２５手目▲５六銀の狙いを間に合わせないこと、先手の主張は囲いの堅さの差。

手数29: △７五同歩には▲７四歩で桂を捕獲することが可能だ。そこで先手の歩切れを主張して、以下△８五桂というひねった手があるかどうか。

手数30: 難しい将棋。後手側から見て考える局面。（１）▲７四歩には△同飛で先手の指す手が難しいので、（２）▲６五歩から考えてみたい。以下△５五歩を▲同角と取らせて、８筋の飛車を走れるようにしてどうか。先手の指す手が悩ましい。

手数31:

手数32: 先手が７筋の攻めを厚く見るならば、（１）▲７七同桂よりも（２）▲７七同飛だろう。

手数33: 先手はここを互角でさばききれば、囲いの堅さの差だけリードした状態で終盤戦を迎えられる。

手数34: （１）▲７五同飛として（Ａ）△７四歩に▲７六飛で収める以外に、（２）▲７四歩△同飛▲８三角から馬を作る筋も考えられる。ここは手が広い。一例は（１）▲７五同飛に（Ｂ）△６六角▲８五歩△９四飛▲７六飛△９九角成▲７四歩△７二歩▲８三角で、それで先手がよければ話は早い。あとは（Ｃ）△８六飛▲７四歩に△６六角も考えられ、こちらのほうが自然かもしれない。

手数35:

手数36: ▲７四歩に△６六角が手強い。

手数37: 歩は打つだろう。△６六角にどうするかだが、以下▲７三歩成△７五角▲６二とに（１）△６二同金▲９五角が進行の一例。先に飛車を入手できるということで、途中で（２）△４二金寄と逃げる手も考えられるが、それは▲７七角〜▲１一角成で、後手玉を挟み撃ちにできる。

手数38: △８四角も考えられるが、こちらのほうが普通か。代えて△６六角には▲７九飛と逃げられる変化を気にされたのかもしれない。以下△８八飛成に▲７七角と打つ手段が生じている。また本譜であれば、▲７三歩成に△同銀の変化も選べるようになる。

手数40: ▲７九飛△８八飛成に（１）▲５九飛だと、以下△５五歩▲４五銀に△６七歩で後手よし。そのため途中で（２）▲６九飛として、６筋の歩の垂らしに備えてどうか。

手数42: ここで▲６九飛として６筋の歩の垂らしに備えるのは、△７七歩とこちらから垂らせば攻めがつながる。以下▲６六角△同角▲同飛として７六地点に飛車を回ろうとするのは、その前に△９四角と設置するのが好手で後手よし。

手数43: △７七歩の垂らしが候補手。以下▲６四歩から攻め合いを目指すのは、△６六歩で６九飛の利きを閉ざせば後手よし。

手数45: （１）△７八歩成▲８四歩△６九とには▲６六角の返し技がある。（２）△６八歩は有力で、（Ａ）▲６八同飛と取らせてから△７八歩成▲８四歩△６八ととすれば５八金に当たるため▲６六角と打ちにくい。（Ｂ）▲８四歩△６九歩成ならば▲６六角を７七歩の壁で緩和できる。代えて▲７七同桂△７六歩▲６四歩△７七歩成▲６三歩成△４二金寄▲５二と△同金寄▲６一飛成と攻め合う変化も考えられた。以下△６二銀▲７八歩△６六桂▲５九金引△７八と▲４五銀△６八と▲３四銀△５一金寄▲５二竜△同金に▲６一角で際どい変化。ただしこのあとの本譜では少し悪いと見て、▲７七同桂のほうがよかったかもしれない。

手数46: 先手が苦しそう。▲７六歩も考えられる。以下△４二角▲６六角に△３三角とぶつけてみたい。

手数47: ここでも（１）△７八歩成には、以下▲７五歩△６九とに▲６六角の切り返しがある。そのため（２）△４二角や（３）△５三角と引いて、▲６六角に角上がりの受けを用意するほうがよさそうだが、それも先手の大駒がさばける変化があるようだ。引くならば（２）△４二角が考えられるが、以下▲７七桂△同竜に▲６六角△７八竜▲６八飛で飛車交換を迫れば先手ペース。（４）△６八歩として、（Ａ）▲６八同飛に△７八歩成は有力そう。（Ｂ）▲５九飛の辛抱には△４二角▲７七桂△同竜で先手に何か手段があるかどうか。代えて（イ）▲７七桂は、△７六歩▲６六角△同角▲同飛△７七歩成▲４五銀△８九角▲５六角△７四桂▲９六飛△６六歩で後手の攻めが速く、後手よし。単に（ロ）▲６六角は、△６八歩▲同飛△同竜▲７五角△６九竜▲４五銀△７八歩成で少し悪い。どれも悪そうなので本譜を選んだのだろう。

手数48: 代えて△７八歩成▲７五歩△６九と▲６六角△８九竜がまさった。以下（１）▲１一角成△２二銀ならば、（Ａ）▲１二馬に△６六桂で先手は自信がない。（Ｂ）▲２二同馬△同玉▲４六桂△３二玉▲３四桂△３三歩▲２二香△３四歩▲２一香成には△７七角が攻防手になるため後手よし。△７七角のところは先手の攻めが切れていそう。それならば△７八歩成がよかったか。▲１一角成とできないならばやるべきだった。また（２）▲４五銀△２二銀▲５四銀△５三歩▲４五銀には△７九飛という俗手の攻めがあり、以下▲８八角打△３三桂打▲７九角△同竜▲３四銀△６八と▲４八金寄△５九と▲３九金△６七角でこちらも後手よし。

手数50: 将来のと金作りを防ごうにも、いま（１）▲７七角△同角成▲同桂とするのは△６九竜が生じてしまう。（２）▲１一角成には△２二銀でフタをして、後の△７八歩成が受けにくい。（３）▲６四歩が考えられ、△同銀に▲７八桂がひねった手段。以下△同歩成▲９九角△６九と▲１一角成△２二銀▲１二飛△３一金▲２二馬△同金▲４一銀△同玉▲２二飛成は勝負形。しかし途中で分岐も多いようだ。

手数51: ６筋ではなく８筋から。意表の手かもしれない。６六角の利きが間接的に９九竜をにらんでいるため、後手もすぐには△７八歩成とと金を作れない。

手数52: 後手玉から遠い位置のと金作りを防いだ。ということは、先手陣の左辺に手を加えるのは危ないという判断か。

手数55: 先手は手順を尽くして後手の右銀をどかし、今後こそ▲６四歩を決行した。▲１一角成〜▲６三歩成の狙いが生じ、またここで（１）△６四同角は▲７七角の竜角両取りが厳しい。（２）△６二歩と辛抱することになるだろうか。

手数56:

手数57: △２二銀に（１）▲１二馬ならば△７八歩成と６九飛に当ててどうか。しかし（２）▲２二同馬△同玉に、俗手だが▲８七香が気になる変化。以下△７八歩成▲８六香△６九とには▲７七角△３三角▲９九角△同角成▲８三香成で、囲いの堅さで先手がまさるため難解そうだ。

手数59: 先手は馬を逃げた。△７八歩成を甘受する形に。以下▲８七香△６九と▲８六香△８九竜▲８三香成△同竜は、後手が手堅い展開といえそうだ。そのため先手としては別の手段を用意したい。

手数61: ほかの手段では厳しいとの判断か、先手は駒を取り合う変化に誘導した。もし（１）△９五角であれば▲６五飛がピッタリだ。（２）△６九とに▲８六香（▲７七角の竜銀両取りが生じる）のとき、△８九竜▲８三香成△同竜が進行の一例。

手数62: 後手は先手の注文に応じた。

手数65: 先手に手段を与えないように進めるならば△８三同竜。ただし８九竜は攻めに利いた駒のため、攻め合う変化も模索したい。

手数66: ８三成香に逃げられると後手玉の脅威になりかねないが、それよりも攻め合い勝ちを目指すほうがよいとの判断か。次は△６八ととして、（１）▲６八同金は△２七香成▲同玉△３五桂の筋が相当にうるさい。攻防に（２）▲７七角と打っても、△５五歩が味のよい返し技となる。（３）▲４八金寄は堅いが、以下△５五歩▲同銀△５九と▲３九金の局面は後手の追撃手段が多い。代えて△１一香は有力だった。以下▲２二馬△同玉▲４六桂△３二玉▲７四角△６六桂▲３四桂△５八桂成▲５二角成△同金▲２二銀と攻め合ったとき、△４四歩とすれば後手玉がしぶとい。

手数67: 後手陣の急所を狙う。次に▲３四桂と跳べば、１二馬と協力して後手玉付近に食いつける。綱渡りのような攻めだ。

手数69: 代えて▲７四角△５一金に▲５二銀は好手だった。以下△８三竜▲同角成△５二金に▲４五銀でやや先手ペース。△２五香打〜△３五桂とされても、▲２一馬〜▲３九桂が結構堅い。

手数71: ハッとする角打ち。▲２三馬△同玉▲２二桂成△同玉▲２三銀△１三玉▲１二銀成の詰めろだが、これが異様に受けにくい。厳しそうな手だ。粘るならば△３四銀▲同角に△２二金だが、以下▲４一銀△同玉▲２二馬で先手の攻めがつながる。誘うような手だが、厳しい手だった。

手数72: 逃げ道作成。▲２三馬に△４三玉で耐える方針だろう。しかし以下▲３二銀△同金▲５四角△同玉▲３二馬で先手の攻めは続く。２一桂がいつでも取れることも大きく、後手玉は捕まりそうだ。

手数75: 代えて▲３六角と逃げるのは、後手陣を手厚くされて攻めが切れてしまう。踏み込むならばいましかない。

手数76: 代えて△５三玉と逃げるのは、以下▲３一銀成△４五歩に▲２一成銀で桂を取り払うのが効果的だろう。３三銀のヒモを切りつつ、後手玉に迫りやすい▲６五桂という手段を得る。

手数80: 代えて△４三銀には▲３一馬△４二桂に▲２一馬が異様に受けにくい（▲５五金△５三玉▲６五桂の詰めろ）。

