手数1:

手数2:

手数3:

手数4:

手数6: 戦型は先手の三間飛車に進んでいる。

手数19: 先手は美濃囲いに。後手は穴熊模様の駒組みだが、まだわからない。

手数20: 後手は５筋位取りを目指した。

手数23:

手数24:

手数27: 相手の角筋を避ける手筋の香上がり。

手数28:

手数32: 後手は金を６筋に上がった。バランス重視の構えだ。

手数33: 先手は角の転回を図る。▲７五歩も狙いだろう。

手数34: 後手も飛車を回って▲７五歩を防いだ。

手数35: 端に桂を跳ねて８五の歩取りを狙った。

手数36: 後手は５筋を突いて動きを見せた。▲９七桂と跳ねた先手陣に隙ありと見たか。

手数40: 後手は歩を２つ突き捨ててから、力強く金を繰り出した。

手数41: 先手は堂々と歩を取る。これで桂の顔は立ったが、後手の攻めがどのぐらいの迫力かが問題だ。

手数44: 代えて△６六同金▲同銀△同角は▲６八飛と当てられると後手の対応が難しかったようだ。金を引くのではつまらないようだが、歩を手持ちにしたので、次は△８四歩と桂を取りにいく狙いがある。

手数45: △８四歩が来る前に端攻めで桂をさばきにいった。

手数46: 飛車を２筋に戻して桂取りを見せた。

手数47: ヒモをつける。

手数48: ９筋に手を戻す。▲８六歩を突かせたことで５九角の利きを止めたということだろう。

手数49: 端はひとまず放置して▲４五歩と突いた。▲８六歩で角の働きが弱まったので▲３七角〜▲６五歩といった使い方をする狙いか。

手数50: 桂を取りにいく。

手数51: 角で後手の飛車を狙った。次に▲６五歩が狙い筋だ。

手数52: 飛車を退避。これでも香取りを狙って▲６五歩がありそうだが、△同金▲９一角成に△６六歩で銀が取られてしまうのでどうか。

手数53: 先手は▲４七金と上がった。これで６七銀の退路ができたので、次は▲６五歩が厳しい狙いになる。

手数54: 桂を取った。

手数55: 先手は▲６五歩。

手数59: このあたりまで、想定された進行だ。果たして、どちらの読みが上回っているのか。

手数60: 歩を取り込んでと金作りを見せた。

手数61: 飛車を浮いて△８七歩成を受けた。△５七歩のたたきに備えた意味もあるだろう。

手数62: 歩を合わせて攻めの継続を図った。

手数63: 手筋の突き捨て。△４四同銀には▲８一馬が▲５四香狙いの先手になる。

手数64: ５四に隙を作りたくない後手は、△４四同角と応じた。

手数65: 先手は角を目標に香を設置。△２二角なら、もう一度▲４四歩と合わせる狙いだろうか。

手数67: 角を追ってから飛車を端に回った。次に▲９五飛が金取りになる。

手数68: 後手はここで端に手をつけた。持ち駒の桂を生かした攻めだ。

手数69: 先手は飛車をさばく。

手数70: 狙われた金を突進してさばく。

手数71: △５六金と出られて攻めを呼び込んだようにも見えたが、狙いはこの歩の垂らしだった。△６七歩成には▲６三歩成の攻め合いで有利と見ているのだろう。△５四銀には▲８一馬がぴったりだ。

手数72: ６筋の攻め合いでは勝てないと見たのだろう。端攻めに勝負を懸けるつもりのようだ。

手数73: 先手は堂々と歩を成って攻める。

手数74: ここで６筋を成って攻め合いに。一手早く攻め合うよりも、△１六歩と取り込んでからのほうがアヤがあると見たようだ。

手数76: 銀取りをあとの楽しみにして端を攻めた。

手数83: 先手はどんどん攻める。自玉が露出しているが、危険はないと見切っている雰囲気だ。

手数87: 飛車を下ろして、次の▲４一飛成が厳しい狙いだ。

