手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9: オーソドックスな相掛かりの出だしとなっている。

手数10:

手数11:

手数13: 飛車の引き場所がいろいろとある。

手数14: ２筋を受けられるように浮き飛車で対応。注意すべきは、角交換が可能なときに△７四歩と突くと▲９五角の筋が生じることや、△３四歩や△７四歩で飛車の横利きが止まるため先手に動かれる可能性があることだ。

手数15: 角筋を通す自然な手だ。

手数16:

手数18: このタイミングでタテ歩取り。後手が用意してきた研究手と見てよさそうだ。直前に▲３六歩と突いてあるため、▲２六飛では７六歩にヒモがつかない。

手数19: 常套手段の金上がり。７四飛が移動したあとでおとなしく（１）▲７八金と引くほか、場合によっては（２）▲６六金と出て手損を受け入れない指し回しもある。後者の場合はガードが甘くなる代わりに、積極的に力戦調に持ち込める。

手数21: 代えて▲２四歩△同歩▲同飛と飛車先の歩を交換することもできたが、以下△３五歩と飛車をぶつけられるのを警戒しただろうか。以下（１）▲７四飛△同歩は先手陣のほうが形がよくない。（２）▲２六飛には△３六歩▲同飛△２四飛▲２七歩に△２八歩で攻めがつながりそうだ。

手数22: 形よく２筋を受ける。先手の駒組み次第で、左銀をどう使うかが変わりそうだ。

手数23:

手数24: ある程度の駒組みは整った。後手としては、もう７七金型を解消されてもよいとの判断だろうか。（１）▲７八金ならば手の損得はなし。以下▲３七桂〜▲２九飛〜▲４八金と組めば現代調の下段飛車となる。先手が手得を主張するならば（２）▲６八玉〜▲７八玉〜▲６六金も考えられる。あとは（３）▲７八銀〜▲６六歩〜▲６七銀という駒組みも自然だろう。その場合、いずれ▲７八金と引くことにはなりそうだ。（４）▲８六歩〜▲８七金として左辺の厚みを重視する指し回しも、相居飛車のいち変化では出現する。ただし本局は５八玉型のため打ち込みの隙が生じやすく、やや選びにくいか。

手数25: △７七角成▲同角△８七飛成の筋が見えているが、以下▲１一角成△８九竜に▲８八馬で竜を捕獲できるため問題ないとの判断だろう。

手数26: 玉頭を厚くする。先手が３七銀型の攻め形であれば５二玉型は有力だが、本局は３七桂型のため▲４五桂のひと跳ねで玉頭に狙いがつく。そのためいずれ△４一玉と引く可能性もあるだろう。また代えて△２二銀も自然で、そうすれば▲７八金と引かれたあとで（１）▲４五桂△８八角成▲同銀となったとき、後に▲６六角が飛香両取りにならない。ただし壁銀が仇となる可能性もあり、例えば▲７八金のあとで（２）▲６六歩〜▲６八銀〜▲６七銀と雁木風に組まれると３三角や２二銀の動かし方が悩ましい。そのあたりの比較をして本譜△４二銀と選んだものと思われる。

手数27:

手数28: 右銀や右桂を使うための道を作った。また場合によっては△７五歩▲同歩の突き捨てを利かして攻めの味つけにすることも考えられる。飛車の横利きは止まってしまうが、現状は問題ないとの判断だろう。

手数29: 後手陣が整ってきたように、先手も７七金型を避けて好形を目指す。４八金型に組んでいるため、いずれ（１）▲２九飛の下段飛車にしてバランスを取ることが考えられる。対する後手は△７三銀や△７三桂から攻め形を整えるのが一例。角筋が通ったことで互いにいつでも交換できるが、交換された側が手得をするため、なるべく相手から交換してくるように誘導したいところ。また、展開次第では次に（２）▲４五桂△８八角成▲同銀として、▲６六角の飛香両取りを見せることも考えられる。（３）▲３五歩△同歩の突き捨てを利かしてから▲４五桂も一案。それらで攻めた場合、後手は△７五歩を交えてうまく回避できるかどうか。

