手数1:

手数2:

手数3:

手数4:

手数6:

手数8:

手数9:

手数10:

手数11:

手数12:

手数20:

手数23: 棒銀を繰り出す。次は▲３五歩から角頭を狙うのがわかりやすい攻めだ。

手数24: 目標にされそうな角を引きつつ、△８六歩からの８筋交換を見る。

手数25: ▲４五歩と突いて戦いを仕掛けていった。

手数26: 大駒は近づけて受けよの格言通りの対応。

手数27: あっさりと取る。△５三銀なら▲７七角と引き、１歩得を主張する方針か。

手数28: 後手は８筋の歩を交換しにいく。

手数30:

手数32: △５四銀と上がって５五角に働きかける。

手数33: ８筋を修復。単に▲４四角は△６四角と引かれると先手はまとめにくかったか。

手数36: ▲４四角を待ってから６四に飛び出す。▲３七銀なら△３三桂でどうか。

手数37: ▲１八飛と逃げておく。飛車が使いにくい形になったが現実の２歩得も大きいため、ここは辛抱しても腹が立たない。

手数38: △３三桂と跳ねて▲１一角成を防ぐ。

手数39: ▲３五歩から３三桂を目標に攻める。（１）△同歩なら▲３四歩で先手成功。後手は（２）△４三金左などで受けに回ることになるか。

手数40: 銀を上がって角に当てた。よく見るとこれで４四角の逃げ場がない。

手数42: 単に△４四銀▲同歩の進行は３三桂が守りにくい。いったん△４三金左と上がり、桂頭を厚くする。

手数44: ここで角を切った。先手は角銀交換の代償をどこに求めていくか。

手数47: 先手は▲５五銀と打って中央を制圧。

手数48: △５三角と引くのでは自信なしか、後手は角を切って勝負。

手数51:

手数52: △２七角〜△３六角成で２六銀を攻める。先手はこの銀取りは受けにくい。

手数53: しかしこの突き出しも大きな一着。

手数54: 引いて耐える。

手数55: じっと取り込んだ。△２六馬なら▲３三歩成△同金▲３四歩と攻めて勝負だろう。

手数56: △２六馬のまえに△５七歩を利かす。▲同金と取らせれば４八飛が浮く。

手数58: △５七歩▲同金を入れてから銀を取る。次の△３七馬が飛車取りになって味がいい。

手数63: ▲３二角成、▲４三歩成の両方を狙う角打ち。△３七馬にも構わず▲４三歩成△４八馬▲４四桂の勝負順がありそうだ。後手はここを慎重に受けなければあっという間に寄り形に持ち込まれる。

手数64: 後手は強く桂を取る。▲４三歩成の順は大丈夫と見切っているか。

手数65: 先手も▲４三歩成は見送って▲４七金と寄る。△４八馬を催促している。

手数68: 底歩を打って３二金にひもをつける。

手数69: 端角で攻めを継続。△４二歩には▲３三歩成が実現する。

手数72: ６一に逃げていく。４三、３三を両方補強する手として△４二銀と打つ手はあったが、▲５四桂と打たれると受けにならなかったか。

手数73: 大きなと金ができた。次は▲４三歩成が厳しい狙い。もちろん▲３二ともある。現状は先手の銀損だが、十分に取り返しが利く。

手数74: △４五飛とは見えにくい飛車打ちだ。▲５八金寄に△５五飛や△２五飛で先手の角を追う狙いか。

手数79: 先手は角取りに構わず▲４三歩成と踏み込んだ。△２五飛なら▲５二と△同玉▲３二とでどうか。▲８三金で飛車を捕獲する手も視野に入ってくる。

手数83: ▲８三金と打って飛車を捕獲。先手ペースとなったか。

手数84: と金を払って後手玉の安全を確保。

手数85: 先手は飛車を入手。これで駒の損得がほとんどなくなった。

手数88: 後手は△５七歩〜△２八飛成と先手玉に迫る。後手玉も怖い形だが、▲４一飛には△５一桂と打てば大丈夫そうだ。

手数89: 飛車は温存し、▲４四歩と打って拠点を作る。

手数93: 絶好の飛車合わせ。△同竜▲同角が▲７二角成を見て厳しすぎる。先手が一気に勝ちに近づいている。

手数96: △５二玉と上がって▲７二角成を緩和。

手数97: 先手は緩まず決める。この局面で後手が投了した。以下△３四同金▲同角△６三玉▲７五桂△７四玉▲７七桂が一例で、後手玉は一手一手の寄り。

