手数1:

手数2:

手数3:

手数4:

手数6:

手数8:

手数9:

手数11:

手数12:

手数15: 先手は雁木に構える。

手数24:

手数28: 後手は上部を厚く構える。

手数29: 角を引いて右辺への転換を目指す。

手数31: 角を３七に上がり、間接的に８二飛をにらむ。積極的に攻めるなら▲２六角〜▲３七桂の構想も考えられた。

手数32:

手数35: ３七で停車してから２六に移動。▲５六銀右〜▲３七桂〜▲４八飛まで進めて▲４五歩と仕掛けるのが先手の理想だ。停車した分だけ手損になるが、後手の△７三桂を見ての指し回しかもしれない。後手は△７三角の余地が消えているため、先手の攻撃陣を牽制しにくい。

手数40: ８筋の歩を交換して８一に引く。後手は５一角をどう使うかが悩ましい。

手数41: 先手は３筋の歩を交換しにいった。

手数42:

手数46: じっと端歩を突いた。▲９六歩なら△９五歩▲同歩△８五桂で９筋を攻める構想かもしれない。

手数47: 端は受けず、▲２六角と引いて形を整える。

手数49: ４筋を突く。△４五同歩なら▲３七桂と調子よく活用できる。

手数50: 後手は△４五同歩と対応。手抜きで△９六歩の攻めも浮かぶところだが、時期尚早だったか。

手数51: 好調子の活用。

手数52: 放置したまま▲４五桂と跳ねられてはまずい。△４四銀右と上がって桂跳ねに備えた。

手数53: △４四銀右にも▲４五桂と跳ねる。△３四銀には▲３三歩。形勢はともかく、先手に気分のいい手が続きそうだ。

手数54: △３四銀と上がって耐える。

手数55: ▲３三歩と打って攻めを継続。

手数56: ３三に歩を残すわけにはいかないので、ここは取る。

手数59: 桂交換から▲４五歩と打つ。△同銀直▲同銀△同銀▲６二角成の進行は先手ペースだろう。

手数60: しかし△５三銀と引いても▲４六桂がきつい。ここは取って迎え撃つ。

手数63: 清算から馬を作る。次は▲３五桂、▲６三馬、▲７三馬など魅力的な手が多い。

手数64: △５五角と上がって飛車に当てつつ、７三桂にひもをつけた。▲３五桂に△３三金寄を用意した意味もある。

手数66: 馬を作られて後手危うしに思えたが、後手は△５五角〜△２二玉と対応。腰の重い指し回しだ。手番の分だけやはり先手ペースには思えるが、大きな差はないだろう。

手数69: ２筋の突き捨てから▲３五桂と打って攻め続ける。△３三金寄なら▲６三馬〜▲２三歩が厳しそうだ。

手数70: 銀を投入して辛抱。

手数71: 金をはがす。先手が順調に攻めている。

手数75: じっと侵入し、次の▲３五歩を見せる。

手数76: △４二歩と打って耐える。

手数77: 銀を打って▲４二銀成や▲４四歩の堅実な攻めを見せる。形勢は先手が優勢だ。

手数78: 銀を引いて飛車の成り込みを見せた。

手数79: △３八飛成は受けず、飛車を回って４五銀を狙う。

手数80: △４六桂と打って金取りで切り返す。

手数81: ▲４二銀成から後手の守り駒を削る。

手数85: 侵入してきた竜を追い払う。△５八桂成も消して味がいい。

手数86: 粘り強い竜引き。後手は苦しい流れが続いているが、決め手は与えずに戦っている。

手数87: 金を打って張り付く。後手は振りほどくのが難しい。

手数93: 厳しい銀打ちが入る。この局面で後手が投了した。以下（１）△１二玉は▲４四馬で必至。（２）△３三玉ならすぐには寄せられないが、▲４三金△３四玉▲４四金から駒損を重ねることになって後手に勝機がなかったようだ。

