手数1:

手数2:

手数3:

手数4:

手数5: 盤面はスラスラと進んで矢倉模様に。

手数15: 先手は▲５六歩を保留して駒組みを進めている。△５五歩とぶつけられる急戦の筋を警戒しているか。

手数17: 少し時間差をつけて５筋の歩を受けた。

手数20: 後手は２筋を受けずに右銀の進出を急いだ。

手数21: 飛車先の歩を交換した。

手数26:

手数27:

手数29: 次に▲３五歩、あるいは▲３七銀〜▲３五歩が矢倉の基本的な仕掛けの一つだ。

手数30: 先手の機先を制して後手から動いた。

手数31: 後手の仕掛けを予想していたのだろう。先手はすぐに▲５五同歩と応じた。

手数32: ５筋の突き捨てを入れてから△９三桂と跳ねた。次に△８五桂として、▲６六銀なら△６五歩▲同銀△５五角が狙い筋になる。△８五桂に▲８八銀なら利かした格好だ。

手数33: 先手も桂を使って対抗する。これで△５五角が飛車取りにならないので、△８五桂には▲６六銀と出られそうだ。

手数34: 銀を上がって力をためた。

手数35: 取られそうな歩を突き出して活用。味のいい手だ。

手数37: 後手が玉飛接近の悪形になったところで、思いきった動きに出た。△２四同歩▲２三歩△同金▲２四角が、この形では定番の攻め筋だ。

手数39: 後手が手を止めている。△２三同金▲２四角の展開がまずいと見れば角をかわす可能性もある。ただ、それは少し苦しいのを認める変化だ。

手数40: △３一角。辛抱した。

手数42: これで駒の損得はないが、２筋を押し込んでいる分だけ先手の模様がいい。

手数44: 先手陣の急所、桂頭を攻める。

手数45: 歩を成り捨てる軽い手筋。△２二同角は▲２四歩と垂らされると受けに窮しそうだ。△２二同金▲２四歩に△３二玉なら受かるが、玉が戦場に引っ張り出されるので、将来的なリスクがある。

手数46: △２二同金と応じた。

手数48: 玉で２三の地点を受ける。

手数49: 先手は２筋に大きな拠点を作ったが、桂頭のキズは残っている。

手数51: 次に▲３四歩が入れば、桂のさばきが確約されて先手がよさそうだ。

手数52: 後手がギリギリの受けの技を見せる。▲２三同歩成は△同金、▲３四歩は△２四歩▲同角△２三歩で受かりそうだ。

手数56: ２筋の修復に成功した。

手数57: ばっさり切って勝負にいった。角を引いて収まっては面白くないと見たのだろう。

手数58: △４二同角と応じた。先手が勝負に来ているので、ここは慎重にならざるを得ない。

手数59: 単刀直入の放り込み。

手数63: いったん飛車を追う。飛車を引いてくれれば▲３三桂成△同角に▲３四歩の追撃ができる。

手数64: 飛車を引いた。先手の攻めを受けきれるかどうかの勝負だ。

手数68: 角をかわしつつ△３七歩成を見せて、先手の攻めを催促した。

手数69: とにかくガリガリ攻めるのみ。

手数72: ▲３四金と打てば△４二玉に▲２三飛成とできるが、以下△３二銀で攻め切れるかどうかは微妙なところ。

手数73: 後手の飛車を止めた。△３七歩成の厳しさが軽減されるが、ここで後手を引くようでは苦しいかもしれない。

手数74: 桂を打って▲３四金の筋を消した。△４二桂もあったが、玉が狭くなると見たのだろう。

手数75: 飛車を浮いて、▲３五飛と歩の裏に回る王手が嫌みだ。△３七歩成には▲同銀△同角成に▲３五飛の王手馬取りがある。

手数76: 惜しまず銀を投入して受ける。攻め合いよりも、受けきってしまうことが重要だ。

手数77: 粘り強く立ち回る。次に▲３五金が狙いになりそうだ。

手数78: △２四銀でがっちり受けたところで反撃に出た。

手数79: 銀をかわして頑張る。

手数80: 激辛の一着。次に△９四歩で飛車を取ってしまうのが、一番早く、かつ安全な勝ち方と見たようだ。

手数81: △５三同飛なら▲９三飛成から▲４五桂を狙っているようだ。

手数82: 後手は△５三同飛。飛車の取り合いなら問題ないと見切っているか。

手数88: まずは一発王手を決めた。

