手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数12: 相矢倉の出だしだ。

手数15: 後手の△３二金に対し、先手は▲７八金を保留して右金を使った。早囲いの含みを残そうということかもしれない。

手数16: ひとまずは居玉を保ったまま△３一角と引いた。

手数17:

手数19: 後手の出方を見極めようとしたのだろう。

手数22: ともに居玉を解消した。

手数23: ▲４六歩と突いた。これは急戦を志向する意味だろうか。代えて▲７九角も一局だった。

手数26: 後手は総矢倉の形になった。

手数27: 先手は着々と攻めの態勢を整えていく。

手数28: ▲４五歩△同歩▲同桂が銀の両取りになるのを避けて、△６四銀と前進した。

手数29: ここで角を引いた。代えて▲６六銀や▲６八銀からあくまで急戦を狙ってもうまくいかないと見たようだ。

手数32:

手数35: ６七には右金ではなく左金を配し、バランス重視の土居矢倉の形に構える。

手数36:

手数38: ９筋を打診する。

手数39: 素直にあいさつした。代えて▲４五歩△同歩▲同桂と動いていくのもあったかもしれない。

手数40:

手数44: 持ち歩を得て、後手は指し手の幅が広がった。

手数45: 飛車の横利きを自陣左辺まで通す。

手数46: 玉を入城させた。後手は８四歩型を保って指し進めている。△７五歩▲同歩△８五桂というようにどこかで桂を跳ねて攻めていく筋を考えているのかもしれない。

手数47: 将来の△８五桂を先避けした。後手は△８五歩と突けばこの銀を引かせられるが、そうすると７三の桂が使いにくくなる。

手数48: 桂を跳ねて力をためた。このあとの攻め筋としては、△７五歩▲同歩△９五歩▲同歩△７五銀が一例として考えられそうだ。

手数49: 後手に動かれる前に、先手から動いていった。

手数51: 戦線を広げる。代えて▲４五同桂から△４四銀▲２四歩△同歩▲４六銀といった順もありそうだった。

手数52:

手数53: ２筋の突き捨ても入れにいった。代えて▲３五同角から△４四銀に▲２六角の進行はいま一つと見たか。△２四同歩とさせてから▲３五角と出れば、以下△４四銀には▲２四角とできる。

手数54: 銀で応じた。これには▲４五桂〜▲２五歩がよくある筋だが、大丈夫と判断したようだ。

手数56: ▲２五歩に△１三銀を用意した歩突き。

手数57: 右銀を前線に繰り出す。代えて▲２五歩から△１三銀▲３五角△４四歩▲３三歩という順は攻めが軽いと見たか。

手数58: 桂を捕獲して、攻めを受け止めにかかる。

手数59: 先手は後手よりも玉が薄いので、攻めがうまくいかないと反動もきつい。

手数62: 後手は自然に対応している。

手数63: ２六は、△４五歩に▲７一角成を作った逃げ場所。現局面で△３五銀には▲同角△同歩▲４一銀で勝負するつもりだろうか。

手数64: 落ち着いて△２四歩と突き、▲３三歩から桂をさばいて▲２五桂と打ち直される筋を消した。

手数65: 質駒の桂を取る▲８五銀。△８五同歩に▲３六桂ということだろうか。

手数66: 手順に飛車先の歩が伸びる。

手数67: 攻めの継続を図る控えの桂。後手は▲４四桂をまともに食らってはまずいが、どう対応するか。

手数68: 堂々と４五桂を取って、やってこいという姿勢を見せた。

手数71: 大きなクサビが入る。果たして後手陣はこの攻めを持ちこたえることができるのか。

手数73: 囲いの屋根を強引にはがす。△２四同金に▲４三銀がうるさい攻めだ。

手数75: 先手は現状は大きな駒損（銀桂損）ながら、一方的に攻めている強みがある。

手数76: 金をはがされないようにかわしつつ、２四の金も支える。

手数77: 素直に角を取った。代えて▲３五歩や▲８一馬も有力そうだった。

手数79: これは軽妙な歩の放り込み。放置すれば▲３一角だし、△３二同飛は▲４三歩成、△３二同玉も▲５四角△２二玉▲４三歩成がある。

手数80: ▲３一角を緩和しながら、７一の馬に当てる。

手数81: 自然に馬をかわして、次の▲６三馬を見る。後手は依然として忙しい。

手数82: 持ち駒の銀を投資して、先手の飛車を押さえにかかった。

手数83: 飛車取りに構わず、踏み込んだ。△２九銀成▲４一馬の取り合いははっきり先手よしだ。△４四飛も▲２四飛△同金▲３一角があるか。

手数85: 飛車を切った。先手が決めに出ている雰囲気だ。

手数87: この▲６四馬は、▲３一角以下の詰めろ。△６四同飛も▲３一角△２三玉▲２二金△３三玉▲４三歩成△同玉▲６四角成で先手がいけるか。

手数88: ▲３一角に△２二歩を用意した早逃げ。

手数89: 鋭手。△２二同玉は▲３一角△２三玉▲２二金△３三玉▲４三歩成△同玉▲４二角成△４四玉▲５三馬上までの詰みだ。

手数90: かわしで耐える。

手数91: 馬取りを避けながら後手玉に迫る。▲３三金以下の詰めろだ。

手数92: 上部への逃走路を開いて延命を図った。

手数93: ▲３二馬までの詰めろでと金を作った。

手数95: 上部を押さえ、▲３二角△２三歩▲２四馬△同玉▲２五金までの詰めろ。

手数96: 歩頭桂で最後の勝負を懸ける。

手数100: この△８六歩に▲８六同馬なら、一時的に後手玉への詰めろが外れる。▲８六同玉も△８二飛が王手馬取りだ。ただ、いずれの変化もまだまだ先手玉が安泰なので、後手が相当に苦しいことは間違いない。

手数101: いったん玉をかわした。△８七歩成▲同玉△８二飛に▲８六馬という順になれば、馬はタダでは取られない。

手数106: 諦めずに粘る。

手数107: 金を出た。△１五同金には▲１六歩。△１五同玉は▲３七角が王手飛車取りだ。

手数109: 飛車の頭をたたいた。代えて▲１六歩は△８六飛▲同玉△６四角で１九香を抜かれるのが嫌だったのかもしれない。歩の連打で▲８五歩まで決めてしまってから▲１六歩を突くつもりだろう。

手数110: ８五の地点に先着し、馬の位置をずらしにいった。

手数112: 先手の馬を攻めに働きにくくしてから、２二銀を外して受けに転じた。

手数117: 確実に守備駒を削る。後手はどう応じても味が悪そうだ。

手数119: 痛そうなタタキ。△２三同飛は▲３二銀だし、△２三同玉も▲４三歩成でと金が近い。

手数120: ▲２三歩の一発で、後手の飛車２枚が守りに働かなくなった。

手数121: ▲２四金までの詰めろで桂を据える。

手数123: ひとまず銀取りを利かせた。

手数125: ▲３四角成と▲２一角成の両方を見た角打ち。

手数126:

手数127: 成銀取りの先手で盤上の攻め駒を増やした。

手数128:

手数131: 依然として先手優勢であることは間違いないが、勝ち方はそう簡単ではなさそうだ。

手数133: ▲３四角成を防いでいる３一の飛車を狙いにいった。

手数135: 冷静に角を逃げる。現局面で△３二飛上には、▲５一馬の味がよい。

手数136: ６一馬の利きを止めて、まだまだ頑張る。

手数139: 中途半端な位置にいた馬を活用。▲５一馬と▲８二歩成△９三飛▲８三との両狙いだ。

手数140: 入玉に一縷の望みを託す。

手数141: ▲２四金△１五玉▲２五金までの詰めろ。

手数142: 抜け目なく８筋を押さえた。先手は▲８六歩とは打てない。

手数143: 持ち駒を温存して▲７八玉もありそうだったが、手堅く合駒で応じる。

手数144: 空間を埋める受け。

手数145: 詰めろ飛車取りで盤上の銀を使う。現局面で△３六桂なら、▲２四銀不成で後手玉は受けなしだ。

手数146: 玉の安全の確保が最優先。

手数147: ▲２四銀不成もありそうだったが、落ち着いて飛車を取った。相入玉での点数勝ちも視野に入れているか。

手数148: 大駒を取り返しにいく。

手数150: 角を取って、後手からは△６九角の狙いができた。後手が妖しく粘っている。

手数151: 目標にされている銀をさばいた。

手数154: ▲１一飛成で香を取られて、下から追われる形になると後手玉は助からない。

手数155: 地道にと金を作った。ただ、この瞬間は後手も何かできそうだ。

手数156: 金桂両取りの角打ち。これは部分的にはかなり厳しそうだが。

手数157: ８六桂を守りつつ、△４八角成に▲８五桂を用意した。

手数158: じっと金を取る。代えて△８六香は▲同玉で、先手玉を上に逃がす形になってしまった。

手数159: ２四桂の利きにあえて金を打ち、△２六玉を防ぐ。▲２四馬以下の詰めろだ。

手数160: 詰めろを消しつつの馬金両取り。簡単には倒れない。

手数162: ここで８六桂を取った。

手数164: △３六桂で、後手玉もかなり捕まりにくい格好に。相入玉が現実味を帯びてきた。

手数165: 駒を取りながら後手玉に近づく。

手数166: １五玉型のまま▲３五銀を打たれてはいけない。

手数169: ８四の地点をケアしつつ、▲８二歩成からの飛車捕獲を見た銀打ち。

手数170: 浮き駒の金を狙う。仮に▲６八金と引くと、△８五歩▲同桂△７五金▲同歩△７六金▲９七玉△９五歩という筋で先手玉はかなり危なそうだ。

手数171: 持ち駒の香を投入。

手数173: 歩をもらいつつ、２一飛の縦の利きを通す。△３一歩▲同との交換は、先手が得をしたように思われるが。

手数174: ２五の地点を守り、▲２五飛成（△同玉は▲３六金△１五玉▲２四銀△同玉▲３五馬から詰み筋）を防いだ。

手数175: いよいよ飛車を取りにいく。

手数176: 際どく反撃。▲９二とには△７三桂で、先手玉を寄せにいくつもりのようだ。

手数177: 無理はせず、ひとまず銀をかわした。

手数178: 後手は勝負勝負と踏み込んでいく。▲８二同成銀に△７三桂でどうなっているか。

手数180: △７三桂では捕まえきれないと見てか、金打ちで６八香を取りにいった。

手数181: 玉頭を制する銀打ち。どうやら先手も一息ついたか。

手数184: 後手の馬が動いたことで、▲２五飛成の筋が復活した。

手数185: ▲２五飛成に△同玉は、▲３六金から平易な詰み。改めて先手がはっきり抜け出した感がある。

手数187: ▲２七馬△同成桂▲２八金以下の詰めろ。

手数188: 竜に当てながら詰めろを防ぐ。

手数189: これで後手玉はまたもうしばらく頑張れそうな格好になった。

手数191: ▲８三同成銀も安全そうに見えるところだったが、▲８三同銀成を選んだ。

手数192: 決死の肉迫。△８五歩以下の詰めろだ。▲７三同成銀に△８四歩で、先手玉はかなり危ないか。

手数194: △８五金以下の寄せを見る。現局面で▲８五歩には、△６九馬で詰めろ竜取りか。

手数195: ぎりぎりの終盤戦。

手数196: 代えて△１八同玉は▲４八飛（詰めろ馬取り）があったか。

手数197: 自玉周りに手を戻した。

手数198: 詰めろ竜取り。まだ当分、決着はつきそうにない。

手数199: ７五に逃走路を開いた。これで先手玉もまず安全だ。

手数200: 飛車は取れたが、相入玉の点数勝負と考えると、後手は少し点数が不足していそうだ。

手数202: 馬と桂の両取りに飛車を打つ。

手数203: 王手で馬を逃げる。

手数205: 馬と桂の両方を生かすことに成功した。

手数206: ３五の馬に圧力を掛けにいく。

手数207: 駒を取りながら玉を前進。

手数210: 後手はぼんやりしていると点数負け。駒を取りにいく。

手数211: ６八〜８六と馬を大きく使って、４二の銀を狙った。

手数215: 現状の点数は先手３３点、後手２１点。

手数217: 互いに歩を取り合った。

手数218: 自陣の駒も、上を目指して動き出す。

手数219: ついに先手玉も相手陣に到達した。

手数220: 行き掛けの駄賃とばかりに、５六の歩を狙っていく。

手数221: 金銀を裏から串刺しにする形で飛車を打ち下ろした。

