手数1:

手数2:

手数3:

手数4:

手数10: 後手は角道を止めるタイプの中飛車に構えた。

手数17: 先手は持久戦を目指した。

手数22: 左銀を足早に出陣させて、▲６六銀を強要させるのが中飛車の骨子となる手順。

手数24: ４筋に飛車を振り直し、△４五歩〜△４六歩のさばきを狙う。

手数27: ▲６八角と引いて△４六歩を受けるのは、△６五銀とぶつけられて先手がしびれる。３三の角が先手玉をにらんでいるため、▲同銀と取り返すことができない。

手数28:

手数30: この戦型で頻出する手筋。▲２八飛なら△３三角と引いて千日手狙いだ。

手数31: 飛車をかわしつつ、３四の歩を狙う。

手数32: ４一金型なら△３二飛と寄るところだが、２８手目の△５二金左を生かして金で受けた。

手数34:

手数35: 穴熊のハッチを閉めておけば、角を引いたときの△６五銀がない。

手数36: 面白い金の活用法だ。次は△２四歩▲同歩△２二飛としておき、△２四金〜△３五金を狙う算段かもしれない。

手数37: 手損になるが、金を連結させて横からの攻めに備えた。先手は▲７九金、▲６九金右の２手が入れば理想的だが、それは後手も許さないところだろう。

手数40: 玉の懐を広げてから、狙いの仕掛けを決行した。

手数41: 素直に▲２四同歩は△２二飛〜△２四金を止める手段が難しいので、４筋から反撃に出た。

手数42: 角を要所に移動させるとともに、飛車先を通した。歩で角を追われる展開にならないので、３五の角は非常に安定している。

手数43: △４六歩に▲同銀を用意した。

手数46: 互いに我が道を行く。

手数47: ▲４六銀は△７一角と引かれて効果が薄い。後に△２七歩成からと金を作られて先手がまずそうだ。そこで、▲６六歩と突いて戦線拡大を図った。

手数51: ６筋に続いて５筋の歩も突き出した。飛車の横利きが通ったので、△５五同歩には▲６六銀とぶつける組み立てかもしれない。

手数53: 桂の増援を送った。しかし、穴熊が著しく弱体化した。苦しいと判断しての、緊急手段といった印象だ。

手数54: ６五の銀取りは受けずに、と金を入って△２九飛成の侵入を狙った。

手数55: ▲７七桂と跳ねている形で△２九飛成を許しては、先手陣はひとたまりもない。悔しいところだが、歩を打って辛抱した。

手数57: 穴熊側から端を突くとは、なんとも大胆な一着。尋常な手段では追いつかないということか。端攻めに有用な駒も手に入りそうにないが、どのように勝負形に持ち込んでいくのだろうか。

手数58: 後手は当然、取り返す。このあとは△９六歩〜△５三角として逆用する手段もあるので、先手は暴れるしかない。現局面で▲７五歩△同銀▲３五飛△同歩▲３一角の両取りが、ひとつ考えられる攻め筋だ。

手数59: 前手コメントに記した▲３一角の両取り狙いではなく、歩を取り込んだ。

手数60: ８三に銀を引くスペースを確保した。落ち着いた指し回しだ。

手数62: ちょんまげ美濃に銀の冠をかぶせた。

手数63: △２九とや△２六角が残っているので先手は猛烈に忙しい。とにかく攻め駒をぶつけて戦力を補充し、後手玉に迫りたい。

手数65:

手数66: ▲５三歩成が当たらない位置まで引いた。

手数68: 丁寧に受ける。▲５四歩と打たせれば、△４八と▲同金△２九飛成に▲５九歩の底歩がない。

手数71: 歩を合わせてと金を活用する。対して△６四同歩▲同と△６三歩ならば、▲７三と△同桂▲同桂成△同銀に▲４六角と出て嫌みをつける読みか。

手数72: ６四の歩は相手にせず、攻め合い勝ちを目指した。この局面で先手が投了した。投了以下、▲６三歩成△５九とに（１）▲同金は△７八金が△５九竜以下の詰めろ、（２）▲同角は△６八歩が痛打で、先手は手段に窮していた。

