手数1:

手数2:

手数3:

手数4:

手数8:

手数9: 先手は居飛車で戦うようだ。

手数19: 相矢倉の定跡形。

手数34: 後手は９筋の端攻めに特化した陣容だ。

手数35: ２７手目に▲６八角と上がっているので１手損になるが、それを承知で角をぶつけた。△９三香〜△９二飛を警戒した意味があり、角交換に持ち込めれば△９二飛に▲８三角と打ち込むことができる。

手数42: 右四間飛車にして△６五歩からの１歩交換を狙った。

手数48: ６筋の歩交換は急がず、端歩を突いて自玉の懐を広げた。

手数49: 先手は３筋に続き、５筋の歩交換を目指した。歩を多く持つほど、攻めの幅が広がってくる。

手数51: ７三の桂頭に狙いをつけた。こうなるともう止まらない。

手数54: 後手は、この手を可能にするために８四歩型にとどめていた。

手数56: ７七の銀には目もくれず、９筋に戦力を集結させた。

手数60: 事前に△４五歩▲同銀の交換を入れた効果で、現局面から▲６五同歩△６六歩▲同金△３九角▲６八飛に△５七角成と馬を作ることができる。

手数67: 守りの要である３二金をはがしにかかる。相矢倉戦では頻出する攻め筋だ。

手数69: ４一の銀にヒモをつけつつ、次の▲３二歩を狙う。

手数70: 攻防の角打ち。攻めては△６七歩成〜△５五角の王手飛車を狙っている。

手数74: ▲６七同金直△５五角と、まともに王手飛車を食らっては収拾がつかなくなるので、現局面では▲６五金が考えられる。

手数75:

手数77: 先手は手持ちの角を犠牲にして自玉の危機をしのごうとする。

手数78: 後手は当然、再び６四に角を出て王手飛車を狙った。

手数79: 代えて▲５六金は△５五金で受けにならない。手厚く金を打って△５五角の王手飛車を防いだ。

手数80: 本譜は飛車の横利きがなくなるデメリットはあるが、代えて△７三角だと次に△５五金と出たときに▲７四金が角に当たってしまう。

手数81: 最後の１歩を使って７三角の働きを抑えた。

手数82: 玉自ら盤上の攻め駒を取り払いにいった。先手の戦力がダウンした今が好機ということだろう。

手数85: 盤上の駒を活用して攻めに厚みを加えた。また、▲６三歩成とと金を作ったときに、△５五金▲同金△同角が王手飛車にならないようにもしている。

手数86: この局面で先手が投了した。投了以下、（１）▲６六同金引は△６四角、（２）▲６六同金上は△３九角▲３八飛△５七角成が一例で後手勝勢だった。

