手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数10: この構えは、ここから中飛車や三間飛車にする。

手数11: 後手が居飛車と振り飛車のどちらかまだ判明していない。先手はどちらでも対応できるように駒組みを進める。

手数12: 中飛車を採用した。

手数13: ５筋位取りは許さない。

手数15:

手数16:

手数17:

手数18: このタイミングでの△９四歩はかなり早い。

手数19:

手数20: バランス型の△４三銀。△５三銀から△６四銀という使い方もあった。

手数21: 先手の囲いは左美濃か、それとも穴熊か。７七に角がいるとトーチカ囲いには組みにくい。

手数22: 後手はこのあと右玉風に囲うことが多い。

手数25: 端の突き合いが入っていることもあり、左美濃に囲うのは自然だ。

手数26: △６四歩〜△６三銀〜△６二金が駒組みの一例。

手数27: △６五桂の両取りを受けた。

手数29: 先手は上部に厚い高美濃囲いにする。終盤戦は玉頭戦になるかもしれない。

手数30: ５筋の歩交換は後手の権利。ただ、すぐに決行すると桂頭攻めを狙われるかもしれない。先に△６三銀とするのが無難だ。

手数31: 先手の攻めの目標は後手の角頭になりそうだ。

手数32: 金銀が左右に分裂するのは中飛車の宿命ともいえる。自陣のバランスを見ながら戦う。

手数34: 次は５筋の歩交換から△５一飛とするのが好形。ただし、△５五歩▲同歩△同飛に▲５六銀で頑張られると、先手が１歩を生かして攻め込んでくるかもしれない。後手はどこか一点突破されると玉形の差が響く。

手数35: △５五歩には▲同歩△同飛▲３五歩△同歩▲５六歩△５一飛▲３五飛といった要領だろうか。

手数36: △６五歩は△５五歩以上に戦況への影響が大きい。

手数37: 反発する。

手数39: ５七銀は６六を守る駒でもあった。▲４六銀と攻めに使うのは積極的だ。

手数40: ▲６六同角は△４五歩で決戦になるかもしれない。▲６六同金はそれよりも穏やかだ。

手数42: △６四歩は△６五桂▲６八角△４五歩の金銀両取りを狙っている。

手数43: △４五歩から先逃げしつつ、攻めを継続する。

手数44: 右玉における△６五桂や△８五桂は、攻めだけでなく玉を広くして切り札になることが多い。本局はいきなり跳ねていった。▲６八角△４五歩▲６七歩△３四歩▲同銀△同銀▲同飛△５七銀と進めば乱戦だ。

手数45:

手数47: ここまでは必然ともいえる進行だ。△３四歩は歩切れになるので決断の一手になる。△５七桂成▲同角△６五歩で金を取りにいく技もあるが、自玉近くで戦火を拡大していいものか。

手数48: 銀交換から△５七銀を狙う。

手数49: ▲２六銀では攻めが腰砕けになってしまう。ここは突っ込むべき。

手数50: 激しくなりそうだ。

手数52: ▲７九角は△６六銀成▲同歩△同角で後手がさばける。

手数53: そこで先に角と刺し違えておく。

手数55: ▲６五金△同歩▲５七角があって後手が忙しい。いかに手を作っていくか、センスが問われる。

手数56: ▲６五金には△４七歩成、▲４六同歩には△２七飛で銀を支えられる。△４六歩は好手ということだろう。

手数57:

手数58: 銀を助けただけでなく、△６六銀成▲同歩△５七桂成の狙いがある。いや、この場合は「成」ではなく△５七桂不成がよいか。以下▲５九金は△２九飛成が金取り、▲５八金は△６九桂成（▲同銀は△８七金で詰み）、▲６八金は△６九金と絡んでいく。

手数59: ▲２四歩は盤上全体をよく見ている。△２四同歩に▲１六角が飛車２枚に当たる。後手陣は飛車に弱い形だ。前述の攻め筋を決行すると、△６六銀成▲同歩△５七桂不成▲１六角△６九桂成▲２七角△７九成桂▲同玉が予想される。これは金桂交換で後手が駒得ながら、先手の飛車もかなり大きい。

手数60: ▲１六角をかわしつつ、桂得を果たした。ただし一時的なものだ。▲６五金ですぐに取り返される。

手数61: ５七銀を浮き駒にする。△６五同歩は▲５七角だ。どうせ取られる銀ならば△５八銀成▲同金△６五歩は一案か。△４八銀成と逃げるのは方向違いで気が引ける。

手数62: 単に△６五同歩だった。

手数63: 駒割りは互角に近い。△１九竜とすれば後手香得だが手番は渡す。玉形は先手に分がある。２四歩も▲２三歩成で活用できそうだ。後手は歩切れであり、手駒の数は先手が多い。これらを総合すると先手がよくなったか。

手数64: ６四の地点は後手にとってキズになり得た。桂で埋めて、かつ攻める。

手数65: 優勢を意識していそうな、手厚い銀打ち。

手数66: ５二飛を使えないと後手は苦しい。

手数67: ▲４五歩は冷静だ。△５六歩に▲３五角と絶好の位置に飛び出せる。

手数70: 手堅くいくなら▲５三歩で飛車を止めてから▲５七角。一気の寄せを考えるなら▲６二角成。

手数71: 少しよさそうなので冒険はしない。△６七と▲５二歩成△７八と▲同金△５二銀は▲８二飛が痛打になる。

手数72: △４二飛は▲５一銀があった。

手数73: △４三金には▲５五桂が待ち構えている。３筋を味よくほぐせないのがもどかしい。

手数74: 金打ちをひねり出した。角取りで５五にも利かしている。

手数76: ここは先手の腕の見せどころだ。ぱっと目につくのは▲３三歩△同飛▲３四歩△同飛▲１六角△３三飛▲３四歩。ともかく飛車を止めようという順だ。ただし歩切れになる。

