手数1:

手数2:

手数3:

手数4:

手数5: 戦型は先手中飛車に進んでいる。

手数25: 桂を跳ねて、次に▲４五桂の狙いがある。

手数26: 後手が角交換に踏み切った。△３三角と上がってからの交換なので手損したことになるが、▲４五桂の両取りを避けるには交換するのが一番いいと見たようだ。

手数27: 先手にとっても意外なタイミングの角交換だったのだろう。慎重に▲７七同銀と応じた。

手数28: 後手は左美濃に構えた。

手数35: 飛車を下段に引いた。

手数39:

手数43: ９筋は受けずに陣形を盛り上げにいった。

手数47:

手数48: 強気に銀をぶつけていった。

手数49: 先手は銀を引いて辛抱。ただ、△６四銀と戻られたときに▲６六銀では千日手模様なので、代わる手があるかどうかが問題だ。

手数50: 銀を戻した。後手番なら千日手でも構わない。先手がどうするかだが。

手数51: 先手は手を変えて千日手を回避した。

手数55: ８筋の逆襲に出た。△８六同歩にどう手を作るのか。先手の技に注目だ。

手数57: 角をひっかける。△７二飛には▲５三角成と切ってから▲８六飛の狙いだろう。駒損でも飛車がさばければ戦えそうだ。

手数58: 後手は飛車を縦にかわして△８七歩成の狙いを残した。先手はどう暴れていくのか。

手数59: 戦線拡大。△３五同歩には▲３四歩が厳しい。以下△３四同金は▲５三角成がある。

手数60: 金を上がって５三銀にもう一枚ヒモをつけた。これで▲３四歩には△同金と取れる。

手数67: 角を切って暴れにいった。

手数69: ▲５三歩成が実現すれば、駒損でも先手がよさそうだ。

手数70: 歩を突き捨てて、△５二歩と受ける狙いか。

手数72: あくまでも押し付ける。

手数74: これでひとまずは受かった。

手数75: しつこく攻め続ける。

手数78: 金を戻して辛抱強く受ける。

手数81: 強引に５筋の突破を目指した。

手数83: 駒割りは先手の角損。このと金が頼みの綱だ。

手数84: 根元の桂を取りにいった。

手数87: じっとキズを消した。△３六歩▲同銀△３五歩▲２七銀△３六桂の攻め筋が嫌みだったようだ。

手数88: 端に手を付けた。先手玉は４枚の金銀に守られているが、端は薄い。

手数91: 端に応援を送って耐える。

手数92: 端攻めはいったん保留して、焦点の歩で先手陣を乱す。

手数93: 銀が離れて、先手玉が少し薄くなった。

手数94: あらためて端を攻める。

手数95: じわっとと金を近づけて反撃のチャンスをうかがう。

手数96: ３筋から攻めた。

手数97: 引っ張り出された銀を攻めに活用した。△３六歩なら、▲３五歩△同金▲４四銀と切り返す狙いが見える。

手数98: 空いた隙間に桂をねじ込んだ。▲５六同金は△６七角がある。

手数99: 銀を引いて辛抱。しかし、△３六歩〜△３七歩成の攻めが厳しくなりそうだ。

手数100: ▲３六同金は△３五歩がきつい。

手数102: 金取りに構わず決めにいった。

手数104: この局面で先手が投了した。投了から▲１七同玉は△３七歩成▲同金△２五桂打、▲１七同金は△３七歩成▲同玉に△３五金が詰めろで寄り筋となる。

