手数1:

手数2:

手数3:

手数4:

手数5: 矢倉模様の立ち上がりだ。

手数9: 対して、後手は△３三銀で矢倉にするか、△３三角で雁木を目指すか。

手数10: △３三角と受けた。雁木模様の将棋に進みそうだ。

手数19: 先手は角の活用を急ぐ。

手数22: 後手は足の速い桂を活用。

手数27: 先手陣は矢倉城が完成。

手数28: 後手はツノ銀型の雁木に構えた。

手数32:

手数33: 角を活用しつつ、玉を囲う道を開いた。

手数38:

手数39:

手数42: 駒組みが煮詰まってきている。先手は４八銀をどう使うか、後手は角をどう使うかが、ここからの課題になりそうだ。

手数43: 銀を引いた。囲いにくっつけて使う狙いのようだ。

手数45: ６八ではなく、５八に銀を配置。中途半端な位置だが、角の機動性を残しておきたかったのかもしれない。

手数46: 香の下に潜り込んだ。端を逆襲する狙いか。

手数47: なるほど、▲５八銀としたのは、金引きから▲６七銀と配置する狙いだったようだ。

手数49: ４枚銀矢倉の堅城が完成した。

手数50: 後手は端の逆襲に出た。

手数53: 香交換はせずに辛抱した。

手数54: １歩手持ちにしたところで、今度はこちらから。

手数55: 先手も反撃に出る。

手数57: ２筋に味をつけてから手を戻した。

手数58: 冷静に２筋を支えた。

手数60: ９一飛のままでは、先手の角のラインに入っていて危険だ。

手数61: 後手が飛車を寄ったのを見て、香を取りにいった。

手数62: 飛車を寄って角道を避けたことで、ついにこの桂が働いた。

手数63: 銀取りに構わず香を取りにいった。

手数66: 焦点の歩で攻めを続ける。後手は９筋の香を取られる前に戦果をあげたい。

手数68: 薄くなった７筋を狙った。

手数69: 継ぎ歩で後手陣にキズを作りにいった。

手数71: 香を取って、駒割りは銀と桂香の交換に。先手が駒得だが、歩切れで手番も後手に渡った。

手数72: 銀を置いて手厚く攻める。▲２五飛が十字飛車になるが、それでもこの攻めが有効と判断したようだ。

手数73: これが▲２五歩と継ぎ歩したときからの狙い筋だろう。次に▲２四歩が非常に厳しいので、後手も銀取りを受けている場合ではない。

手数74: 銀を逃げずに攻める。

手数75: 銀を取るか２筋を攻めるか悩ましいところだったが、先手の手は２筋に向かった。

手数76: 食いちぎって収めにいった。

手数80: これでひとまず先手の攻めは止まりそうだ。駒割りは金桂香と銀の交換で後手の駒損が拡大したが、７七の金取りが残っている。

手数81: ここは飛車を２八に引いた。▲２五飛と銀に当てるよりも、深く引いて受けに利かせたほうがいいと見たのだろう。

手数83: ▲７七同桂が銀取りになっているので△７六銀が自然だが、より厳しい攻めを狙っているのか。

手数84: 銀取りをそのままに、先手玉を攻めた。

手数85: ▲２三飛成△３一玉▲２二竜△４一玉▲４二金までの詰めろになっている。

手数86: 手持ちの金は温存して銀引きで受けた。△８七歩成は決めないほうがいいようだ。

手数87: 飛車銀両取りの切り返し。△８二飛なら▲６五角成が受けにも利いて幸便だ。しかし、この瞬間が危ない。先手玉に寄せがあってもおかしくない格好だ。

手数88: △８七歩成。飛車を逃げずに寄せ切る順があるかどうか。

手数90: 正面から寄せにいった。

手数94: 通常は銀を打つところだが、７七桂が８五を守っているので、▲９六玉とかわされたときに寄せづらい。金を打っておけば、▲９六玉には△８六角が詰めろで寄り筋だ。

手数95: 上部脱出を狙えないのでは先手がつらそうだ。

手数96: 清算してシンプルに攻めた。

手数100:

手数102: 上から押さえる基本に忠実な寄せ。これはわかりやすくなってきたか。先手玉は飛車の横利きでかろうじて持っている状況だ。

手数106: ここもシンプルに。

手数109: 後手の攻め駒が少なくなってきたが、６〜８筋まで歩が使えるのが大きい。

手数110: △８七歩成以下の詰めろだ。

手数111: 受け一方ではなく、▲８六金を歩を払う狙いだ。

手数114: △６八歩成からの詰めろ。

手数115: 代えて▲８六金は△６八飛成▲８九玉△９八角成▲同香△８八歩▲９九玉△７九竜までの詰みがあった。

手数120: △８八飛成以下の詰めろ。▲７七金と取っても詰みがある。

手数122: △８六竜▲同玉△８七と以下の詰めろ。

手数123: 飛車を打って必死の防戦。

