手数1:

手数2:

手数3:

手数4:

手数5: 戦型は先手が三間飛車に構えている。

手数10: このタイミングの△４四歩はかなり早い感じだ。普通に持久戦を目指すのであれば急ぐ必要はないので、△４五歩と伸ばして積極的な駒組みを目指すつもりなのかもしれない。

手数12: 後手は左美濃に構えた。

手数14: 堂々と位を取った。のびのびとした陣形だ。

手数16: 後手がかなり珍しい駒組みを見せている。ここからどう組み立てていくのか興味深いところ。

手数24: 角を前線に出してから桂を跳ねた。複雑な手順の駒組みが続いている。

手数25:

手数26: 後手陣は囲いという概念を感じさせない駒組みだ。

手数29: 先手は角を引いて石田流への組み替えを見せた。

手数30: 後手が動きを見せた。▲３七角と上がられると動きにくくなると見たのだろう。

手数31:

手数32:

手数34: 後手は中央に力を集めている。

手数35: 中央に力を溜めている後手に対して、先手は三間飛車らしく７筋から動いた。

手数37: 飛車をさばいて、△７三歩には▲８四飛と回る手がある。

手数38: 香取りに角を覗いた。

手数39: 構わず飛車を寄って、こちらは桂取りだ。

手数40: ▲５六同銀なら△１九角成で銀取りが残る。

手数41: 銀取りに構わず踏み込んだ。勝負手か。

手数43: はっとする王手だが、７三に歩が打てる。

手数46: 香を取って、さらに金取りが残っている。

手数47: つらい受けだが、ここは辛抱するしかない。駒割りは銀香と桂の交換。後手が駒得だ。

手数48: 香を足して数の攻め。▲６八桂などでは受け一方になる。何か反撃の手段が欲しいが。

手数49: ７三歩にヒモをつけている銀をどかしにいった。ただ、銀が動いても、１九馬のヒモが残る。

手数51: ６筋の歩を取らせたことで叩きが入った。ただ、△６二同玉にどうするか。▲７四歩や▲７四桂が打てればいいのだが、６五銀が守っている。

手数53: ７四を守っている銀を狙った。△７四銀には▲６六桂が厳しい。

手数54: 構わず香を走った。△２八銀▲４八玉△５七香成以下の詰めろになっているので、先手は銀を取る余裕がない。

手数55: △２八銀を受けて詰めろを防いだ。△５七香成は詰めろにならないので、▲６五桂の詰めろで先手がよさそうだ。

手数56: △２九馬からの詰めろだ。これは受けが難しくなっている。大勢決したか。

手数57: 金をかわして、ひとまず詰めろを防いだ。

手数58: △２九銀成以下の詰めろ。

手数59: 受けはないと見たのだろう。最後の勝負に出た。

手数62: この局面で先手が投了を告げた。後手玉は詰まず、先手玉は▲３八銀と受けても△３七桂成で寄り筋だ。

