手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8: ▲６八玉を見て△８四歩と突く。振り飛車も考えられた形だった。

手数9: 代えて▲７八玉は△８五歩で当たりが強い。４筋に争点を求める。

手数10: 金を上がり、角にヒモをつけた。▲４五歩の開戦に備える。

手数13: 手早く腰掛け銀に構えた。開戦を見据えながら指し進めることになりそうだ。

手数14: 格言は「歩越し銀には歩で対抗」と教える。

手数15: 銀を立ち、左美濃を見せた。▲４八飛の右四間飛車とも相性がいい。

手数18: 右銀を５三に上がり、歩がぶつかってきそうな４筋を強化した。

手数20:

手数21: 勢いよく手を出した。自玉は左美濃に構え、あとは戦いを起こすだけといった趣か。

手数22: △３一玉と寄る。後手としては先手の動きにカウンターを合わせたい。

手数25: ４筋で歩を手持ちにし、飛車先を伸ばす。放置すれば▲２四歩△同歩に▲同飛が▲２二飛成〜▲４四角の筋を見せた先手になる。

手数27: ▲３六歩と突いた。桂の活用を見せる。

手数28:

手数29: 先手は▲３七桂と跳ねた。

手数30: 銀取りに歩を伸ばした。後手は桂頭を負担にできれば、前手▲３七桂をとがめられる。

手数31: 飛車先の突き捨てを入れにいく。

手数33: 突き捨てを入れ、銀を自陣に逃げる。角に働きかければ飛車を走れる形で、突き捨てはいずれ生きてきそうだ。

手数34: △４三銀と立ち、上部を厚くした。

手数35: ▲９六歩と突く。▲９七角の王手を作った。

手数36: △５四銀と上がり、上部に厚みを築く。

手数37: 銀取りに歩を打った。銀を逃げれば拠点になる。

手数39: 飛車を浮き、桂頭をケアした。▲４六銀〜▲３五歩の筋を見せる。

手数40: 突き捨てを逆用し、金を上がって歩の屋根を支えた。

手数41: 「位を取ったら位の確保」。また、次に▲３五歩から歩を手持ちにできる。

手数42: △３二玉と立った。カナ駒が上ずり、玉が一段目では心もとない。

手数45: △３四歩に▲４四銀は、△同銀▲同歩に△同角が飛車に当たる。

手数47: 歩を手持ちにしたことに満足し、銀を引き揚げておく。

手数48:

手数50: 銀は四段目、金は三段目にそれぞれ上がった。玉は薄いが、上部に厚い。

手数51: じっと▲１六歩と突いた。△１四歩との交換はどちらが得になるのか。

手数52: 桂を渡した際の▲１五桂を防ぐなど得の大きそうな歩突き。先手は２筋の突き捨てを生かせておらず、歩損が残った形だ。

手数53: ▲２五歩と合わせた。

手数55: シンプルに桂を跳ね出す。「桂の高跳び歩の餌食」には要注意だ。

手数56:

手数57: 銀取りに歩を突き出し、角筋を通す。先手は手を作っていけるかどうか。

手数58: 銀を引く。▲３三歩で角道を止めて▲５五銀のような順は考えられるか。

手数59: 歩の犠打で金を離れ駒にさせる。

手数61: ▲５六歩と突き上げ、角交換を目指す。後手陣はバラバラで、駒を持てば技をかけやすくなる。

手数62: 自身の駒の多く利いているところに歩を打った。後手としては相手の駒をさばかせないようにしたい。

手数63: 銀取りに歩を取り込む。代えて▲５五銀では柳に風と△４五銀があった。

手数64: ぶつかっていた歩を取りながら銀をぶつける。カナ駒を渡さない対応は難しかったようだ。

手数67: １筋に手をつける。先手は桂が生きているうちに一仕事できるかどうか。

手数68: 堂々と△１五同歩と応じた。先手は２歩あれば▲１二歩△同香▲１三歩と追撃できるが、１歩ではそうはいかない。

手数69: 香を犠牲に歩を調達。先手の攻めがつながるかどうかの勝負になってきた。

手数71: かねてからあった▲３三歩を発動。玉を逃げれば拠点として残り、取れば▲３三同桂成で桂がさばける。

手数72: 手に乗って上にかわした。△１四玉〜△２五金まで回れば手厚いが、▲３二銀の王手金取りにはどうするのか。

手数74: 玉を上に逃げる。銀を取るのでは飛車を渡して耐えきれない。

手数75: 金を取るのではなく、角取りに歩を打った。先手の攻めがつながってきたか。

手数77: 飛車を逃げずに踏み込む。飛車をかわすのでは△１三角と王手で逃げられところだった。次の△２六金で後手玉が広くなり、ギリギリの進行にも映る。

手数80: △２五玉と上がり、入玉を目指す。

手数81:

手数83: 銀を引かせ、自陣で眠っていた角を活用した。玉を守る金をにらみつつ、後手陣の駒を取っていく働きも期待できる。

手数84: 成駒を作り、安全に入玉できる環境を目指す。

手数85: 囲いを崩して後手玉を捕まえにいく。

手数86: 角取りに銀を打った。▲３五同角△同玉▲３七銀のような手段を与えるが、大丈夫なのか。先手も角を渡すと自玉に王手がかかりやすくなる。

手数88: 歩で角を取り、▲３四角を許す。△１五玉で耐えているのか。

手数89: ▲３四角の王手は利かさず、銀を打って上から迫る。

手数90: 八方にらみの角。３七の地点を守りせながら先手玉の近くに利かす、攻防の一手だ。

手数93: 金の犠打で迫った。△１四同玉に▲２六銀が▲２三角成までの詰めろになる。

手数96: 金の王手を決めた。▲６八玉に△６六飛が王手銀取りになる。

手数98: 次に△２六飛と取れば飛車が受けに利きそうだ。

手数101: と金にヒモをつけてしがみつく。次に▲２四金に△同飛は▲同と以下の詰みだが、△１五玉があって詰めろではない。

手数102: この手を見て先手が投了した。次は△２八飛成が△４八竜▲５八金△５七銀▲６九玉△７九金打までの詰めろになる。後手玉は捕まらず、先手玉に手を入れるのも難しい。

