手数1:

手数2: 後手は角道を開けた。

手数3: 先手はすぐに角道を止めた。

手数4: 相振り飛車戦になるか。

手数5: 相振り飛車戦となりそうだ。

手数6: 後手は三間飛車に構えた。

手数7:

手数8:

手数9:

手数10: 後手は美濃囲いに組んで戦うようだ。

手数11: ８筋に飛車を振る。先手向かい飛車に後手三間飛車の相振り飛車戦となった。

手数13:

手数14:

手数15: ３筋を相手にすることなく８筋の歩交換にいった。

手数16:

手数17: △８三歩に飛車の引き場所はどこになるか。

手数19: 飛車を引いた。

手数20: 先手からは▲２五飛の揺さぶりがあり、後手はそれに備える必要がある。

手数21: 早くも先手の駒台に２枚の歩がのった。

手数22: ３四に飛車を浮き、▲２五飛に△２四歩や△３二銀を用意した。

手数23: ３筋を補強することなく指し進める。

手数24: 端を突いた。△１三角と使うつもりだろうか。

手数25: 端を受けておく。先手としてはすぐの攻めはなさそうで、駒組み負けしないように進めていく必要がある。

手数26: 左銀の活用を目指す。

手数27: ３八に金を上がった。五段目に飛車が頑張っており、△３三桂から△４五桂のような攻めの心配がない。

手数28: ４筋を突く。これで△３三桂から△４五桂が可能になった。

手数29: 玉を上がって金にヒモをつけておく。

手数31: 先手は指したい手が多い。金矢倉に組み上げて入城するだけでも相当手数が掛かる。

手数32: 飛車を３一に引き、△３四銀と繰り出せるようにした。

手数33: 左金も守りにつけた。

手数34: ３筋から銀を繰り出す。どうやら先手は金矢倉に組む順は間に合いそうにないか。

手数35: 負けじと銀を繰り出す。

手数36: 美濃囲いを完成させた。

手数37: ４筋を突いた。△３五銀▲４七金左△３六歩には、▲２六銀とぶつけて指すつもりだろうか。

手数38: じっと位を取っておく。

手数39: 後手からの速攻を阻み、先手としては満足のいく序盤戦だろうか。

手数40: ３三に角を上がる。△２四角〜△３三桂の構想だろうか。

手数41: 堂々と入城した。

手数42: ６筋の歩を突いた。△４一飛〜△４五歩と仕掛けたときに、この歩を突いていないと▲８四歩からの十字飛車で３四の銀を狙われる手があった。

手数43: 十字飛車が難しくなったのを見て、金矢倉に組み上げた。ただ４筋を攻められたときに当たりが強くなる意味もある。

手数44: 後手は高美濃に組み上げた。

手数45: 飛車を引き揚げる。次に▲６八飛と振り直すつもりだろう。そのあとは▲８六角から▲７七桂とすれば６筋に攻め駒を集められる。

手数46: 金を攻めに活用し、▲６五歩の攻めも緩和している。

手数47: 利きは足りていないが先手は６筋から動いた。△６五同歩に▲６四歩だろうか。△同金は▲８四歩△同歩▲８二歩。放置は▲６三歩成△同銀▲８三飛成で指しやすくなる。

手数48: 素直に△６五同歩と応じる。▲６四歩に△８二玉や△５二金で頑張るつもりだろう。

手数49: 先手は８四に歩を合わせた。△８四同歩にどういう狙いか、すぐには見えない。

手数51: 金銀交換を迫る。しかしこれでもまだ８筋を合わせた意図が見えてこない。

手数52: 清算で応じた。

手数53: 次に▲８二歩△同玉▲４四角の大技が狙いか。△同角には▲８四飛が王手角取りだ。

手数54: 後手は銀を引いて４四の地点を強化した。

手数55: 貴重な１歩を角取りに放つ。△３四同銀には▲８四飛△８三歩に▲４四飛だろうか。

手数56: △２二角は▲４二金。△２四角は▲４五歩があった。

手数57: 先手は技を掛けるべく飛車を走った。

手数59: ４四に飛車ではなく角を飛び込む。△８四歩に▲５三角成が王手飛車取りだ。

手数60: 飛車のほうを取る。△４四同角▲同飛の展開は受けきれないと見たか。

手数61: きれいに王手飛車取りが掛かった。

手数62: 技を掛けられた形の後手だが、▲３一馬と取られてもまだ駒損にはなっていない。

手数63: 次は▲２一馬が▲８三歩を見て厳しい。

手数64: 歩を突き出す。▲３六同銀には△３五歩か。△３七歩は▲同金寄で得になっているかどうか微妙だ。

手数65: 利かされだが銀を引いて対応した。

手数66: 攻防に飛車を下ろし、▲２一馬のあとの▲６五馬を消した。

手数67: 桂を取る前に王手を利かせた。

手数68: △８三同銀は▲２一馬が▲６三飛の角金両取りを見る手になった。怖いが玉で取り払う。

手数69: やはり桂を取る手が大きい。先手が優勢に立ったようだ。

手数70: 香を取りながら目標になりそうな角を成った。

手数71: すぐさま王手で桂を使った。

手数72: 引いていては勝てないと判断。入玉含みで勝負にいった。

手数73: 慌てず上部脱出を防いでおく。

手数74: 香を打って▲５四馬と引かれる手を消した。

手数75: 次に▲６三歩成△同銀▲８二飛が▲８四飛成以下の詰めろとなり厳しい。

手数76: 玉で取り払ったが▲３一飛が厳しそうだ。

手数77: どうやらこの手が決め手のようだ。

手数78: 桂を取りながら銀にヒモをつけたが、▲５六歩が▲６一飛成の詰めろや▲３四飛成を見る手になる。

手数79: この局面で後手の投了となった。後手玉は▲６一飛成以下の詰めろ。▲３四飛成もあって受からない。

