手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数14: 盤上は相矢倉の出だし。代えて△５四歩も自然だったが、まず７筋の歩を突いた。

手数15: 先手は早囲いの含みを残して、▲７八金を保留している。

手数16: ５筋の歩を突く。

手数19:

手数20: 後手としては、どこかで早めに動いて先手の早囲いを牽制するのも一策だ。

手数21: ▲３六歩はひとまず省略して、▲６八玉と早囲いに出た。少し珍しい指し方だ。

手数22: 角を上がって、▲３六歩を突きにくくする。

手数25: 角に角で対抗し、▲３六歩を突けるようにした。

手数26: しばらくは角がにらみ合ったまま駒組みが続きそうだ。

手数29: １筋を打診。先手はまだ４八銀の形のまま指し進める。もう少し後手の出方を見たうえで、３七に進む駒を銀と桂のどちらにするかを決めたいということだろうか。

手数30: 素直にあいさつを返す。▲２五歩〜▲３七銀〜▲２六銀〜▲１五歩という筋でこられても戦えると見たようだ。

手数31: 今度は自玉の側の端歩を突いた。

手数32: ここもあいさつした。

手数33: 両端を突き合ったところで、攻めの銀を前に出る。

手数35: 玉を深く囲いにいった。

手数36: 攻めの桂を活用。

手数38: 序盤から難しい駆け引きが続いていたが、最終的にはどこか見覚えのある脇システムの形に落ち着いた。どこかで▲１五歩と手を出す味ができている分、１筋の突き合いは先手の得になっているといえるか。

手数39:

手数40: △４三金右として、矢倉の上部をしっかりさせる。本局の場合は△６二飛以下▲２六銀△４六角▲同歩△６九角▲１五歩△同歩▲３五歩というようにどんどん攻められて、後手が少し嫌だったかもしれない。

手数42: 代えて△６四同歩は▲６三角がある。

手数43: 角交換から▲４六銀と出た。

手数44: 相手陣に角を打ち込んで、先手からの攻めを牽制した。

手数45: 代えて▲６一角なども考えられたが、じっと▲５七銀と引いた。先手は受けに回る方針のようだ。後手が４九の角を捕まえられるまでに有効な攻め手を作れるかどうかが焦点になる。

手数46: ５筋の歩を切りにいく。後手は持ち歩を得れば攻めの幅が広がるし、どこかで△５八歩と垂らす筋もできる。

手数47: ▲５五同歩と応じた。

手数49: さらに守りを固める。代えて▲５六歩と打つのは、相手のいいなりで不満だったか。

手数50: 落ち着いて△６四銀と引き、右銀を安定させた。

手数51: 先手も、まったく攻め味がないのではつまらない。▲４六歩は、▲４五歩△同歩▲３五歩△同歩▲７一角という筋をちらつかせている。

手数52: 飛車の利きを相手陣に直通させてさまざまな攻め筋を匂わせながら、手を渡している。

手数53: ここは辛抱した。

手数56: △８五桂を利かせてから、今度は飛車を７筋に。次に△７五歩と突ければ、攻めとしてはかなりのものだ。

手数57: 後手の飛車の筋を変えにいく、攻防一体の角打ちだ。

手数59: ▲５八銀の角捕獲を見せた。

手数60: ▲５八銀を防いで歩を打つ。これに▲５七同金なら△７六角成で、馬の存在が大きい。

手数61: 玉形の乱れをいとわずに、打ってきた歩を取りにいった。次に何事もなく▲５七金上とできれば、先手がよくなる。

手数62: ６一角の利きから、事前に金をかわす。ここで▲５七金上には、△６七角成▲同金△７一金で後手も戦えそうだ。

手数63: 後手の囲いに手を出していく。現局面から△６七角成▲同金△７一金には▲３四角成でよい。

手数65: ３四に空間を作ってから、５七歩を払った。これで好きなときに▲３四歩と打てる。

手数66: ▲５八銀と立たれる前に、角を金と刺し違える。

手数68: 角切りから、相手の角を捕獲。

手数70: ▲３四歩△４二銀の交換は、先手の得だ。

手数71: 取られる運命の角が、最後にもう一働き。持ち歩を補充しつつ、△９四同香とさせて香をつり上げることができる。

手数73: 読みが一致したようだ。現局面は後手が金得だが、先手も９四の香はすぐに取れる形。互いの玉はまだ安全なので、先は長そうだ。

手数74: 先手の３筋突き捨てを逆用して、△３七歩成▲同桂△３六歩を見せた。

手数75: 何はともあれ、手駒を補充する。

手数79: この▲３九香で、先手陣は意外に隙のない格好か。

手数80: 金を自玉に近づけて待った。▲９三歩成に△５二飛と回った際の飛車の縦の利きを通しておいた意味もありそうだ。

手数81: 後手の飛車を狙いながら、自玉上部を開拓。

手数83: 質駒の桂を補充した。△８五同歩に、▲２四歩から攻めて勝てると判断したようだ。

手数85: この玉頭攻めがなかなかうるさい。△２四同歩に▲２三歩が継続手で、以下△２三同金は▲３五桂が刺さる。

手数88: かわして頑張った。

手数89: ▲２四飛と走って、部分的には先手の攻めが決まっているといえそうだ。△１三銀の受けにも、▲２二角からの強攻突破が利く。

手数90: 攻め合いにいく。

手数91: ▲８六同歩と相手をする選択もありそうだったが、踏み込んで勝ちを目指す。

手数92: 単に△４一玉とかわすのではなく、手駒に角を補充して勝負した。

手数95: 現局面は先手優勢といってよさそうだ。次に先手に手番がくれば、▲３二とからの自然な攻めが非常に厳しい。後手はどのように紛れを求めるか。

手数96: △８七歩成からの詰めろで角を打った。

手数99: ▲２一竜はあとの楽しみにして、ひとまずは詰めろを受けた。

手数100: 何か勝負順を見いだせたかどうか。

手数103: 代えて▲８六同玉から△７八角成の進行は、先手玉も危険。

手数104: 玉の早逃げで、▲２一竜に△５一歩と打てるようにした。

手数105: ▲２一竜と入った。

手数107: 落ち着いて新たなと金を作る。手番を渡しても、後手から有効な攻めはこないと見たようだ。

手数111: 後手の飛車を狙いながら、寄せの網を絞る。

手数113: いったん玉周りに手を入れた。

手数114: 攻め駒が相手玉から遠ざかるのはつらいが、代わる手も難しそうだった。

手数115: 現状は、後手玉にはまだ若干の余裕がありそうだが、先手玉に迫る手段が見えない。

手数116: 手駒を補充して、チャンスを待つ。

手数117: 後手玉は意外に懐が深く、先手も寄せに苦労している印象を受ける。

手数118: ▲７四桂は許さない。

手数119: 次に▲１二竜とできれば、後手玉は必至だ。

手数120: ２一竜に当てながら、▲１二竜△同香に▲６二金△同金▲同桂成△同玉▲５二金△同歩▲７二飛△５三玉▲５二飛成という詰み筋を防いだ角打ち。

