手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 戦型は角換わりが確定した。

手数11:

手数12:

手数22: 角換わりの定跡形だけに、指し手がハイペースで進んでいく。

手数24: この手で△７三銀〜△６四銀の早繰り銀の線は消えた。相腰掛け銀に進みそうだ。

手数32: お互い、定番の一段飛車プラス二段金に構えた。右桂を跳ねたときに、３七（後手は７三）に角を打ち込まれる心配がない。

手数34: △９四歩と歩調を合わせることなく、銀を腰掛けた。

手数35: 先手は端を突き越した。

手数40: 後手は桂を跳ね出した。

手数41: 「桂先の銀、定跡なり」で６六にかわした。

手数42: ７七銀を移動させたことで、飛車先交換が可能になった。

手数44:

手数45: ▲８七歩と受けるのは自然だが、後手にだけ１歩持たれるのが不満。本譜は後の▲６四角で歩得しつつ、後手の飛車を押さえ込む積極策だ。

手数46: 最下段まで引き揚げた。これなら▲６四角が香取りにならない。

手数48: 不安定な６四角に働きかけた。▲９七角なら△８六歩と垂らして後手がいい。

手数49:

手数50: 本譜は銀を渡したときに▲５二銀が飛車金両取りになるデメリットがすぐ浮かぶが、現時点で利点を探すのは難しい。

手数52: 歩の土台を作って６五桂を支えた。

手数53: 遊び駒を活用して本筋を思わせる。▲８九飛の転回も視野に入ってきた。

手数54: ３一玉型は８六角のラインに入っているので、後々たたる恐れがあった。目につく不安要素は消しておく。

手数57: ▲６五桂と自ら桂を取った勢いからして▲６五同銀左としたいところだが、△同銀▲同銀に△４七銀と反撃される筋が嫌みだったか。以下▲同金は△３八角がある。△６四桂は有力で、▲４七銀と引かせれば機を見て△４五歩▲同歩△同銀▲同桂△同飛と攻め駒を補充する手がある。こういった展開に持ち込めれば、５０手目で７一ではなく、４一に回った飛車の顔が立つ。

手数58: △９四歩は総攻撃を仕掛ける合図。▲９四同歩と取らせておけば、いつでも△９四香と走って歩を補充することができる。

手数59: 自然に取り返した。先手としても、歩が２枚手に入れば▲１五歩△同歩▲１三歩△同香▲１四歩△同香▲２六桂といった端攻めが狙えるようになる。

手数62: 軽い突き出し。▲７五同歩なら△９四香▲同香△７六歩の攻め筋がある。

手数63: よって▲７五同角と応じた。

手数65: ▲９七角は△９四香が厳しいので、８六に引く一手だ。

手数66: ドンドン前に進む。▲６六同歩なら６七の地点に空間ができるため、△４五歩▲同歩△同銀▲同桂△同飛と進んだあとに△６七歩▲同金△５五桂の攻め筋が生まれる。

手数67: 代えて▲６六同銀も一考の余地があった。以下△６一飛と回られたときに、次の△８五金をどう受けるか、という進行が予想された。

手数68: △４一飛（５０手目）を生かすならば、やはりここしかない。▲４五同歩△同銀▲同桂△同飛▲４六歩には、△８五飛と転回する味がいい。

手数73: △２四同歩と△２四同銀、どちらがまさるか突き詰めているのだろうか。

手数74: ▲４六桂〜▲３四桂といった筋が生じるデメリットはあるが、玉頭にキズを作らずに済む。

手数75: △４六歩と打たれる前に先着。次は▲３四桂が急所の跳ね出しになる。

手数76: 再び矢倉の形に戻して桂跳ねを防いだ。

手数77: ▲２四歩（７３手目）の局面と比べてみると、１歩を犠牲に▲４六桂を指した勘定だ。

手数78: 今度は△２四同銀に▲３四桂があるので、歩で取り返すよりない。

手数79: 継ぎ歩で攻めをつなげる。△２五同歩には▲２四歩と垂らし、玉頭に嫌みをつけておく読みだろうか。

手数82: 歩のタタキを入れた。玉金どちらで取り返しても△５五桂が厳しい攻めになる。

手数84: 次は△４七桂成▲同金に△３八銀の飛車金両取りが狙い。

手数85: 先手は▲４八歩と辛抱した。先手から一気に攻めるのは難しいので、戦力を蓄えてから反撃に出たい。

手数86: ▲７五同歩と取らせてから△８五金と出れば、▲６四角と桂を取られる筋がない。代えて△４七桂成を急ぐのは、▲同歩のあとに▲３七桂の狙いが残って忙しくなる。

手数87: この忙しそうな局面で、堂々と歩を成った。次に▲９一とと香を補充すれば、▲２七香〜▲２五香が迫力のある攻めになる。

手数92: ６八の地点が手薄になったので、この桂跳ねが幸便だ。

手数93: ▲２七香では△６八歩成で間に合いそうにないので、いきなり２三にねじ込んだ。

手数94: 逃げ場所は３箇所あったが、端にかわした。

手数95: 先手は▲２一香成と桂を取った。次は▲３一成香が見えづらい攻め方で、▲２一銀△１三玉▲２三金以下の詰めろになる。▲３一成香に△同金なら▲２三金△２一玉▲１三桂△同香▲１二銀までの詰みだ。

手数98: △６八歩成の王手を利かしてから成香を除去した。

手数99: 待望の桂打ちが入ったが、ここから先手玉に詰めろが続くようだと先手は苦しい。例えば、△４七桂成▲同歩△５八角▲３九玉△４九銀と進むと、▲４五桂と飛車を取ったときに△３八銀成▲同玉△４九角打から詰まされてしまう。

手数100:

手数105: 代えて▲４五桂は、９９手目のコメントで記したように△３八銀成から詰まされてしまう。

手数106: △４八角成▲同玉△３八金までの詰めろ。この局面で先手が投了した。投了以下、▲５八金は△同とで先手玉は受けなしとなる。

