手数1:

手数2:

手数3:

手数4:

手数9: 角換わり模様から先手が角交換を拒否した。雁木模様に進みそうだ。

手数18: 互いに盤面左側の銀の位置取りが決まった。このあとは盤面右側の銀の動き方がポイントになりそうだ。

手数22: 後手の銀も４三へ。相雁木の形になった。

手数26: 後手は右桂を活用。先手は▲３七銀と使う余地もある。

手数27: 銀の動きを決める前に端歩を突いて様子を見た。

手数30: 後手は△１四歩とは受けずに駒組みを進めた。玉を２二に囲うつもりなら△１四歩で広くなるが、中住まいや右玉にするなら△１四歩の価値は低くなる。

手数31:

手数32: 右玉を目指して玉が動き出した。

手数33: 後手の右玉を見て先手は▲３七桂と活用。右銀の使い方はまだわからない。

手数35:

手数36:

手数38: ▲４五歩の仕掛けを受けた。

手数39: これで先手の右銀の位置取りも決まった。ここからどう仕掛けるかだが。

手数40: 先に動きを見せたのは後手のほうだった。▲６五同歩なら△４五歩と角道を通して攻める狙いだろう。

手数41: ▲６五同歩は相手を勢いづかせると見たのだろう。じっと玉を寄った。

手数42:

手数43: 歩を取った。

手数47: 銀を追ってから、角の活用を図った。

手数48: 後手は歩を打って６筋の拠点を主張にした。

手数50: 飛車先の歩を切りにいった。１歩手持ちにすれば攻めの幅がぐっと広がる。

手数53: 銀を引いて角の利きを通した。

手数54: 歩を垂らして先手玉にプレッシャーをかけた。

手数55: 垂らしには垂らしで応戦。

手数56: 端攻めに出た。通常は持ち歩がないと攻めにならないが、この場合は飛車がいるので▲９五同歩△同香▲同香に△９六飛と潜り込む狙いがある。

手数57: 歩を成り捨てた。△８三同飛なら▲８四歩と押さえてから▲９五歩と手を戻せば、端攻めが緩和されている。△８三同玉には、▲８八歩と合わせる狙いだろうか。以下△同歩成▲同金△８七歩▲９七金△８八歩成▲６九玉で、と金は作られても後手の飛車を捕獲できる。

手数58:

手数59: 成り捨てて自陣に歩を合わせる。

手数62: △８七歩は▲９七金でやぶへび。△７二玉は飛車の退路を開いた手だ。

手数65: 端の歩を取り返して、先手はとくに損もなく後手の攻めをうまくしのいだか。

手数66: 端攻めを逆用されてしまった形。ここは辛抱しておく。

手数67: タダのところに歩を突き出した。△８六同飛なら再び▲８四歩と閉じ込めて▲９七金で飛車を取りにいくつもりだろう。

手数68: 後手としても８筋は譲れないようだ。強気に取った。

手数69: 次に▲９七金で飛車捕まる。その前に動けるか。

手数70: 今度はこちらから動いた。４八角の利きを止めているので▲９七金には△８四飛と脱出できる。

手数71: 飛車を追った。△８四飛と脱出させて７筋の歩を取り戻すつもりだろう。

手数73: 歩を取り返したが、８筋に垂らした歩を取られているので、トータルでは先手の１歩損だ。

手数74: 銀を引いて桂頭攻めに備えた。

手数77: これで７〜８筋の制空権は先手が奪った形だ。後手は１歩得と中央の厚みが主張だ。

手数79: 制空権をガッチリ確保する。

手数81: さらに金を加えて手厚くした。金をこちらに使うと３筋の桂頭の薄みが少し気になるが、△３五歩には▲２六飛で受かると見ているのだろう。

手数82: 金を前進。△３五歩▲２六飛に△３四金と出る手や△３一飛と応援に回る手が考えられる。

手数83: 相手が△３五歩と動いて来そうなタイミングで先んじて動いた。

手数85: ▲４五歩は４筋を攻めるというよりも、△４五同歩に▲５七角と上がって▲２四角を狙ったものだろう。

手数88: ▲３五同角なら△３四金と受ける狙いだ。

手数89: 堂々と取った。△３四金で手番を握られるとしても先手にとっては貴重な１歩だ。

手数91: 角をこちらに。要所の金への狙いを残した形だ。

手数92: 後手も角を活用して先手陣の急所を狙う。

手数95: 飛車を回って▲４五桂を狙った。

手数96: 桂頭攻めで反撃に出た。

手数98: ▲４九飛には△４八歩、▲４六飛には△３六とと捨てる手がある。先手の攻めが続くかどうかギリギリのところだ。

手数99: 上にかわした。

手数100: ▲３六同飛は△４五金でまずい。

手数101: △４八歩▲同飛△４七歩と連打で飛車を止める筋がある。

手数103: 飛車をかわした。△４五金のときに攻めがあるかどうか。

手数105: 角道を通して攻めを狙う。

手数107: 攻めの方向を急転換した。

手数111: 端に味を付けてから▲２二歩。桂が入れば▲８四桂の狙いがある。

手数112: 根元の角を狙った。

手数113: 角を見捨てて桂取りを優先した。

手数114: 取れる角を取らずに△８四歩。先手からの▲８四桂を消した。

手数115: ▲８四桂を封じられた先手は、隣の７四に桂をねじ込んだ。

手数116: ここで根元の角を外した。

手数118: このと金が迫って来ると先手はピンチだ。

手数119: もう一度▲８四桂を狙った。

手数120: 歩を外して▲８四桂を防いだ。

手数122: ここで攻め合いに出た。

手数123: 飛車を止めて▲８四桂を狙っている。

手数125: ▲８四桂を実現させたが、自陣もかなり迫られている。

手数128: 金を取ったが、まだ後手玉を寄せ切るには足りないか。

手数131: 攻め切れないと見たのだろう。受けに回った。

手数135: △３三同角なら▲３九飛と飛車を使う狙いだろう。

手数136: と金には構わず攻めかかる。

手数138: 後手の攻めが筋に入ってきている。

手数142: まだ簡単に寄せられる局面ではない。

手数145: わずかなスキをついて先手が反撃に出た。

手数150: ここで後手が再反撃。決めることができるか。

手数152: ▲６五同金は△７七角成で寄り筋だ。

手数153: 角道を止めて頑張れるか。

手数157:

手数164: どうやら寄り筋に入ったようだ。

手数166: この局面で先手が投了した。投了から▲８八玉に△６七角成が△７七馬以下の詰めろ。▲同銀と取っても△７七桂成▲同玉△６八銀▲８八玉△７七金▲９八玉△８七金打までの詰み。

