手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数12: 盤上は後手角道オープン四間飛車の対抗形に進んでいる。

手数14: するすると玉を移動。後手は囲いを美濃にするか穴熊にするかが、序盤の大きな選択になる。

手数16: △９二香と上がって、穴熊に囲う意思を示した。

手数17: ５筋の位を取る。積極的な手だ。

手数19: ▲８八玉から深く囲う順を可能にする角上がり。先手も持久戦志向だろうか。

手数22: 後手はひとまず穴熊が完成。

手数23: 先手も玉側の香を上がり、穴熊を目指す。

手数24: ５筋に飛車を寄り、先手の位を目標にしての動きを見せた。仮に△５四歩▲同歩△７七角成▲同桂△５四飛という順が実現すれば、後手としては不満なしだ。

手数25: 右銀を前線に繰り出して、△５四歩に備えた。

手数28: ５筋の歩を切って、後手の飛車は軽い形に。

手数29: ▲５五歩と打ち、５筋を収める。持ち歩は温存して▲９九玉とする手もありそうだった。

手数30: 代えて△５一飛や△７四飛もあっただろう。

手数32: ４四飛の可動域を広げる歩突き。△３四飛〜△３六歩や△２四歩▲同歩△同飛といった順を見せている。

手数33: ▲９九玉と入る手はまだあと回しにして、飛車を四段目に浮いた。▲５六飛の転回を見た意味だろうか。

手数34: 軽く△３六歩と突き出す。対して▲３六同歩は△３八歩で、と金作りが受からない。▲３六同飛として△３八歩なら▲５六飛△３九歩成▲５四歩で勝負しようとするのも、△４五飛▲２六飛△４四角▲２八飛△３三桂といった要領で、後手の攻め駒が生き生きと働いてきそうだ。

手数35: 突き出しを飛車で取る。うまくバランスを保つ順を見いだせたかどうか。

手数36: △２五飛を見せつつ、△４四角と出るためのスペースを作った飛車浮き。

手数37: 先手は後手の攻めにただ対応しているだけではまずそうなので、何とか攻め合う格好を作りたい。

手数38: 手堅く歩を打って受ける。代えて△４四角も有力そうだった。

手数39: △４四角と出られる前に、飛車を２筋に戻った。

手数42: △４四角〜△３三桂とリズムよく駒を活用し、次の△２五飛を見る。仮に飛車交換になれば、玉形の差で後手優勢は明らかだ。

手数43: 取られそうな歩を突き出す。現局面で△２五飛なら、▲同飛△同桂▲２三歩成△同銀▲２一飛で先手も戦えそうだ。

手数45: ２筋の歩を切って△２五飛に▲２七歩と打てるようにしたうえで、▲３七桂と跳ねる手を作った。

手数46: ▲２七歩のあとで攻めを続ける順を練っていたのだろう。

手数48: ６筋の歩を突いて、次の△６五歩を見た。駒をさばき合う展開になれば、後手は玉形の差で優位が見込める。

手数49: 中段で威張っている後手の飛車を追いにいく。

手数50:

手数51: 後手の飛車に五段目に居座られると△３五歩の合わせがあるので、さらに飛車を追いかける。

手数52: 代えて△６六角から▲同歩に△５五飛という順もありそうだったが、素直に応じる。現局面で▲７五銀には△７七角成▲同桂△３九角で、△２八角成の飛車取りと△７五角成▲同歩△８六飛の両方を狙って後手優勢だ。

手数53: △６五歩▲同銀に△８六飛と走られる筋を消した、辛抱の玉上がり。

手数54: 戦いの激化に備えて、穴熊を強化したようだ。

手数55: 焦らずに玉形を整えていく。

手数57: 左美濃の形を作って、先手玉もかなり安定した。

手数58: 攻めの力をためる歩突き。後手は飛車が狭くなって見た目は不安だが、先手からそれをとがめる具体的な手段も簡単ではないか。

手数59: 囲いがしっかりしたところで、後手の角の働きを押さえにいく。

手数61: ▲６七金と上がる手を作りつつ、将来の▲６五歩も視野に入れた歩突き。

手数62: ▲６七金を上がられる前に、改めて動いていく。

手数64: 手筋の継ぎ歩。▲７四同歩に△同飛で、飛車を楽にできそうだ。

手数65: 代えて▲６四銀は、△７五歩▲６五歩△６四飛▲同歩△７六銀で後手に食らいつかれてしまう。

手数68: 玉周りを補修する▲７六歩に、すかさず△７五歩と合わせていった。▲７五同歩△同飛▲６四銀には、△７七飛成▲同銀△２五桂という強襲が利くかもしれない。以下▲２五同桂は△３七角がぴったりだ。

手数69: 右金を使って対応。

手数70: 攻め駒の補充を図る。

手数75: 飛車を５筋に転回して、５五銀を支える。先手はいつの間にかかなりの好形になっている。現局面は先手がよくなっていてもおかしくなさそうだ。後手は３二銀が遊び駒になっているのが痛い。

手数76: ６二の角を使いにいく。

手数77:

手数79: この▲８五歩は、▲８六桂△７二飛▲６四銀という攻めを見たものだろうか。

手数80: 開き直って、と金を作った。

手数83: 先手の駒たちは全軍躍動の趣だ。

手数84: と金攻めを見せて、先手をせかす。

手数87: 歩の成り捨てで６二角の利きを止めてから、飛車角両取りに銀を成り込む。

手数88: この△７五歩に▲同歩なら△同飛で、飛車を世に出すことができる。

手数89: 飛車の入手は大きい。

手数90: 後手は穴熊の堅さを頼りに、何とか攻め合い勝負に持ち込みたい。

手数91: 丁寧に受ける。代えて▲６五歩で７七角の利きを通すのも有力そうだった。

手数94: 玉のコビンかつ角頭である７六の地点に歩を放り込んだ。

手数95: △６四桂を恐れず、堂々と▲７六同金。

手数96: ▲６五金には△７六銀があるので、これで後手は桂で金を取れる形。

手数97: 銀香両取りに飛車を打ち下ろす。後手は３二銀を無理に守っても仕方がないので、攻め合いに踏み込むことになりそうだ。

