手数1:

手数2:

手数3:

手数4:

手数5: 戦型は先手中飛車に。序盤からかなり気合が入っている感じだ。

手数10: 後手は角道を開けずに駒組みを進めている。相手の軽快なさばきを警戒し、持久戦を目指す作戦か。

手数18: なんと、後手は角頭の歩を突いた。珍しい形だが、よく見れば２二角をどかせば飛車が２筋に回れるようになっている。陽動振り飛車の一種と言えそうだ。

手数19: 見慣れない陽動相振り飛車の作戦に、しっかり対策を練ったのだろう。

手数24: 後手は３筋に飛車を振った。

手数25: 銀を前進。場合によっては２筋の逆襲も視野に入るか。

手数30: 一歩交換して、元の位置に飛車を引いた。

手数31: 少しずつ陣形を広げている。バランスの取り方が難しい将棋だ。

手数33: 四間飛車に振り直した。

手数34: 意外なところから突っかけた。攻めをサポートする駒がないが、▲４五同歩なら△１三角とのぞく手が生じる。

手数35: 先手も突っかけて対抗した。

手数37: 反撃の味をつけてから手を戻す。

手数38: 端に手を付けた。▲１五同歩に△１七歩▲同香△１八歩の攻めが考えられる。

手数40: この端攻めは部分的には受からないので、どこかで攻め合いを目指すことになりそうだ。

手数41: 早速手抜いて銀を前進。

手数43: しっかり押さえて攻めの拠点を作った。

手数45: 飛車の横利きを通して１八の地点を受けた。

手数46: 飛車を浮いた。△１四飛と回って、端を突破する狙いか。

手数47: 香をひきつけてから▲１七香と走れば、香交換に持ち込める。

手数51: △１六歩▲２五桂△２四歩で桂を捕獲しにいくのは、その瞬間に▲３五香があってまずい。また、黙っていても▲２五桂で、次に▲２三香を狙われると嫌みだ。なお、▲２五桂で、単に▲２三香は△１三角が飛車取りになる。

手数52: 焦点に歩を垂らした。▲６六同角なら飛車が陰になるので、△６三歩の反発が期待できる。

手数53: 歩を払った。

手数54: 相手の拠点を消しにいく。

手数55: 飛車の利きを通して迎え撃つ。

手数56: ▲６四同銀は、再度△６六歩と垂らされて始末に困る。ここは銀を引くしかなさそうだ。

手数57: 先手の６筋の拠点を消すことに成功した。ここ数手の攻防は後手がうまく立ち回ったようだ。

手数58: 相手の拠点を消したところで、改めて桂を狙った。ただ、相変わらず▲２五桂に△２四歩と打つわけにはいかないが。

手数60: 桂跳ねに構わず歩を成った。▲２三香には△２七とで攻め合うつもりのようだ。

手数61: 銀の早逃げで当たりを避けた。

手数62: 端から飛車の成り込みを狙う。

手数63: 目につく▲２三香はあえて手を出さず、後手玉に近い位置を攻めた。△４四同角なら▲４五香、△４四同銀なら▲４五歩がある。

手数64: 敵の打ちたいところに打て。▲４五同銀左と取らせておけば、△４四銀に▲４五歩がない。ただし、この歩が入るかどうかは微妙なところ。手抜きで▲４三歩成で、以下△４六歩▲同玉△４三金でどうなるか。先手玉も不安定だが、後手陣も▲２三銀のようなキズがある。

手数65: 手抜いて踏み込んだ。どちらの攻めが速いのか。

手数67: ▲４六同玉は、玉が露出して危ないと見たようだ。

手数69: 飛車角両取りの▲２三銀よりも、こちらが厳しいようだ。△４二金には▲２一銀成。以下△４四角は▲４五香がある。

手数70: 反撃含みのひねった受けを見せた。

手数71: △４四角は▲４五歩があるので角は逃げられない。

手数72: と金の活用と飛車の成り込みに勝負を懸けた。

手数74: と金で迫る。ただ、先手玉は左辺が広いので、すぐに寄せられるわけではない。

手数75: 広い左辺に早逃げする。

手数76: と金の団体が攻め寄せて来た。受けが利く情勢ではないので、どこで攻め合いにいくかだが。

手数77: △１五同飛と取らせれば、飛車の横利きがそれて攻めやすくなる。

手数78: 成銀と桂の両取りに飛車をかわした。

手数79: 成銀取りに構わず反撃に出た。

手数81: 角道を通した。△５四同歩なら▲３三角が強烈な狙いだ。

手数83: 絶好の位置に角を成り込んだ。

手数86: と金を捨てて、玉を危険地帯に引き戻す。

手数88: △４六とが入れば大きいが、もちろん先手はそれを許さないだろう。

手数89: 取られそうな桂を跳ねて、相手の香の利きを止めた。

手数91: 駒割りは先手の角金得になっている。かなり差がついた。

手数92: 待望の飛車成りだが、攻め切るには少し足りないか。

手数94: 思わず▲６五同銀と食いちぎりたくなるが、△４七竜で大変なことになる。冷静にかわすか、飛車で食いちぎって決めにいく手もあるか。

手数95: 飛車を切って決めにいった。

手数97: △５三同玉は▲４四角から詰みだ。

手数98: 逃げても望みがないと見たのだろう。覚悟を決めて取った。

手数99: 先手は歩から入った。これも詰みだ。

手数100:

手数109: この局面で後手が投了した。以下△６二玉に▲４四馬までの詰み。

