手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7: 先手は出だしから飛車先を伸ばし、相掛かりを目指す。

手数8: 後手は相掛かり模様を受けて立った。

手数9:

手数10: 飛車先交換に出た。３〜７筋の歩を突かれるのを待ったとして、△８六歩▲同歩△同飛に対し、先手は前手▲６八銀の効果で８筋を手抜きできるようになっている。

手数13: しっかりと謝っておく。いったん手を抜いたとしても、飛車を引かれると△８六歩の垂れ歩を見せられ、▲８七歩はいずれ必要になる。

手数14: 自陣まで引き揚げた。代えて△８四飛なら飛車先交換を防げるが、いずれ３〜７筋の歩を突かねば駒組みの発展が望めず、飛車先交換を防いだままではいられないだろう。

手数15: ▲２四歩と突き出す。先手も３〜７筋の歩を突かれることを待たなかった。

手数17: ５手前の△８六同飛と違い、この手は先手になる。後手は次に▲２三歩を許しては角を取られてしまう。

手数20: 相手の飛車先交換が済んだところで角道を開けた。先手は再度の▲２四歩では手損になる。

手数21: 同様に角道を開けた。大駒を眠らせたままではいけない。

手数22: 角を換えた。２二の地点を空ければ自陣を整備しやすくなる。

手数23:

手数26: 銀を６三に上がり、腰掛け銀を見せた。通常の角換わりで腰掛け銀の将棋はポピュラーだが、相掛かりから角交換になった本局は互いに角と歩を手持ちにし、技をかけやすくなる。

手数28: 本譜は先手の研究だろうか。８八金型をどうするか。▲４七銀〜▲３六歩から右玉にするか、▲７八金と戻って▲７七銀と矢倉のように組むのか。後手がどのように組むのかも注目される。

手数29: 先手は▲６六歩と突き、浮いている金を角で狙われにくくした。

手数31: ▲６七銀と立ち、四段目の歩を支える。雁木の駒組みが視野に入ってきた。

手数34: 互いに４筋に銀を立つ。形の違いは左金の位置のみとなった。

手数37: 代えて▲７八金では手損を受け入れる形になる。先後同型で手番が後手では先手としてはつまらないだろう。

手数40: 後手はここ３手、相手の指し手に追随していく。

手数41: 右玉に構えた。金は８八のまま相手の飛車による攻撃に備えておく。

手数42: 対しては玉を左に囲う。点対称に近い形だったが、この１手で４〜６筋は五段目を挟んで線対称になった。

手数43:

手数44: △３一玉と引く。手薄な２筋を玉自らカバーした。

手数45: 桂頭に手を出した。８八金型を維持したおかげで▲７九飛の応援が利く。

手数47: ７筋に続いて６筋に手を出す。△６五同歩なら▲４五歩の狙いがあり、△４五同歩には▲７四歩△同銀▲５五角が厳しい。以下、△３三角なら▲７三角成が銀取りになる。２手前の▲７五歩に代えて▲１六歩ならおとなしく、▲４五歩から歩交換する順もあったが、本譜は激しくいった。

手数48: △６五同歩と自然に応じた。

手数50: ▲５五角は△同角▲同銀に△５四銀右とぶつけるのだろうか。４筋が戦場になりそうで、後手は△３一玉と引いて当たりを弱くしている。先手は５六に出た銀を生かせるかどうかが問われている。

手数51: 桂取りに犠打を放ち、銀を引き離しにかかる。

手数53: ▲６四角の先手で角を合わせた。△５五同角▲同銀に△５四銀左がなくなっている。

手数54: 銀を戻り、角にヒモをつけた。自ら角を取るのは銀を出させていけない。

手数56:

手数57: 角を取った。

手数59: 端角を放ち、浮いている金に狙いをつけた。次に▲３四角が金取りで▲２三角成を見せる手になる。

手数60: 後手は金取りに角を打ち返した。

手数61: 先手も角による金取りをかける。△８八角成▲５二角成の取り合いは馬の位置の違いにより、先手がよい。

手数63: 手堅く歩を打って金取りを受けた。後手は先手の持ち歩を１枚削った点がポイントとなる。

手数64: 角で歩を払い、▲２三角成には△同金だけでなく、△２八歩▲同飛△２七歩▲同飛△２六歩の連打を用意した。

手数65: 銀を出て角を追う。△４五同銀なら▲同角が飛車に当たる。

手数68: 銀打ちで角に当て、先手を取りながら飛車取りを受けた。

手数71: 銀を食いちぎり、返す刀で角に当て返す。

手数74: 味のよい突き出し。△８六歩▲同歩△６七歩成▲同金△４六角▲同銀△８六飛や、△７四角〜△４六角など複数の攻め筋を見せている。

手数75:

手数76: △７四角と放った。にらむ先には飛車がおり、△４六角の先手になっている。▲５五銀も△同銀で△４六歩を見せられ、先手は楽にならない。

手数77: 金取りに歩を放つ。４三で清算になれば▲２三飛成がある。

手数78: 金をかわした。読み筋だったか。

手数79: ７四のほうの角筋を止めた。▲５五歩を見せて攻めを促す。

手数80: 当然の角切り。▲４六同銀に△５六角が飛車に当たり、△６七歩成も見せて調子いい。

手数82: 自陣に手を入れた。脅威となる銀を追う。

手数83: 銀を引き揚げ、手順に△５六角を防ぐ。

手数84: さらに銀に手を出し、５六の地点を狙う。

手数86: 銀を出て力をためた。次に△５六銀が△４七銀打を見せた腰の入った攻めになる。

手数87: ▲２四歩と合わせた。次に▲２三歩成が▲３二と△同玉▲２三角△３一玉▲３二金までの詰めろになる。△５六銀は次に△４七銀打としても▲３九玉で詰まず、詰めろにならない。

手数89: 後手玉近くに拠点を設けた。△２三同金なら▲４五角が飛車金両取りになる。△６七歩成で際どい終盤戦になりそうだ。

手数92: 地道に迫っていく。現状は詰めろではないが、▲２二歩成△同金▲４二角は△３二玉で耐えるようだ。

手数93: 桂を跳ね、自玉を広くしながら相手玉に迫る。

手数96: 王手で玉を追っていく。先手玉は広く、いきなり寄ることはなさそうだ。

手数98: 王手飛車取りに銀の犠打を放つ。▲１五同玉に△１四金があり、なりふり構わずに飛車を取りにいく。

手数100: ２四から飛車がいなくなれば、後手玉がいきなり詰む形にはなりにくい。

手数103: 逃げ場所が悩ましいところ、先手は２六を選ぶ。

手数104: 合駒請求。先手は２筋に歩が立たない。

手数106: 銀を取った。△３七銀▲３五玉△３四歩▲同玉△２三金▲同玉△２七飛成以下の詰めろになっている。

手数108: この局面で先手は投了した。後手玉に迫る手段が難しい。▲５三桂成は△３七銀▲３五玉△３四歩▲同玉△５六角▲３五玉△３四歩▲２四玉△２七飛成▲２五合△１五銀までの詰みが生じる。▲５三銀成も△３七銀▲３五玉△４五成銀から△５三金で先手の攻めが続かない。

