手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数11: 盤上は相掛かりの出だし。先手は後手が△３四歩を突いたところで飛車先交換に出た。

手数14: 後手も追随する。

手数17: 代えて▲３四飛と横歩を取るのは、△２八歩があった。

手数18: 手順に浮き飛車に構えて、３四歩にヒモをつける。

手数19: 先手は引き飛車に。

手数20: この△２三歩は、▲２四歩の垂らしを防ぐ必要な受けだ。

手数21: ４筋の歩を突き、右銀を４七に使える形にした。

手数22: 後手は７筋の歩を突く。右銀は７三に使うつもりだろうか。代えて△６四歩〜△６三銀もあるところだった。

手数23: 先手も角道を開ける。後手がぼんやりしていれば、次は▲２二角成△同銀に▲９五角が間接の王手飛車取りだ。

手数24: 右桂を活用しつつ、王手飛車取りの筋を消す。代えて（１）△７三銀や（２）△５二玉などもあった。

手数26:

手数27: 腰掛け銀に構える。

手数28: 後手は着々と玉形の整備を進めている。

手数29:

手数30: 角交換に出た。２二の地点が空くと、△２二銀〜△３三銀というように左銀を使う順が可能になる。

手数33: 先手も居玉を解消。

手数34: 玉形を縦方向に膨らませていく。次に△６三銀と上がれば、安定した形だ。

手数35: 玉形に膨らみを持たせつつ、△６五歩と位を取られる手を消している。

手数37: 玉の移動を進める。▲７七銀を保留したのは、▲７七桂と跳ねる形にする含みを残した意味だろうか。

手数38: 飛車を自陣に引き揚げ、横利きを自陣左辺にまで届かせた。

手数40: 自玉の懐を広げながら、先手の腰掛け銀にプレッシャーを掛ける。

手数41: ７七には桂を使った。こうすれば、どこかで▲６五歩と攻めていく味がある。

手数42: そろそろ互いに駒組みが完成形に近づきつつある。

手数43: ８筋の歩を突いて、銀冠への組替えを見せた。現局面で△８六同飛なら、▲８五歩△同桂▲８七銀で飛車を捕獲できる。

手数44:

手数47: １筋の突き合いが入った。

手数48: 左銀を前線に繰り出して、△３三桂の活用を可能にした。

手数51: ３筋の歩を突き、先手も▲３七桂と跳ねる形を目指した。ただし、ここで後手から△６九角と打たれる筋が見えているので、▲３六歩は決断の一手といえる。

手数52: 先手の誘いに乗る。現局面で（１）▲１八角は△５五歩があるし、（２）▲４七角も△７八角成▲同玉△５五歩で後手は２枚換えに持ち込むことができる。

手数53: ▲４七角と合わせた。△７八角成▲同玉△５五歩には▲３五歩△５六歩▲３四歩で戦えると見たか。

手数54: 果たしてどちらが読み勝っているのか。

手数56: これで５六銀は捕まった形。

手数57: 桂頭に手を求める。対して（１）△３五同歩は▲３四歩だし、（２）△３五同銀も▲５五銀△５四歩▲３六歩△２四銀▲７五歩で、５五銀はただでは取られない。

手数58: 代えて△５六歩以下、▲３四歩△２五桂▲同角△８五歩という順も後手としては有力そうだった。

手数59:

手数62: 代えて△３三同銀は、▲５六角が▲２三角成と▲５五桂△５四銀▲７四角の両狙いになって後手が嫌だったか。

手数63: じっと▲５六歩で手を渡す。代えて▲５六角は、△５五銀打▲２三角成に△６五歩が厳しかったということかもしれない。

手数64: 先手はやはり６筋が急所。（１）▲６五同歩なら△６六歩▲同金△５七金、（２）▲６五同桂も△同桂▲同歩△６六歩▲同金△５四桂という要領で、後手の攻めが続きそうだ。

手数65: △６五歩は相手にしても仕方がないということで、攻め合いを目指す。この▲３四歩に△同金は▲２三飛成だ。

手数67: 玉そばの金駒を狙っていく。

手数68:

手数69: ▲５五桂△５四銀で５四の地点が埋まったので、△６五同桂▲同歩△６六歩▲同金に△５四桂と打つ手はなくなっている。

手数74: △５四桂は打てないものの、この△５七銀もかなりの攻めだ。

手数76: 先手は角の逃げ場がなかなか難しい。（１）▲３八角は２八飛の横利きが止まるし、（２）▲５八角は△３六桂▲２七飛に△４八桂成がまた角に当たってくる。（３）▲６九角も△６八歩が嫌みだ。

手数77: 角取りを捨て置いて銀取りに歩を打ち、応手を尋ねた。

手数78: 代えて△５三銀は、後手玉が少し狭くなるのが気になったか。

手数79: ここも４七角は逃げず、薄くなった６三の地点を狙っていく。

手数80: 手堅く受けた。代えて△４七成銀もあったかもしれない。以下▲６三歩成△同金に▲７二角は、△５五銀がぴったりだった。

手数81: 露骨な打ち込みで攻め続ける。

手数82: ここで角を取る。代えて△６三同桂は、▲同歩成△同金▲同桂成△同玉に▲５五桂が厳しそうだった。

手数85: 駒損の先手は、攻めの手を止めてしまうとまずい。▲８四角は、次の▲６二角成を見た手だ。

手数86: がっちり受ける。先手は角を逃げると△６四金と歩を払われて駄目なので、何か踏み込んでいくことになるだろう。

手数87: 終盤戦に入る。

手数88: 代えて△６三同金寄で８四角の利きを通すと、▲６三同桂成△同玉▲６四歩で後手が負ける。

手数90: 現局面で▲５五桂は△同銀▲７三角成△同玉▲５五歩△同飛で、先手の攻めが止まりそうだ。

手数91: 虎の子の一歩を使う。

手数95: ▲６五金で中段を厚くしてから、▲５五桂を打つ。

手数96: 代えて（１）△７二玉や（２）△６二玉は、▲７四金が利いた。

手数98: 現局面で（１）▲５五歩は△６四歩、（２）▲５五金は△７二桂で、いずれも後手が受けきれそうだ。

手数99: 玉頭に嫌みをつける。対して△７五同歩ならそこで▲５五歩と銀を取れば、以下△６四歩には▲７四銀と打てる。

手数100: 取られそうな銀をかわした。これで自玉はしのげているという判断か。

手数105: 詰めろで金を入る。▲６二歩△７一玉を決めてから▲７三金上は、△８一角でしのがれていたか。

手数106: 飛車を二段目に利かせて、詰めろを受ける。現局面で先手が▲５二同金と飛車を取るのは、△５二同玉▲７二飛△４一玉で後手玉が助かるか。

手数107: ▲２四歩の合わせに、△２四同歩▲同飛△２三歩と素直に応じるのは、そこで▲３三歩成が利きそうだ。以下（１）△２四歩は▲５二金△同玉▲７二飛から後手玉が詰むし、（２）△３三同金は▲４四飛と銀を取る手が▲６二銀からの詰めろ、（３）△３三同銀も▲６四飛が▲６二金左からの詰めろになる。

手数108: 代わる手も難しかったか。

手数109: この▲２四同飛は、▲２一飛成△３一角▲５二金△同玉▲３二竜△４二角▲６三金打△５一玉▲６二金左（直）までの詰めろになっている。

手数111: 先手の技がきれいに決まった。

手数115: この局面で後手が投了した。以下は△５三玉▲６二飛成△５四玉▲６三竜までで詰みだ。

