手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10: 戦型は角換わり。

手数15: 先手は▲７八金を保留している。急戦の香りのする駒組みだ。

手数17: やはり急戦調。次に▲２六銀なら棒銀、▲４六銀なら早繰り銀になる。

手数18: 後手は腰掛け銀で急戦に備えようとしている。

手数21: 早繰り銀を採用。

手数23: 先手は次に▲３五歩△同歩▲同銀を決行できる。７九玉が桂にヒモをつけているのがポイントで、▲３五同銀に△８六歩▲同歩△８五歩▲同歩△同飛が銀桂両取りにならない。▲７八金を保留したことで、素早くこの形を構築できた。

手数24: ▲３五歩に△４五歩を用意した。

手数29: 互いに１歩を手持ちにした。先手は次に▲２四歩から飛車先の歩を切れる。

手数30: ▲２四歩を受けていないが、駒を前に出しつつ、角を手駒に残している。

手数36: 後手は玉を堅く囲うことが難しいが、金銀の前進守備はなかなか手厚い。先手を押さえ込むように指したい。

手数37: 先手は自玉近くに金銀を配置する。ただし、あまり固めすぎると自陣に角を打ち込まれかねない。

手数39:

手数40: 玉も厚みの構築に一役買う。

手数41: 突っかけた。持ち歩を増やすつもりか。それとも、さらに激しく動いていくのか。

手数42:

手数44: 先手は銀を引くことになりそうだが、その前に▲３五歩を決めるかどうか。

手数46: 金銀桂玉でスクラムが組まれそうだ。

手数47: ▲６六歩は後手に争点を与えるが、この歩を突かないと△２五桂▲２六銀△７五歩▲同歩△７六歩が気になっただろうか。以下▲７六同銀は△５五角が飛車香両取りになった。

手数48: 先手の３七銀が戦線復帰する前に戦いを起こす。

手数50: （１）▲７五同歩は△２五桂▲２六銀△５五角▲１八飛に△７六歩が厳しい。（２）▲６七金右は△７六歩▲同金△２五桂▲２六銀△４六角▲１八飛△５七角成で馬を作られる。

手数51: ７筋の当たりをかわしつつ、△５五角の筋を消す。しかし、△７六歩から△６四歩▲同歩△６五歩のような順で６筋の当たりは強くなっている。不安の残る形だ。

手数52: 攻防の角を放った。

