手数1:

手数2:

手数3:

手数4:

手数6:

手数10: 戦型は角換わりに。

手数20: 後手は右銀を繰り出す。早繰り銀の作戦か。

手数23: ▲６九玉〜▲５九銀とは珍しい組み方だ。▲６八銀上〜▲６六歩〜▲６七銀と銀矢倉に組む構想だろうか。

手数26: 先手の銀矢倉が完成するまえに後手が７筋から先攻。

手数27: ６七に銀がいれば手抜きも考えられたが、現状では取るしかない。

手数28: スムーズに進出。次は△７六歩で拠点を作る手や、△８六歩から銀をさばく手などがある。

手数31: 先手は継ぎ歩で反撃。△２五同歩▲同飛なら十字飛車が決まって先手よしとなる。

手数32: 後手は５四に角を設置。▲２四歩の取り込みに△２七歩を用意しつつ、８筋もにらんだ好位置だ。

手数33: じっと５筋を突いて５四角にプレッシャーをかけておく。後手は△２五歩とは取れないので、先手が焦る必要はないか。

手数34: ５四角の援護を得て棒銀を再開。

手数38: 銀をさばいて後手好調を思わせる展開。ただ、▲８八歩と打っておけば突破されずに済む。

手数39: しゃがんで受けた。△８七歩となおも押してくれば、▲７七銀△８二飛▲８七歩△同角成▲同金△同飛成▲７八銀でしのげそうだ。

手数40: 今度は△２五歩と手を戻す。すでに７五銀をさばいたので、ここでの▲同飛には△２四歩と受けて何事もない。

手数41: 先手はじっと守りを固める。先手は２歩損だが、角を手持ちにしているのは大きい。まだ形勢は互角だろうか。

手数42: 飛車を引いておく。次は△８七歩からの強行突破がありそうだ。

手数45: 後手の角を追う。△９二角と引かせれば△８七歩からの攻め筋が消える。

手数47: 角を追い払ったところで歩切れを解消。

手数48: ここは受けるよりない。

手数49: 自陣を立て直す。

手数50: 後手も自陣の駒を活用。１歩得が大きく若干後手持ちで、△４四銀〜△３三桂の活用が味よく見える。

手数54: ぽんぽんと桂を跳ねる。先手は対処が難しそうだ。▲４六歩には△３五銀▲２八飛△４六銀で、火に油を注ぐ結果になってしまう。

手数55: ▲６五歩と突き、９二角を封じ込めた。２六飛の横利きも通っており、指されてみれば絶好の一着だ。

手数56: 銀を８六に手放した。浮かびにくい銀の使い方だが、△７七銀成▲同金△８八飛成や△８七歩を狙っている。

手数57: 先手も銀を手放して対抗。先手陣もしっかりまとまった。後手ペースに見えたが、▲６五歩と止められてみると先手もやれそうに見えてきた。しかし８六銀がなかなかの手なので▲６八銀と打った。▲６八玉と上がるのでは薄いということだろうか。△８七歩と合わせてきても、２六飛の横利きがあるので、将来逆襲できそうだ。１手指したほうがよく見える将棋になってきた。

手数58:

手数60:

手数63: ７筋の位を確保。いつの間にか先手陣が手厚くなっている。

手数65: さらに中央を厚くする。このあとは▲４六歩から４五桂を取りにいけばいい。あるいは▲８七歩も魅力的だ。

手数66: ６筋をこじ開けて９二角に活を入れる。

手数67: 先手はすかさず４筋を突き出した。これで桂得がほぼ確定。先手がよくなってきているようだが、後手にもまだ手段がありそうだ。

手数68: 交換を迫る。桂は後手にとっては価値が高い駒だ。△６六桂で先手陣を薄くできる。

手数71: あくまで９二角を押さえ込む。

手数73: ようやく４五桂を取れた。しかし△５五銀▲６五角△６六桂で後手も攻めてくる。先手がリードしている感はあるが、大きな差はなさそうだ。

手数76: 両取りの桂打ち。後手期待の攻めだ。

手数77: ５八金のほうを取らせる。

手数80: ６五角を目標に攻める。

手数82: ９二角を押さえている７四桂を取りにかかる。

手数84: 桂を入手。もう１手△７五歩が回れば９二角が目を覚ます。

手数85: ▲５七金〜▲６七桂で５五銀を捕獲。このあとは▲５五桂〜▲４四歩が厳しい攻めになる。

手数86: 後手も自陣桂で対抗。

手数87: いったん早逃げ。

手数88: 後手も自陣を整備。一転して渋い応酬になった。

手数89: ▲８五桂と打ち、８四飛を押さえ込む。しかし苦しい態勢になってきた。

手数92: 銀をさばきつつ９二角に活を入れる。７六銀が消えたことで、８五桂も浮いた。

手数95: 先手は直接手で攻め込む。

手数96: 金を投入してガード。

手数99: 金銀交換から▲７三桂成と迫る。しかし△８八飛成も生じてしまった。

手数100: 飛車を狙いつつ５七金をにらむ。

手数103: ▲５五桂と取って攻め合いに。

手数104: 飛車を入手。△３六桂からの寄せを狙っている。激しい攻め合いになったが、後手の攻めが先行している。

手数105: しかし受ける手段も難しい。金を取って勝負を懸けた。

