手数1:

手数2:

手数3:

手数4:

手数6:

手数7:

手数8:

手数19: 後手の三間飛車に先手は５筋の位を取って対抗する。

手数25: 位を確保。

手数28: △５一角〜△３五歩と突き、後手が動きを見せた。

手数31: 角を上がって成り込みを防ぐ。代えて▲３七歩は△３六歩と合わせられて対応が悩ましかった。

手数32: 左桂を活用。次の△２五飛を見せた。

手数33: ２筋を突く。ただし、△２四同歩▲同飛△３八飛成▲２一飛成△２七歩の攻め合いは後手がよさそう。先手はどこかで工夫する必要がある。

手数35: ２筋の突き捨てから角を引いて飛車に当てた。

手数36: △３四飛は▲３五歩でいけない。飛車を浮いて銀に当てた。

手数38: 飛車走りを防ぐ歩突き。先手の突き捨てをうまく逆用した。

手数41: 先手はなんとか後手の飛車を押し返す。しかし突き捨てが響いて１歩損が残ってしまった。どうにか取り返したい。

手数42: 今度は中央から動いた。

手数46: 持ち歩を増やして撤収。

手数47: 先手は自陣の整備を続ける。

手数48: ２筋に移動。好機の△２六歩を狙う。

手数49: ここも堂々と。

手数50: 権利になっていた歩突きを決行。

手数51: ２七を厚くするにはこれしかない。

手数52: 軽妙な歩打ちで攻めを継続。

手数53: 先手は丁寧に応じる。これで何も起きなければ、▲２六金から押さえ込みに入れそうだ。

手数58: 軽妙な手順があった。▲３六同金には△２八飛成なので、先手は３七桂を助けるのが難しい。

手数59: 桂は諦めて▲２五歩と打つ。

手数60: 桂を取りつつと金を作る。後手好調だ。

手数62: 飛車の取り合いに進んだ。こうなると後手優勢がはっきりしてきたか。先手陣はとにかく浮き駒が多く、まとめられそうにない。

手数63: 開き直ってと金を作る。

手数64: と金を寄せた。次は△２九飛が厳しい。

手数65: 陣形を引き締めて△２九飛を緩和。

手数66: 飛車を打ち込んで金取り。

手数67: 歩を打って２六金を助けた。

手数68: 竜を作って５七角、５六銀をにらむ。▲６八金の受けには△４八とが間に合う。

手数69: 銀を引いて竜に当てた。

手数71: 反撃の飛車打ち。△４八とには▲３三とでどうか。

手数72: 互いにと金を使っての攻め合い。

手数73: 桂を取りながらの銀取り。

手数74: この局面で先手が投了した。寄せ合いに入ったところだが、先手が足りない形勢だったか。以下の一例は▲４三と△同金▲６六角△６八と▲同金△７九銀。後手陣が安全で、先手陣は寄り形となる。

