手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8: 後手は横歩取りに誘導している。

手数9:

手数17: 先手は青野流の構え。３四飛型で▲３六歩から▲３七桂を桂を活用していく。

手数18: △４二銀は青野流対策のひとつだ。

手数20:

手数21:

手数23: 先手は手に乗って▲８一飛成とする。青野流は５八玉型なので△９五角が王手飛車取りにならない。

手数24: 歩の損得はないが、持ち歩の数では先手が１枚リードした。

手数25: △５五角を打たれる前に飛車にアタックする。

手数26: ３六歩は取らずに飛車交換を挑む。先手は飛車を逃げるなら▲８五飛。それ以外では角で狙われやすい。たとえば▲８八飛は△５五角▲２八歩△７七角成で悪い。

手数29: 攻防の角で▲８三歩を狙う。△７二金には▲８三歩のほかに▲７三歩もある。

手数30: 桂取りに飛車を打ち込む。▲２八歩や▲２八銀には、飛車を成り返って受けるようだ。たとえば▲２八歩△２四飛成▲８三歩△６四歩。

手数31: ▲３八銀と形よく受けた。ただし、飛車を成り返られたあとに△２八歩のキズは残る。

手数32: 五段目に成る。竜の縦横に利かすならここだ。

手数33: 先手は狙い筋を決行する。（１）△８五竜▲８七飛△同竜▲同金△８四飛▲８二歩成△同銀▲７八銀は、後手の生飛車が盤上に残る。（２）△７二金は▲８二歩成△同銀▲８三歩△７三銀▲同角成△同桂▲８一飛で崩壊しそうだ。

手数35: ８七ではなく８八から飛車を合わせた。いずれにしても後手は飛車交換を避けられない。

手数38: 飛車を温存した。▲８二歩成△同銀▲８三歩には、そこで△８五飛だろうか。

手数39: ▲７八金は指されてみれば冷静な手。後手は８三歩を形よく除去することができない。

手数40: 角を止めれば８筋の立て直しも見えてくる。▲６四同角と歩を取ってくれば△６六歩で反撃するのだろうか。先手はコビンをこじ開けられると、嫌みな角のラインがいくつかチラつく。

手数41: ８筋に続いて２筋も歩を受けさせようとしている。

手数42: 自陣角で対応した。▲６四角に△６六歩の威力も上がっている。

手数43: 銀を上がり、▲６四角のあとの△６六歩に備えている。後手は自陣もなかなかまとまらない。角も使わされ、じわじわと差をつけられているように映る。

手数44: ５三の地点を玉で支えた。暴発せずに先手の動きを待つ。

手数45: 先手が１歩得になった。

手数46: じっと歩を垂らしておく。２八には角が利いているため、次に歩を成れるわけではないが、先手にとっては目ざわりな歩である。

手数47: 先手も大きな動きは見せない。角を安定させた。後手は動かす駒が難しいか。前手△２七歩に代えて△８五飛はなかったのだろうか。

手数48: △４四銀ならバランスが大きく崩れることはない。

手数49: 形が乱れるが大丈夫と判断したようだ。

手数50: △４五銀は▲５五角で切り返された。次は△５五歩が狙いで、そのあとは△３三桂から△４五桂のような感じでやっていくのかもしれない。

手数51: 具体的なよさを求めて先手が動く。△７三同金は▲同角成でもちそうにない。取るなら△７三同桂だ。

手数52: 辛抱した。▲８二歩成△同銀▲８三歩が予想される。巧みな攻めだ。▲８三歩に（１）△同銀は▲８二飛、（２）△７一銀は▲７二歩成で攻めが決まる。（３）△７三銀は▲８二歩成でと金ができる。以下△同銀は▲同角成なので、と金は放置して△５五銀でどうか。

手数53:

手数57: 細かい工夫。△６一飛▲同飛成△同金を入れたほうが攻めやすいか。

手数58: 飛車を相手にしない勝負手。△５五歩でゆっくり指せる状況でもなかった。

手数61: 寄せに入った。後手はしのいで△５六歩を間に合わせたい。

手数65: △２三同角▲同歩成△同玉▲２一飛成は寄り形。

手数68: １二金を取る余裕はなかった。

手数69: 自玉は寄らないと判断して踏み込む。▲３一飛成や▲５四桂が生じて、もう寄せの手には困らない。

手数74: △２八飛は▲３八銀、△５七角は▲５九玉で寄らなかった。△６一歩は受けに回り、駒を蓄えようとしている。

手数79: 桂は渡しても手番は握り続ける。▲７二飛成△５三玉▲４二角以下の詰めろ。

手数80: 先手玉は詰まないが、△５七角を決めておけば▲７二飛成△５三玉▲４二角△４四玉▲３五金に△同角成と応じられる。

手数81: △５七角で詰めろを解除したとはいえ、先手玉に迫れないのではつらい。△８二銀と手を戻しても▲８一飛成で一手一手の寄りだった。

