手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数8:

手数10: 後手の△７七角成で、本局の戦型は角換わりに決まった。

手数13: ▲４八銀のところ、代えて▲２四歩△同歩▲同飛の交換は△３五角で馬を作られる。

手数16: △６二銀で先後同型。

手数17: ▲３六歩は、次に▲３七桂や▲３七銀の活用を見せている。

手数20: 反対側の端歩で返す。やはり先後同型だ。ここで先手は▲１五歩と▲９六歩、それとも別の手を選ぶか。

手数23: 先手は▲４六歩のあと、▲４七銀〜▲５六銀の腰掛け銀や、▲３七桂〜▲４五桂と軽やかに跳ねていく仕掛けがある。

手数24: 後手が先に居玉を避けた。

手数26: △７三銀は、次に△６四銀や△８四銀と出ていく作戦。

手数28: ６筋に銀を繰り出し、次に△７五歩の仕掛けを狙う。

手数29: ▲３八金は、次に▲４七銀と上がった際に３七の桂にひもを付けている。

手数31:

手数33: 先手は腰掛け銀で対抗。▲６六歩〜▲６五歩で銀を押し返す狙いや、▲４五歩から先攻する狙いがある。

手数34: 後手が先に△７五歩と仕掛けた。以下▲同歩△同銀と前進し、△８六歩まで進めば早繰り銀の狙いとしては成功だ。

手数36:

手数37: ▲４五歩に△同歩なら▲同桂△４四銀▲４六角で、飛車取りと▲２四歩△同歩▲同角、ふたつの狙い筋ができる。

手数38: △７六歩は先手玉に近い大きな拠点。

手数39: 引いて辛抱。代えて▲６六銀は△８六歩がある。

手数42: 飛車で取れば、▲８七歩と打たれた局面で引き場所を選べる。

手数44: 四段目だった。▲４四歩の取り込みに備えている。

手数45:

手数47: ▲２四歩△同歩▲２五歩が「継ぎ歩」と呼ばれる攻め。以下△同歩に▲同桂と活用できれば調子よい。

手数48: 桂頭攻めで反発。▲３五同歩は△３六歩で桂が取れる。

手数50: ▲２三歩成の突破は許せないので、ここは歩を打って受けるしかない。２筋を詰めた形は、先手とってプラスになりそうだ。

手数51: 先手は▲４六角を据えた。次に香取りと▲３五角の両狙い。

手数52: 合わせの角で対抗。間接的に２八の飛車をにらんでいる。

手数54: ▲４五同桂は△２八角成があるため、取るなら▲４五同銀か。あるいは、いったん▲２九飛と避けておき、そのあと▲４五桂を狙う順も考えられる。

手数55: 下段飛車に構え、角のラインを避けた。次は▲４五桂ということだろう。

手数56: 後手は△４四銀と前に出る。飛車の横利きを生かした受けの一手だ。

手数58: 桂を跳ね、４五の地点に数を足す。

手数59: ▲７七歩は△同歩成▲同銀で壁形を解消する狙い。以下△７六歩なら▲６六銀と、さらに前に出て銀交換を挑もうとしている。

手数60: 玉頭に金を上がり、不安定な銀を支える。

手数63: ▲８六歩は「銀挟み」の手筋で、（１）△同飛と取ると▲７七歩△８五銀▲８七歩で飛車の逃げ場がない。（２）△８七歩と打っても▲９七銀とかわされるので、後手は銀を助けるには先に（３）△７七歩と打つしかないか。

手数64: △５四歩は、次に△５五歩で銀を押し返す狙い。▲７七歩にも△５五歩と突けば、銀がタダで取られることはない。

手数65: 銀をぶつけて交換を迫る。

手数66: 用意の反発。（１）▲４七銀は△６五銀と逃げられるため、（２）▲７六銀△５六歩の取り合いまでは必然か。

手数70: 桂頭を攻めながら相手の角道を止める。△４六角の王手は、まだ急いで決めなくてよさそうだ。

手数71: 玉の早逃げで△４六角の王手を避ける。△３六歩で桂は助からないが、後手は、そのタイミングで猛攻をかけようとしている。

手数72: 勝負どころの局面。△３六歩で桂は助からないので、手番の先手は動いていかなくてはならない。

手数73: 相手の桂頭に一撃。△３七歩成は▲３三歩成が王手になる。

手数75: 歩頭に銀を打ち込んでいく。先に▲３四歩△同金を入れた効果で、△３一金には▲３四銀成で金が取れる。

手数77: ▲２三同歩成に△同金なら▲４四角△同金に▲２三飛成がある。

手数78: 飛車の位置を変える手筋。▲３二とが王手だが、後手から見れば、あっさり金を取ってもらったほうが局面を考えやすい面がある。

手数80: 角取りに歩を打ち、相手の攻めを催促する。先手は（１）▲３二と△同玉▲４四角の順で勝負か。あるいは（２）▲３三とと桂のほうを取り、△同金上に▲２五桂と跳ねていく順もありそうだ。

手数81: 先手は桂のほうを取った。玉、金、銀のどれで取っても▲２五桂と跳ねていくのだろう。

手数83: ▲２五桂に△同金は▲４四角△同玉▲２五飛でさばける。

手数84: 上に逃げた形が捕まりにくいか。

手数85: 桂を成り捨てて飛車先を通しにいく。

手数87: 決断の角切り。あとは先手の三段玉がどれだけ持つか。

手数90: 玉頭から迫るのが、いちばん速そうだ。▲７五同玉に△７六歩で、先手玉を引っ張り上げれば捕まえやすくなる。

手数92: そしてストレートに銀を打ち込んでいく。

手数95: 下段に落ちて、もうひと頑張り。このあと先手に反撃に手番は回るか。

手数96: △６九銀は、次に△７八銀成▲同玉△７七銀以下の詰めろ。

手数98: △７四飛が、寄せに役立つぴったりの逃げ場。

手数100: △４六角の局面で先手が投了した。先手玉は△７八銀成▲同玉△６九角以下の詰めろで、受けても一手一手である。

