手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数10: △５五歩と伸ばし、△５六歩の仕掛けを権利にした。

手数12: 角筋を止めたところで△３三角と上がる。角交換のない形で▲２四歩からの飛車先交換を防いだ。

手数14:

手数15: 玉で５筋を支え、右銀を上がっていく。先手番らしく攻勢を目指す。

手数17: さらに４六まで上がり、好機に▲３五歩と角頭に手を出せるようにした。

手数19: 玉を寄る。５七の地点は４六まで繰り出した銀が守り、玉を利かせておく必要はなくなった。

手数20: 軽快に突っかける。二段目の玉や銀が歩を支えており、角交換は怖くないという手だ。

手数23: 角を換える。８八にいたまま△７六飛を許すのは、先手としてつまらない。

手数24: △３三同桂との比較だったか、銀で応じた。

手数25: ３筋に手を出す。△３五同歩と取らせることで、▲４五角が飛車取りと▲２三角成の両狙いになる。

手数27: さらに▲２四歩と突き出す。角は打たず、味をつけていく。

手数29: 飛車金両取りに角を打ち込む。△５一飛で受かるが、馬を後手陣でなく４五に作る狙いのようだ。

手数31: 高い位置で飛車筋を止める。４五だけでなく５六にも馬を作れるようにした。後手は手を止める。

手数32: △４二金と立ち、質駒を解消しながら上部を厚くした。

手数33: ５六に馬を作り、８筋ににらみを利かす。

手数34: 取られそうだった歩を逃げておく。銀が４六から動いた際の△３七歩成▲同桂△３六歩の筋を作り、牽制している。

手数35: ▲６八金と立つ。脇腹を引き締めながら上部を厚くした。

手数38: 片美濃に組んだ。馬がにらむ８三の地点を玉と銀、２枚の駒で守れば安心感がある。

手数39: 銀を上部に使っていく。

手数40: △４四歩と突いた。「歩越し銀には歩で対抗」。

手数41: 飛車を浮いて歩切れ解消を見せる。次の▲３六飛に△２七角は▲３九飛で角が狭い。

手数42: 自陣に空間を作り、▲３六飛△２七角▲３九飛に△６三角成を用意した。

手数43:

手数44: 駒を中央に使っていく。

手数45: 先手も駒を中央に使う。

手数46: 歩を合わせ、金の進出を図った。▲５四同歩△同金と進めば△６五金を狙える。

手数47: △２七角が金に当たらないようにしてから目障りな歩を払った。５四に歩があるうちは、６三に成り返ることもできない。

手数50: 角を打ち込み、後手も馬を作りにいく。

手数52: ５四に成り返り、▲５五銀を防いだ。

手数53: 最後の１歩で桂を取りにいく。▲２一歩成が実現すれば▲３三馬も狙える。

手数54: 歩を打って銀を支えた。▲２一歩成なら△同飛で馬の逃げ場がない。

手数55: 初志貫徹で桂を取った。△２一同飛から馬を取らせる間に手を作るのか。

手数57: 銀で歩を食いちぎり、馬にぶつけた。△５五同馬なら▲３二馬が飛車銀両取りになる。

手数60: 馬を取り合い、▲桂△銀で駒割りは後手の得。手番は先手が握り、バランスは取れているか。

手数61: 金取りに角を打ち込み、同時に▲３二角成を見せた。先手は自信を持って進めているだろう。でも、▲桂△銀交換ですし、後手も頑張るだろう。

手数63: 馬を作った。対しては△２二銀や△３四銀で飛車を支える。

手数64: 銀を立って飛車にヒモをつけた。▲３五歩なら△同銀が先手の飛車に当たる。

手数66:

手数67: 美濃の急所となる端に手をつけた。桂や複数の歩と端攻めに有用な持ち駒がそろっている。

手数70: 金取りに連打を利かし、飛車の横利きを止めた。

手数72: 金がぶつかったところで飛車取りに角を打ち込んだ。飛車を縦に逃げるのは△５六金で金がタダになる。

手数73:

手数74: 角を切った。端攻めが加速する前に迫るが、後手の攻めがつながるのか懸念される。▲６八同銀△５八金▲６五金で先手玉は上部に広い。先手は▲６八同玉も考えられそうだ。

手数76: ぶつかっていた金は清算せずに先手玉に向かう。次に△５八金が△６九角▲７九玉△７八銀▲８八玉△８七金までの詰めろになる。

手数77: 裏から角を打ち、金を狙う。△３二角なら露骨に▲４三桂と投資して金取りを残すのか。

手数78: 金取りは放置し、△５八銀と打って絡む。▲７六角には△６九角〜△７八金とへばりついてどうか。

手数79: 注文どおりに金を取った。どちらが読み勝っているのか。

手数82: ベタベタと駒を打ち、露骨に銀を取りにいく。

手数83: ６六にかわす。入玉が視野に入りそうだ。

手数86: 銀を再活用し、角と金に当てる。（１）▲６七同角△同金▲同玉と進めば△４九角が王手飛車取り。先手はそのように駒を蓄えて反撃に出る順もあるが、シンプルに（２）▲９三歩成が有力だ。△９三同香▲同香成△同玉▲９九香△８二玉▲９二飛△７一玉▲４三角成と進めば▲６三桂以下の詰めろになる。

手数87: 王手に歩を成った。端から決めにいく。

手数90: 桂で応じ、▲９四桂は甘受した。

手数92: 先手は手を止める。▲４三角成は▲５三馬△６二金▲５一飛△６一銀▲８二金までの詰めろだが、△５六銀成以下の順を見切らなければならない。かといって▲６七角△同金に▲５五玉と上に逃げようとするのも、△８七角成と嫌みをつけられる。上記△８七角成には▲５三金という手があり、５四の地点に利かしながら▲８二銀までの詰めろとなる。

手数93: 飛車の王手を決め、対応を尋ねた。

手数94:

手数95: 角を成り、▲５三金△５一玉▲５二馬までの詰めろ。

手数96: ▲５六同玉△４五銀には▲５五玉で先手玉は詰まない。以下、△５四歩▲４四玉△３四金は▲同馬△同銀上に▲５三金△５一玉▲５二金打まで、後手玉が詰む。

手数97: △４五銀や△４五金など、先手から見れば怖い王手はあるが、いずれも詰まないようだ。例えば△４五金▲６六玉△６五香▲７七玉△７八角成は▲８六玉で詰まない。△７八角成も、▲５七玉△５八金打▲４六玉△４五馬▲３七玉で逃れるが、うっかり▲６六玉だと△６七馬▲５五玉△４五金▲６四玉△６三銀▲６五玉△６四香までトン死する。

手数98: 金を４五に打った。▲５七玉なら△５八角成▲６六玉△６七馬までの詰み。６六に逃げるしかない。

手数100: 王手に歩を突き出す。▲６五同馬なら後手玉への詰めろが外れるのか。

手数101: 馬で応じる。代えて（１）▲６五同玉は△４七角成や△８七角成があって嫌らしかった。また、（２）▲７七玉だと△７八角成で、（Ａ）▲７六玉は△８五銀▲６五玉△６四歩▲同玉（▲６六玉は△６七馬まで）△６三銀▲６五玉△６四香まで、（Ｂ）▲８六玉は△８五香▲９五玉△８四銀▲９六玉△８七馬まで、先手玉はトン死する。最後まで油断ならない。

手数102: 角を成り、△６七馬までの詰めろをかけてゲタを預ける。

手数103: 飛車を切った。△６一同銀は▲６三歩以下の詰み。

手数106: 強く利く飛車を打って受ける。

手数107: △６二同玉は▲６三歩△同銀▲５三銀△同飛▲６一金△７二玉▲８二金までの詰み。

手数108: 際どくかわす。

手数111: 香を打って上部を押さえる。△４二玉は▲４三金△同玉▲５三飛で捕まっていそうだ。

手数114: ▲５一飛に△５二歩は▲５四銀で上下挟撃が決まる。

手数116: ４二にかわした。飛車に当てて頑張る。

手数118: ▲３一飛成に金合いや飛車合いがないため次の▲４二竜が利く。

手数119: この手を見て後手が投了した。△３二銀は▲３四銀△同玉▲３二竜△３三銀▲２三銀△２五玉▲２六金まで、△３二銀打は▲４二竜△３四玉▲４三銀△同銀▲同竜△３五玉▲２六金まで、どのように応じても詰んでいる。

