手数1:

手数2:

手数3:

手数4:

手数6: 玉を寄った。戦型を巡る駆け引きがあるようだ。

手数9: ここで飛車先の歩交換に出た。

手数11: 先手は横歩取りを狙える形だ。

手数12: 歩を打った。横歩取り△２三歩戦法と呼ばれる形と部分的には同じだ。▲３四飛には角交換から△２五角と打つ狙いがある。

手数13: 横歩を取った。

手数14: 角交換に出た。

手数16: これが狙いの筋。本譜の形ではどうだろうか。

手数17: 先手は飛車を引いた。

手数19: 飛車角交換に。陣形が低い序盤では飛車よりも角の方が使いやすいので、先手にとっても悪い取り引きではない。

手数20: 竜を作りにいく。

手数21: 桂取りと△４七飛成を同時に受けている。△２八飛成には▲５五角があるので大丈夫だ。

手数22: ２五に成って３六の歩取りだ。

手数23: 歩は取らせない。辛い指し方だ。

手数27: 互いに陣形を整備。ゆっくりした流れになっている。

手数28:

手数29: 玉を囲いにいく。

手数31: なんとも渋い端歩突きだ。

手数32: ここまでずっと突かずにきた飛車先の歩を突いた。

手数33: 狙いの難しい手だ。角にヒモをつける必要があったのか、あるいは将来的にここを埋めておく必要があるのか。

手数34: 銀をこちらに。２筋方面に援軍を送るのではなく、７〜８筋を攻める狙いか。

手数35: なるほど、銀を前に出すために▲２八歩で角にヒモをつけておいたということだ。

手数36: 後手は攻撃の準備が整ってきた。

手数37: さらに銀を繰り出した。

手数38: 後手が動きを見せた。

手数39:

手数40: １歩損で歩切れの後手にとっては大きな１歩の入手だ。

手数43: 後手の竜がかなり狭くなっている。

手数44: じわりと陣地を広げた。

手数45: △６五銀の進出を防いだ意味か。

手数46: 行動範囲を狭められた竜を立て直す。

手数47: 先手は矢倉城を組みにいった。

手数49: 玉を入城。

手数51: 先手の駒がだいぶ前に進んできた。

手数52: 一度切った歩を再度合わせた。▲７五同歩△同銀▲７六歩なら△８四銀と繰り替える狙いか。

手数53: △７五歩は相手にせず、じっと歩を突いた。▲３八角と引けば、いいラインに角が利いてくる。

手数54: 角を活用される前に攻める。

手数56: △８六歩の筋もあったが、ここは確実に歩で押さえた。

手数58: 歩越し銀を立て直す。また、１四竜の利きも８筋まで通って広々している。

手数59: 中央から反発した。

手数60: じっと自陣の歩を伸ばす。格調高い一手。

手数61: これで先手が２歩得に。

手数62: 先手陣の急所をついた攻め。ただ、歩切れなので叩きなどの技は使えない。

手数64: ギューンとうなりを立てて竜が転回した。

手数65: 金を６六に配置できれば囲いが堅くなる。

手数66: 斜めに利く竜の強みを生かして端から攻めた。

手数69: 香交換は避けた。

手数70: 後手の駒に勢いが出てきた。端攻めで歩切れも解消している。

手数71:

手数74: 継ぎ歩で攻める。桂が攻めに参加すれば強力だ。

手数75: △８六歩と取り込まれると玉頭が受からなくなる。ここは怖くても取るしかない。

手数77: 堂々と攻めを催促した。

手数81: 一時的に後手が香損している。しかし、持ち歩が２枚あるので、まだ攻めが続きそうだ。

手数82: ▲９六同香に△８六竜が王手香取りになる。ただ、△８六竜に▲８七香と打つ手がある。そこで後手にうまい手段があるのかどうか。

手数83: △８六竜に▲８七香では何か危ない変化があったのだろう。先手は先に香を打った。

手数84: この△９七歩成に▲同玉と取ると、△９二飛と王手で飛車をかわす手がある。そのあと竜にも逃げられてしまうことになる。飛車を取るには玉をかわすしかないが、と金を残すと後手の攻めもそう簡単には切れないだろう。まだまだ難しい局面が続きそうだ。

手数85: 玉を引いた。これで飛車は１枚手に入る。

手数88: 厳しい桂打ち。△８八とが入ると先手陣は持たない格好だ。

手数89: 食いちぎって急場をしのぐ。

手数91: ここで反撃に出た。激しい攻め合いだ。

手数92: と金を捨てて厳しく迫る。

手数94: 部分的には受けがない。ただ、攻防手があれば別だ。

手数96: △５三同金は▲６一飛が王手銀取りになる。△５三同銀はやむを得ないが、これで▲７一飛の王手が攻防手になりそうだ。

手数97: 見事な攻防手。△５一歩に▲７七金△同歩成▲同飛成で先手玉のピンチはしのげそうだ。

手数98: 歩を打った。

手数99: 先手は金を取る。

手数100:

手数102: 竜の横利きを生かして攻めの拠点を設置した。

手数103: しのいだといっても、まだまだ一手のミスが命取りになる局面だ。先手は銀を上がった。

手数104: 強引に絡みつく。ただ、持ち駒を減らしながらの攻めなので、攻めが続くかどうか。

手数105: 先手は受けきれそうな状況だが、何があるかわからない。

手数108: ▲７六同竜には△７五香がある。まだまだ気は抜けない。

手数110: 歩を補充。しかし、先手玉に対する響きは薄い。

手数111: いきなりの王手で反撃に出た。まだ安泰に見えた後手玉だが、△３三同桂は▲２一銀、△３三同金は▲２二金と絡まれていきなり危なくなる。狙い済ました先手の一撃だ。

手数112: 危なくても取るよりない。

手数115: この桂が絶好だ。

手数116: 竜を引きつけて必死の防戦。

手数117: 王手で角を設置。▲８三金から竜を押さえ込む狙いもある。

手数119: ここは辛く勝ちにいく。竜さえ押さえ込めば先手玉は安泰だ。この局面で後手が投了した。先手玉に迫る手段がなくなり、自玉は一手一手の寄りで望みがない。

