手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9: 初手▲２六歩から入った。

手数10: ２手前の△８四歩で居飛車を示し、雁木模様に進める。

手数11:

手数12:

手数13: 角を上がり、飛車先交換は許さない。

手数14:

手数16: △４三銀と立ち、雁木の構えを作った。

手数17: 左美濃の形を作る。次に▲７九玉で堅く縦に深い玉形になり、強く戦いやすい。

手数19: ▲３八飛と寄った。角頭に戦力を集め、▲４六銀〜▲３五歩の開戦を見せる。▲３五歩△同歩▲４六銀のような順も考えられ、後手は早くも気を使う展開か。

手数20: △５四歩と突いた。展開によっては角を４二に引いたあと、使いやすくする。

手数21: さっそく手を出していく。この進行で主導権を握れるのならば、新たな定跡になりそうだが、成否は果たして。

手数22: 目標にされた角をかわし、８六の地点に利きを足した。

手数23: ２筋に手をつけた。△２四同角なら前手△４二角の１手が無駄になる。

手数24: △２四同歩と応じた。放置して▲２三歩成から形を乱されるわけにはいかない。

手数25: △３四同銀は▲４四角で銀香両取りがかかる。この歩は取れない。

手数26: △６四角と飛び出し、先手の攻撃陣を牽制した。

手数27: 戦いが一段落しているうちに▲７九玉と潜っておく。

手数28: ６筋に玉を寄った。「居玉は避けよ」の格言に従い、先手の攻めてくる３筋から遠ざかる。

手数29: 銀を繰り出す。△４五歩▲同銀△１九角成▲１一角成△２九馬▲２一馬の進行は、玉が金銀に堅く守られた先手よしか。

手数30: △２三金と上がり、自陣近くまで伸びた歩を刈りにいく。

手数31: 自陣を整備した。（１）△３四銀なら▲４四角、（２）△３四金には▲２二歩△３三桂▲２一歩成がそれぞれあり、拠点の歩は直ちに守る必要はない。（１）△３四銀、（２）△３四金は上記のとおり、先手が指せそう。また、（３）△４五歩には▲１一角成△４六歩▲２一馬△４七歩成▲同金△１九角成▲３三歩成で、玉の堅い先手が指せそう。

手数32: ７筋の歩を突く。直接働きかける手はうまくいかなかった。本譜は△７四歩と突き、角頭にプレッシャーをかける。次はいきなり△７五歩▲同歩△７六歩で角の対応を尋ねる順がありそうだ。６六以外の場所に逃げれば△７五角で歩を取り返せ、▲６六角なら△８六歩から飛車先の歩を切る。

手数33: ▲６六歩と突いた。次に▲６七金で角頭を守れる。後手としては▲６五歩も気になるだろう。

手数34: △７三桂と跳ねた。▲６五歩を防ぎ、歩越しの角の安定を図る。

手数35: 高美濃に構えた。自身の角頭を守り、いずれ▲６五歩と突き出す展開も視野に入る。△６五同桂なら▲５九角で▲６六歩を狙う。

手数36: 目障りな歩を払った。▲２二歩△３三桂▲２一歩成なら手に乗って△４五歩から逆襲するようだ。先手は▲６五歩で（１）△同桂と引っ張り込む順が成立するかどうか。（２）角を逃げれば▲３五銀とぶつけられる。

手数37: 金のいなくなった隙に歩を垂らす。△３一角なら▲３五銀とぶつけて先手好調だ。

手数38: ▲２二歩成は受けずに手を出していく。８六の地点は後手の勢力がまさっている。

手数40: 角をぶつけた。代えて△８五歩の継ぎ歩はその瞬間が甘い。自ら角を取るか、相手に△７七角成と取らせるかの選択がありそうだ。

手数41: 自ら角を取った。△８六同飛に▲８七歩で飛車を追い払い、手番が回ってくる。

手数44: 飛車を五段目にかわし、△２五飛の転回を見せた。▲３五銀も防いで一石二鳥になっている。

手数45: 端角で金を狙いつつ、△２五飛に▲同角を用意した。△２五角には▲７七桂から駒の取り合いを挑む。以下、（１）△１六角▲８五桂△３八角成▲７三桂成は▲桂△角で先手の駒損だが、先手玉が堅陣に収まっているのに対し、後手玉近くに成桂が残るのが大きい。（２）△９五飛には▲６五桂と横利きを止めてどうか。

手数46: 角を合わせた。

手数48: 端にかわす。（１）▲９六歩なら△１六角▲９五歩△３八角成で後手の調子がよい。（２）▲６五桂に（Ａ）△同桂は歩以外に当たらず、▲２五角が間に合う。（Ｂ）△４七角成▲７三桂成△４六馬▲３四飛△同銀▲同角△７三馬の進行はどちらがよいのか。

手数49: ズバッと飛車を切った。先手玉は飛車を渡しやすい堅陣に収まっている。△３四同角は▲同角△同銀に▲８四角の飛車桂両取りが厳しい。△３四同銀とすれば▲２五角に△同飛の転回が残る。△３四同銀には飛車取りに▲９六歩の筋がある。以下、△９四飛には▲２五角に△同飛がない。△９六同飛▲同香△９九飛は▲８九金の受けが手厚そうだ。

手数50: 銀で飛車を取った。△３四同角▲同角△同銀▲８四角の変化を回避する。

手数52: 飛車取りは放置し、角を取った。▲１六同歩なら△２五飛と飛車が生還する。

手数54: 馬を作り、先手の囲いの金をにらむ。▲３一飛は王手銀取りだが、銀を取る▲３四飛成は後手玉から遠い。

手数55: 王手銀桂取りに飛車を下ろした。合駒なら大駒を手放すことになる。ピッタリした受けも難しいか。

手数56: 金引きで王手を受けた。対しては▲５三金が▲５一飛成を見せた追撃になる。以下、△６二銀には▲同金△同玉▲５三銀△同玉▲５一飛成△５二銀▲２一竜で▲６五桂打を見せ、手が続きそうだ。

手数57: 金を４二に絡む。四段目の銀には見向きもせずに迫っていく。

手数58: 角を自陣に投入した。飛車は温存し、△２八飛〜△６七馬のような順を含みに残す。

手数60:

手数61: 直前に取った桂を８四に放ち、７二の逃げ道を潰す。この手を見て後手が投了した。▲５一竜△同角▲５二金打までの詰めろで受けが難しく、先手玉に詰みはない。

