手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数13: 先手が９手目で▲６六歩と角道を止めたことで、力戦調の出だしになった。

手数15:

手数21: 先手は雁木の形に。後手のほうは矢倉になりそうだ。

手数22: 角を移動して、△３三銀と上がる手を可能にしておく。

手数25:

手数26: △６四歩〜△６三銀で、５一角の可動域が広がった。

手数27: 先手もここで居玉を解消。

手数29: するすると玉の移動を進める。

手数31: ９筋の突き合いが入った。

手数32: 腰掛け銀に構えて、どこかで△６五歩と動く筋を作る。

手数34: １筋も突き合う。

手数35: ▲８八玉と入って、先手玉は安定した。あとはどのように攻めの形を作るかが課題といえそうだ。

手数36: 陣形に膨らみを持たせる歩突き。４三に金や銀を動く余地を作っている。

手数37: すぐに▲３七桂が指された。攻めの構想は固まっただろうか。

手数39: 代えて▲５六銀右〜▲４五歩という順もありそうだったが、▲５六歩と突いた。

手数40: △４三金右〜△３三銀で、後手は上部がしっかりした形に。

手数41: 飛車の位置を調整して、間合いを計る。

手数42: 先手陣方面をにらむ位置に角を配する。先手からの▲４五歩△同歩▲６五歩という仕掛け筋を牽制している意味もありそうだ。

手数43: 飛車を６筋に回って待機した。

手数45: 角の位置を調整。次は▲４八角ということだろう。先の▲６九飛は、現局面で△６五歩とこられる手に備えた意味だったようだ。

手数47: 角の配置転換は無事終了。ただ、先手には依然としてどのように戦端を開くかという課題が残っている。

手数50: ８一飛の縦の利きを通して、△８六歩からの飛車先交換を可能にした。現局面から▲９五歩△同歩▲同香には、△８四角で問題ない。

手数51: 場合によっては▲９九飛と回る手を作りつつ、待った。

手数55: 金上がりで対応し、上部を手厚くした。

手数58: 代えて△４二金引などで一息つく指し方もありそうなところだったが、さらに手を出していく。

手数59: 代えて▲８五同歩は△同桂のときに８筋を手抜くことができないが、この▲８五同桂なら、△同桂に対する先手は▲８五同歩の一手ではない。

手数61: 持ち歩を得たタイミングで、▲５五歩と突き出した。△５五同銀は▲５六歩がある。

手数63: 後手から△７五歩▲同歩△８三桂という筋があるので、８五桂を放置しておくことはできない。

手数67: 先手からも手を出していった。△４五同歩なら▲同桂△４二銀▲１五歩△同歩▲同香といった要領で戦うつもりだろうか。

手数68: 強く攻め合いに出る。

手数70: 代えて△８三桂も有力そうだったが、素直に△７五同角とした。現局面から▲４四歩△同金▲７六歩には、△８六角と切り込んでいくつもりかもしれない。

手数71: 角引きで８六の地点に利きを足した。ただ、▲５九角は受け一方の手で、形勢としては先手が少し苦しそうだ。

手数72: 守りが少し手薄になった６筋にも手をつけた。

手数75: いったん７筋を修復してから、▲６五歩と歩を取った。

手数76: 持ち駒の桂を放り込む。飛車を横に逃げる手に、△６六歩がうるさいか。以下▲７八銀とかわしても、△４九桂成▲７七角△４八成桂▲同金△６七歩成という筋がある。

手数77: ８九に飛車をかわす。なお、代えて▲６八飛は△４九桂成で５九の角が捕まった。

手数79: 銀は前にかわした。

手数82: 流れるような順で後手の攻めが決まった。▲４八同金は、やはり△６七歩成だ。

手数83: 攻めに活路を求める。

手数86: 取った金をすぐさま盤上に。銀桂両取りだ。

手数89: とにかく攻め続ける。代えて▲６八桂で５六銀を守っても、△３六歩でじり貧だったか。

手数90: △５六金。▲３四桂で金を取り返しても、△３四同銀で駒割りは先手の銀損だ。△６七歩成も残っており、形勢は後手勝勢といってよいだろう。

手数94: やはり先手は駒不足で、有効な攻めが続きそうになり。

手数96:

手数97: すぐに▲４四歩が指された。

手数98: 後手玉はまだ余裕がある格好。ここで満を持して６七にと金を作る。

手数100: 後手からは次に△７八銀がある。

手数101: 代えて▲６八金と受けても、△６六歩で先手が駄目。

手数102: 冷静に角を成って、３五銀にヒモをつけた。

手数103: ▲５七飛△同金▲３五金を見た飛車回り。

手数104: ここで後手が決めにいった。▲７九同飛は、△同馬から詰みだ。

手数105: 代えて▲９七玉も、△７七金で先手が負けだった。潔く銀を取る。

手数108: この局面で先手が投了した。以下は▲８八玉△８九飛▲９七玉△８七飛成までで詰みだ。

