手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数9:

手数10:

手数11: 左美濃の形で手早く玉形を安定させる。

手数12: 陣形整備もそこそこに飛車先交換に出た。

手数16: 横歩取りのように歩を取って歩得を果たした。意欲的な立ち上がり。

手数17: ４筋の歩も取られては歩損が大きくなる。しっかり守っておく。

手数22: 後手は角道を止めているので雁木系の駒組みが考えられる。ただ、△４二銀〜△４三銀を急がないのは工夫といえそうだ。

手数23: 攻防の重要ポジションに銀を配置。攻め方としては▲４五歩、▲３六歩〜▲３五歩などさまざまで、相手の出方を見て方針を定めたい。

手数24: オーソドックスに囲うなら△４一玉だったが、△６二玉と右辺の金銀を囲いに使った。ひねり飛車でも見られる指し方。本局はひねり飛車に比べると飛車の可動域が狭いことがどう影響するか。

手数25: 角にヒモをつけて玉形が安定した。後手は早い段階で歩得したが、飛車の動きに手数をかけているため陣形整備では遅れている。そこが先手の主張になる。

手数26: 飛車を引いて立て直しを図る。この飛車がうまく使えるかが序盤のポイントになりそうだ。

手数27: 角を上がって△８四飛を消す。飛車を自由にはさせない。自陣の壁形を解消して一石二鳥だ。

手数28: 何もしないで▲６五銀と出られると飛車が逃げ場所を失っていた。それを防ぐためとはいえ、飛車が窮屈で恐ろしいことになっている。

手数29: 先手は歩損だが、駒の配置がよく形もいい。あとはうまく打開できればいうことなしだ。後手は課題の多い展開といえる。

手数30: バランスの取り方が難しい局面になっていることがうかがえる。

手数31: もりもりと囲いを押し上げていく。後手が何もしなければ、▲７八金〜▲８六銀〜▲７五銀で飛車を捕獲して先手成功。後手は何かしら手段を講じる必要がある。

手数32:

手数34: ひとまず遊んでいる銀を守りに使って陣形を整えた。ただ、捕獲されそうな飛車をどうするかという大きな課題が残っている。

手数35: 守りの銀を繰り出して飛車の捕獲に乗り出す。まだ駒もぶつかっていない段階で飛車と銀の交換になってはさすがに苦しい。後手が早くも正念場を迎えている。

手数36: 駆け足で銀を活用。ここで▲７五銀は△６五歩▲７四銀△６六歩で飛車と角の交換に持ち込める。

手数37: 焦らない。桂を跳ねて厚みを足した。これなら次に▲７五銀△６五歩▲同桂で６筋の反発を無効化できる。

手数38: 銀でフタをされる前に潜り込んだ。これも▲８五銀で飛車は助からないが、角と刺し違えることはできる。

手数41: 飛車を手に入れて先手好調。すぐに厳しい攻めがあるわけではないが、後手が角だけで攻めるのは難しい。

手数42: 銀を引いて守りを固めた。すぐ▲４一飛と打ち込んでくるなら△１二角〜△５二銀で捕獲を狙える。先手は▲６七金右〜▲７六銀〜▲３六歩といった要領でじっくり陣形を整える余裕がある。飛車を持たれている後手はうかつに駒が動かせないため、見た目以上に飛車と角の差は大きい。

手数44: ４筋を突っかけるのはやや意表の攻め。後手の角筋が通ってくるからだ。

手数45: どんどん歩を突っかけていく。余裕がある状況だったので自陣に手を入れるのも普通の感覚だったが、攻めに目を向けた。

手数47: ぽんぽんと歩を突き捨てて敵陣に飛車を下ろす。あらかじめ４筋を突き捨てたことで△１二角〜△５二銀にも▲４五飛成の逃げ道ができている。

手数48: ハッとする受け。桂を差し出すので気づきにくいが、▲２一飛成に△３二角▲３一竜△４一金で竜を捕獲できる。

手数49: ひとまず桂得の戦果を得た。しかし△３二角で後手に飛車が入る形になると先手玉は嫌な位置にいる。

手数50: 駒を自陣に打って竜を捕獲するのは振り飛車らしい寝技である。飛車が手に入れば△４九飛が有効打になるので、先手玉に手が出せず困ることはなくなった。

手数51: 自陣の飛車を活用しながら歩切れを解消。とはいえ飛車を渡すと反動がきつい。

手数54: 王手で飛車を下ろす。単純な横からの削り合いになればなんといっても美濃囲いが強い。自陣に残った角も△１四角といった要領で再利用できる。相居飛車で始まったが、振り飛車のような展開になっている。

