手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数15: 戦型は横歩取りに決まった。

手数16: 代えて△３三角ならよくある将棋だったが、角は動かずに４二玉型に構えた。

手数17: 先手は５八玉型に。

手数18: △７六飛と横歩を取った際に▲８四飛と回られる筋を消した歩突き。現局面で▲７四同飛は、△７七歩▲同金△８七歩で後手が指しやすくなる。△７四歩に代えて△７二銀もあるところだった。

手数19: 飛車を引いて、△７六飛を防ぐ。

手数20: この△７二銀では、代えて△３三角として次の△２二銀を作る指し方もあった。

手数21: ８筋を収める。

手数22: 高飛車の形にして、横利きを広く取る。なお、代えて△８四飛には▲２二角成△同銀▲６六角△８五飛▲２二角成△同金▲３一銀があった。

手数23: 飛車を２筋に戻って、△２五飛の転回を消す。

手数24: 右桂を活用。

手数25: 角交換に出た。

手数27: 左桂を跳ねて、後手の飛車を追った。（１）△８四飛や（２）△５五飛には、▲６六角がありそうだ。また、（３）△３五飛は▲２四角が王手飛車取りだし、（４）△４五飛も▲８二角で馬作りが約束される。

手数29: 桂頭に手を求める。対して△７五同歩は▲７四歩で先手よしだ。先手が桂を持てば、▲３四桂の狙いもできる。

手数30: 飛車浮きで桂頭をケアした。

手数31: 端からの角打ち。△９四飛に▲７三角成△同銀▲３四桂で、先手の技が決まっていてもおかしくなさそうだ。

手数35: 後手の玉形の弱点を見事に突いた攻め。

手数36: 後手はこれで耐えきれるかどうか。

手数39: 玉の守りの要になっている金に上から覆いかぶさる。代えて▲２三歩を決めて、△１二金に▲８五銀で飛車を取りにいく順も有力そうだった。現局面は先手がかなりよくなっているようで、早い終局も十分に考えられる。

手数40: ２三での交換に応じた。

手数42: ▲３二金の詰みを防ぎつつの竜取りで頑張る。

手数43: この▲４三竜に△５二金は、▲２二金△同玉▲４一竜△４三角▲５五角で後手が勝てない。

手数45: 落ち着いて竜を引き揚げる。次は▲２二歩があるので、後手はまだ何か玉周りに手を入れる必要がありそうだ。

手数46: △１四角が指された。この手は角で先手玉方面をにらみつつ、▲２二歩△３三桂▲２一歩成に△４一玉を作った意味だろうか。

手数47: やはり▲２二歩が厳しい攻めだ。

手数49: 前に出てきた角桂を目標に、金を打つ。△３二歩には▲１四金△同歩▲８三角だ。

手数50: 先手の竜に当てつつ、盤上の攻め駒を増やした。▲４四竜などとかわされたときに継続手があるかどうか。

手数51: 竜は２六にかわした。なお、代えて▲３五竜は△４六銀▲３三竜△３二歩▲５三竜△４七銀成で、先手が少し怖いところもあったのかもしれない。

手数52: さらに竜を追いつつ、３三桂にヒモをつけた角打ち。

手数53: 竜を大きく転回。後手は▲８一竜の侵入を防ぎづらい。

手数54: 開き直って、攻めを続ける。

手数55: 代えて▲２八同銀も十分にありそうだったが、ここで１四角を取った。

手数59: ▲８一竜△７二銀と後手に銀を使わせてから、▲２三金と入った。現局面で△８一銀は、▲３二角が非常に厳しい。

手数60: 潔く８一竜を取った。代えて△４一玉と逃げても、▲８三角で先手の勝ちは動かなかったということだろう。

手数61: この局面で後手が投了した。▲２一歩成までの詰みを防ぐには△４三歩とするしかないが、▲４三同角成が詰めろ角金取りになり、後手は収拾がつかない。

