手数1:

手数2:

手数3:

手数4:

手数5:

手数6:

手数7:

手数8:

手数9:

手数10:

手数12: △３二金と上がる。局面は中飛車の可能性も残るものの居飛車で戦うのだろう。

手数15: 右銀をいち早く使っていく。

手数17: 角を上がり、飛車先交換は許さない。

手数19: 左銀は８八に上がった。代えて▲７八銀の左美濃との比較だったか。

手数20: 角を引き、△８六歩からの交換を権利にする。

手数22: △７四歩と突き、薄い角頭にプレッシャーをかけた。

手数23:

手数25: 早くも突っかけていく。△３五同歩なら▲２六銀から取り返しにいくようだ。

手数26: 角を上がり、先手の攻め駒をにらむ。

手数27: ▲３四歩と取り込んだ。相手の注文どおりに踏み込んでいく。

手数29: 続けて飛車先の歩を突き出した。自玉の整備は完成となるのか、動いていく。

手数32: 金を上がり、銀取りと▲２一飛成を同時に防いだ。

手数33: 先手は飛車の逃げ場所に２七を選んだ。２八と違って相手の角の利きに入らない。

手数34: △２四歩と手当てした。▲３五歩に備えておく。

手数37: 取れる歩を取り、元に位置に引っ込む。先手の１歩得となった。

手数40: 居玉を解消し、足早に７筋まで移動。戦場になりそうな２〜４筋から遠ざかっていく。

手数41: 力強く金を繰り出した。▲６五金△４六角▲４三歩△同飛▲４四歩の狙いを見せる。

手数44:

手数45: 金を寄り、７五に誘い出した角に当てた。

手数47: 再度、桂頭を攻めていく。

手数48: 玉自らが７四に利かす。

手数49: 歩を取り込んだ。玉を四段目に誘う。

手数50: △７四同玉と応じた。相手の駒に近づき、いかにも怖いように映るが、後の進行を確認したのだろう。

手数53: 王手の▲７五歩で角筋を止め、▲８六歩と突き出す。後手玉はまだ三段目と上ずっており、先手は玉の近くで戦いを起こしていきたい。

手数55: ５筋の歩を突き出す。薄い角頭に目をつけた。▲５五歩△同歩▲５四歩から▲５五金〜▲６四金の活用を見せる。

手数56: △７二銀と立った。玉が無事に８二に引ければ、美濃囲いに収まるような形だ。

手数57: ▲７六金と寄り、三段目の玉にプレッシャーをかける。

手数58:

手数61: と金作りは甘受し、ずんずんと歩を伸ばしていく。

手数62: ▲２四飛△同金▲３三角成がありそうだ。

手数63: 勢いよく飛車を走る。この局面で後手は投了した。（１）△２四同金に▲３三角成で金を狙われ、先手が金桂と手持ちにすると▲７四金△９四玉▲８六桂△９五玉▲９六歩までの詰みが生じる。（２）△８三玉と早逃げしても▲２三飛成△同銀▲３三角成で後手陣は収拾がつかず、先手玉に寄りもない。

