手数1:

手数2:

手数3:

手数4:

手数5:

手数6: 後手は飛車先を保留して金を上がった。一手損角換わりか横歩取りが予想される。

手数7:

手数8: 角を換えた。一手損角換わりに進める。

手数9:

手数10: 後手は飛車先の歩を８四で保留している点を生かしたい。

手数13: ３筋の歩を突く。一手損角換わりに対し、手得を生かして早繰り銀で攻めかかるのは有力な指し方となる。

手数16: △８五歩と伸ばした。相手に速攻を見せられては、反撃しやすくしておきたい。

手数18: ６筋の歩を突き、△６三銀〜△５四銀と腰掛け銀で対抗できるようにする。

手数19: 居玉は避けよ。いずれ２四の地点で銀交換した際、△１五角が王手飛車取りにならないようにした。

手数22: 早繰り銀を腰掛け銀で迎え撃つ。

手数25: 玉を７九まで囲い、手を出していく。後手は△４三銀▲３四歩△同銀右と応じれば▲３五歩に△４三銀と戻れる。

手数26: 銀取りに歩を伸ばして強く反発した。

手数28: 形が乱れることを受け入れ、△４五歩と突いたときからの方針と見て取れる。

手数30: 右銀を引き、▲４四角を防いだ。

手数31: 飛車先の歩を切りにいく。

手数33: 後手の金銀は上部に厚いが、２四の地点には利いていない。この飛車走りが桂取りになる。

手数34: 歩を打って追い払う。代えて△２三金は自陣がスカスカになり、怖い面がある。

手数37: 突き合いに応じた。逆に△９五歩と詰められると玉が息苦しくなる。

手数38:

手数39: ６筋の歩を突いた。２〜４筋は後手の駒が厚い。飛車を６筋に回って活用する順も考えられそうだ。

手数40: △５二金と上がった。飛車の利きが止まり、７一に隙もできたが、大丈夫と確認したようだ。

手数41: 先手も一段目で立ち後れていた金を活用し、５八に上がって囲いへの参加を目指す。飛車を６筋に回る構想ではなかった。

手数42: 後手は１筋の歩に手をかけた。

手数44: △３五銀と直進し、先手陣の攻め駒を脅かす。

手数45: 歩を打って銀を追い払う。逆に△３六歩と打たれては押さえ込まれそうだった。

手数48:

手数49: 金を寄って７筋の金銀と連結し、△６九角の隙を消す。７六の地点を狙われる展開でなければ、６七に上がる金矢倉よりも堅いといえそうだ。

手数51: 前手△７四歩を見て金を６七に立つ。直前に５八から６八に寄ったばかりで手損だが、手薄だった銀頭をケアした。

手数52: △３五歩と合わせる。▲３五同歩△同銀▲３六歩なら△２四銀と繰り替えて端を狙うのか。

手数55: 五段目に再度出てきた銀は相手にせず、５筋の歩を突く。△３六歩▲４八銀△５五角の筋を防いだ。

手数56: 銀取りに△３六歩と打つ。五段目に銀を進出したからには狙いとしてあった。先手は▲２六銀のぶつけが利くかどうか。

手数57: 相手の銀にぶつけた。△２六同銀▲同飛と進めば▲２四歩から飛車のさばきを狙える。

手数58: 交換に応じた。▲２六同飛に手番を握れる。

手数59: 互いに角銀が駒台にのった。手番の後手は歩切れでうまく手を作れるかどうか。

手数60: 角の打ち場所に５八を選んだ。金を質駒にしつつ△４七角成を見せる。（１）▲２四歩△同歩（Ａ）▲同飛には、△２三歩▲６四飛に△６三銀と投入すれば飛車に侵入されない。先手は（Ｂ）▲３四歩△同銀▲２四飛の筋はひとつ考えられる。（２）▲６八金引△４七角成で４筋の歩を取らせて▲４四歩は、△３四銀▲２四歩△同歩▲同飛△２三銀打で容易でない。（３）▲６五歩は△同歩なら▲５五角や、▲２四歩△同歩▲同飛△２三歩から飛車を６、７筋に転回する順があるが、放置して△３五銀▲２八飛に△４七角成や△４九角成で飛車を狙われたとき、うまくいくかどうか。

手数61: ▲５五歩と伸ばした。△４七角成に▲４四歩△同銀▲５四歩の順を用意して牽制する。△５四同歩なら▲７一角が飛車銀両取りだ。▲４四歩に△３四銀も、後手は玉頭に拠点が残って気持ち悪い。

手数62: △６九銀と引っかけた。囲いに直接絡んでいく。

手数63: 自陣は顧みずに▲５四歩と突き出した。コビンを狙って嫌みをつける。

手数64: 端に手を出した。△６七角成▲同金△７八金と先手玉を端に追いやる順に迫力を持たせる。先手は▲６八金引が必要になりそうだ。

手数65: 堂々と歩を取った。△６七角成▲同金△７八金から△９五香の順は恐れない。

手数66: 冷静に手を戻した。先手の囲いには攻め駒が絡みついている。（１）▲７一角は△９二飛が幸便。以下、▲３五角成なら△６七角成▲同金△７八金が厳しい。（２）▲６八金寄も、端の突き捨てを生かして△６七角成▲同金△７八金と追ってどうか。（３）▲６八金引とし、△４七角成なら▲４四歩を見せる手はあるかもしれない。

手数67: 銀を打って囲いに手を入れた。７八の地点を強化しておけば簡単には寄せられない。

手数68:

手数70: 歩の成り捨てで誘った桂を狙う。▲３六同飛に△４七角成がある。

手数71: 質駒だった金を引き、角に当て返した。△４七角成なら▲４四歩が生じ、対して△３四銀には▲３五歩△同銀▲７一角と手が続く。以下、△７二飛なら▲４三歩成〜▲３五角成だ。

手数72: 角当たりは放置して桂を取る。手番が先手に渡った。先手はひとつ▲３四歩△同銀▲５六飛の筋が見えるが、その前に角を取るかどうか。

手数73: 角を取り払い、相手の銀を自玉から遠くに誘う。

手数75: こじ開けた空間に金取りに歩を放った。△５三同金に▲７一角で金が質駒になる。

手数77: 金を５三に誘い、今度は桂頭に歩を打った。△３四同銀▲７一角に△７二飛なら▲５三角成△同玉▲６一角の順で飛車銀両取りがかかる。

手数78: 歩を取り払う。桂を取られるわけにはいかなかった。

手数79: △９二飛なら▲８三角から飛車を取りにいく。銀取りに▲６一角と打つのは△５二桂▲８三角成△７二金▲９二馬△同香▲５三角成△同玉で、△３五角▲２九飛△３八とが残って後手も戦える。

手数80: ５筋にかわし、金へのヒモを増やした。

手数82: 角に当てて金を打ちつけ、▲５二角成を促す。角を持てば△３五角から飛車を狙える。

手数84: △５二同金上と応じ、上部の厚みを維持した。

手数85: 成銀取りに飛車を回り、５筋に戦力を集める。

手数86:

手数87: ▲５五歩と合わせ、飛車を攻めに使う。△５五同歩▲同飛△５四歩なら▲８五飛と転回できる。

手数90: 飛車を追う。▲５四歩を許すわけにはいかなかった。

手数93: 二段目に成り込み、後手玉をにらむ。先手の攻めが厚くなってきた。

手数94: △３五角と打ち、５三の地点を支える。同時に先手陣もにらむ攻防手だ。先手はそれでも▲５五歩からこじ開けにいく手段があるかもしれない。

手数95: 三段目に飛車を打った。▲５三角成△同角▲６三金と横から押し潰す順を見せる。

手数96: 働きに乏しかった金を上がり、５三の地点に利かした。

手数97: ５筋が急所だ。▲５三角成〜▲５四歩の攻め筋を作る。

手数98: 竜の利きをそらす手筋。しかし、▲９一竜〜▲８一飛成〜▲６二角成の筋には要注意だ。

手数99: 二段目を維持してかわした。これ以上は竜は追われない。

手数102: 銀を取り、自陣に打った歩を拠点にして放つ。飛車か角の入手を図れる。

手数103: 銀捨てで鋭く迫っていく。

手数105: 飛車を切った。△５三同金上なら▲３二金までの詰み。△５三同金寄に▲同角成△同角▲５二竜と追い込んでいく。

手数106: 竜ではなく角を取ったが、▲５二竜上△４二銀▲１三金で決まりそうだ。

手数109: 逃げ道封鎖の手筋。▲２二金打までの詰めろで△１三同角、△同香ともに▲６一竜左△２二玉▲２一金△１二玉▲１一金△２二玉▲２一竜までで詰む。先手玉に詰みはなく、受けも利かないため後手が投了した。

