手数1:

手数2:

手数3:

手数4:

手数5:

手数7:

手数8:

手数11: 戦型は角換わりになった。

手数14: 後手が△１四歩と受けなければ先手は▲１五歩と伸ばして、右玉にするなど端の位を生かすような指し方が有力となる。

手数19: 早めに右桂を活用する。

手数21: 桂を４五に跳ねたときの土台になる。▲４七銀からじっくり組み上げる指し方もある。

手数22:

手数23: 先手は▲４五桂と仕掛けた。

手数24: 後手は銀を２二に引く。△４四歩を見せて先手の攻めを催促する。

手数27: 桂を跳ねて３三銀を移動したことで２筋の歩交換が可能になった。△４四歩には▲３四飛と歩を取って激しい戦いになりそうだ。先手は飛車を渡しても打ち込むスペースが少ない。

手数28: 後手は△４四角と打った。次に△８六歩▲同歩△８八歩を狙っている。▲３四飛には△２三銀と上がって大丈夫ということのようだ。

手数29: 金取りに飛車を寄る。△２三銀には▲４四飛△同歩▲５五角△７三桂▲４四角と進めてどうか。

手数30: 玉を上がって金取りを防ぐ。玉の守り駒のひとつである。前述した▲４四飛△同歩▲５五角△７三桂▲４四角は銀が２二にいるため香取りにならない。

手数31: 角を合わせて△８六歩からの攻めを防ぐ。△６六同角▲同歩に△４四角なら今度は角筋が止まっているため、△８六歩〜△８八歩の筋が緩和される。

手数32: 後手は△６六同角と応じた。▲６六同歩に後手は△８六歩▲同歩△８八歩▲同銀に△６七角の打ち込みを見ているのかもしれない。▲６六同銀を掘り下げているのだろうか。以下△８六歩には▲５五角と打って△７三桂に▲２二角成△同金▲３一銀と強襲する筋が見える。

手数33: 先手は▲６六同銀と銀で取った。８筋ががら空きになるが、積極的な指し方である。

手数34: ▲５五角が飛車取りにならないように銀を７三に上がってラインを塞ぐ。

手数35: 左桂を活用する。先手はいいタイミングで▲７一角や▲６五桂を利かして攻めを続けたい。

手数36: △２三銀と上がって飛車を攻める。▲３五飛には△２六角の王手飛車がある。ヒモつきだが、後手は飛車を持てば△８九飛の打ち込みに期待できる。

手数37: ▲３五飛と引いた。△２六角と打ってこいということのようだ。

手数38: 飛車のヒモつきだが、王手飛車が掛かった。

手数39: 玉を真っ直ぐ上がる。金銀を動かさないことで飛車の打ち込みに備える。

手数40: 銀取りに歩を打って金銀の連係を乱しにいく。

手数41: 銀を２九に引く。▲４七銀や▲２七銀は△３五角▲同歩に△２九飛の打ち込みを与える。

手数44: 飛車を取って△４四歩と突いて桂を取りにいく。

手数45: 右桂が取られる前に左桂を使って攻めをつなげる。

手数50: ▲銀△桂桂の交換で後手が駒得だが、先手に角角銀と持たれているので気味が悪い。

手数51: 手筋のタタキ。△２二同金なら▲７一角で攻めがつながるかもしれない。以下△７二飛には▲３一角が痛打になる。

手数52: ２筋に歩が打てなくなったスキを突いた飛車打ち。▲１八銀は△２八飛成と飛び込まれてしまう。また▲２八銀打には△３六桂で悪化するかもしれない。

手数53: 金を寄って銀にヒモをつける。

手数54: しかし、△２七桂が金と香の両取りに。後手の攻めが厳しいか。

手数55: 金を２八に上がって踏ん張る。△１九桂成には▲２七銀と打てば、後手の飛車がかなり狭い。以下△４六飛には▲３七金△４五飛に▲３六銀で飛車を捕獲することができる。後手の△２六飛が不発に終わる可能性が出てきた。

手数56: △２七桂と打ったからには香を取るしかない。

手数57: 桂を取って攻め合いに出た。

手数58: 成桂で銀を取る。次に△２八飛成が王手になる。

手数59: ▲２一歩成からの継続手。歩を打って飛車を追う。しかし、△４六飛と逃げられてどうか。以下▲３七金には△１六飛と逆サイドに逃げられてしまう。したがって△４六飛に先手は▲６五桂と攻め合いに出るのかもしれない。

手数60: 後手は△４六飛と逃げた。▲６五桂には△４九銀の王手が目につくが、▲５九玉と引かれて攻めが続くかどうか。

手数61: 先手は▲５五角と打った。

手数62: 王手で銀を打つ。

手数63: 玉を引いて踏ん張る。

手数64: 王手で歩を打つ。▲６八玉に△４八飛成が狙いだ。以下▲３七角と引いてどうか。

手数65: 先手は後手の飛車を成り込ませない方針のようだ。

手数70: △４七桂を利かしたことで飛車を成り込む筋ができた。▲５九同玉に△４七飛成が詰めろになる。先手は金がないため、受けが難しそうだ。

